build_number,canonical_commit,canonical_subject,classification,run_id,workflow_name,run_attempt,status,conclusion,branch,event,created_at,updated_at,capture_status,capture_commit,workflow_present_at_commit,candidate_commit_count,selection_basis,accounted,actions_url
0011,ce7265fb1afcd612877eddf1cf0402f651827d81,Add Certiaura Build 0011 BPC-157 human evidence and regulatory status,RUN_ID_VERIFIED,29431046408,Certiaura Repository Validation,1,completed,success,main,push,2026-07-15T16:06:49Z,2026-07-15T16:06:58Z,BACKFILLED_BY_BUILD_0055,,True,1,LATEST_EXACT_ADD_SUBJECT_ON_FIRST_PARENT_MAIN,True,https://github.com/ajc1786/certiaura-knowledge-engine/actions/runs/29431046408
0012,c04bcff70c8683c7b715eddefefe53bbde5b3e66,Add Certiaura Build 0012 universal regulatory status intelligence framework,RUN_ID_VERIFIED,29431731801,Certiaura Repository Validation,1,completed,success,main,push,2026-07-15T16:16:40Z,2026-07-15T16:16:47Z,BACKFILLED_BY_BUILD_0055,,True,1,LATEST_EXACT_ADD_SUBJECT_ON_FIRST_PARENT_MAIN,True,https://github.com/ajc1786/certiaura-knowledge-engine/actions/runs/29431731801
0013,a258ba9be33ca3767151677d544694502b216b5e,Add Certiaura Build 0013 Retatrutide regulatory status and monitoring activation,RUN_ID_VERIFIED,29455989638,Certiaura Repository Validation,1,completed,success,main,push,2026-07-15T22:36:50Z,2026-07-15T22:36:57Z,BACKFILLED_BY_BUILD_0055,,True,1,LATEST_EXACT_ADD_SUBJECT_ON_FIRST_PARENT_MAIN,True,https://github.com/ajc1786/certiaura-knowledge-engine/actions/runs/29455989638
0014,6a01eabadd4b97301370404d38104afebbbe57f9,Add Certiaura Build 0014 branding integration for Project Genesis and templates,RUN_ID_VERIFIED,29456875893,Certiaura Repository Validation,1,completed,success,main,push,2026-07-15T22:53:36Z,2026-07-15T22:53:42Z,BACKFILLED_BY_BUILD_0055,,True,1,LATEST_EXACT_ADD_SUBJECT_ON_FIRST_PARENT_MAIN,True,https://github.com/ajc1786/certiaura-knowledge-engine/actions/runs/29456875893
0015,85b33eb27139691dbff5e1a8a3eb9277c784fe1d,Add Certiaura Build 0015 BPC-157 preclinical source closure and safety translation,RUN_ID_VERIFIED,29457404538,Certiaura Repository Validation,1,completed,success,main,push,2026-07-15T23:03:47Z,2026-07-15T23:03:56Z,BACKFILLED_BY_BUILD_0055,,True,1,LATEST_EXACT_ADD_SUBJECT_ON_FIRST_PARENT_MAIN,True,https://github.com/ajc1786/certiaura-knowledge-engine/actions/runs/29457404538
0016,4d35a538e0baa49f29279e25dcd482c0c076da32,Add Certiaura Build 0016 Peptide Batch A bootstrap and evidence foundation,RUN_ID_VERIFIED,29465087216,Certiaura Repository Validation,1,completed,success,main,push,2026-07-16T01:49:45Z,2026-07-16T01:49:54Z,BACKFILLED_BY_BUILD_0055,,True,1,LATEST_EXACT_ADD_SUBJECT_ON_FIRST_PARENT_MAIN,True,https://github.com/ajc1786/certiaura-knowledge-engine/actions/runs/29465087216
0017,9dfcfaf2c99218af1b3391fdeeb64f2c60bf5dff,Add Certiaura Build 0017 Peptide Batch B bootstrap and evidence foundation,RUN_ID_VERIFIED,29466114092,Certiaura Repository Validation,1,completed,success,main,push,2026-07-16T02:14:40Z,2026-07-16T02:14:50Z,BACKFILLED_BY_BUILD_0055,,True,1,LATEST_EXACT_ADD_SUBJECT_ON_FIRST_PARENT_MAIN,True,https://github.com/ajc1786/certiaura-knowledge-engine/actions/runs/29466114092
0018,799ec6567266d4b21bddb54c8d54095dc3b914a5,Add Certiaura Build 0018 Batch A primary source extraction and evidence expansion,RUN_ID_VERIFIED,29466476762,Certiaura Repository Validation,1,completed,success,main,push,2026-07-16T02:23:41Z,2026-07-16T02:23:50Z,BACKFILLED_BY_BUILD_0055,,True,1,LATEST_EXACT_ADD_SUBJECT_ON_FIRST_PARENT_MAIN,True,https://github.com/ajc1786/certiaura-knowledge-engine/actions/runs/29466476762
0019,4f239cfa3894a55624ea0e6a7c35d3724bed180c,Add Certiaura Build 0019 Batch B primary source extraction and evidence expansion,RUN_ID_VERIFIED,29468379446,Certiaura Repository Validation,1,completed,success,main,push,2026-07-16T03:11:22Z,2026-07-16T03:11:31Z,BACKFILLED_BY_BUILD_0055,,True,1,LATEST_EXACT_ADD_SUBJECT_ON_FIRST_PARENT_MAIN,True,https://github.com/ajc1786/certiaura-knowledge-engine/actions/runs/29468379446
0020,fac62f1144d6f6971b980d54936b8712e31bc66d,Add Certiaura Build 0020 catalogue master intake and review queue,RUN_ID_VERIFIED,29480778386,Certiaura Repository Validation,1,completed,success,main,push,2026-07-16T07:41:32Z,2026-07-16T07:41:42Z,BACKFILLED_BY_BUILD_0055,,True,1,LATEST_EXACT_ADD_SUBJECT_ON_FIRST_PARENT_MAIN,True,https://github.com/ajc1786/certiaura-knowledge-engine/actions/runs/29480778386
0021,949bcb1cbc022e89a08a54bc8dfa4a8b3a0399d4,Add Certiaura Build 0021 Catalogue C2 metabolic and incretin asset review,RUN_ID_VERIFIED,29481653503,Certiaura Repository Validation,1,completed,success,main,push,2026-07-16T07:56:30Z,2026-07-16T07:56:37Z,BACKFILLED_BY_BUILD_0055,,True,1,LATEST_EXACT_ADD_SUBJECT_ON_FIRST_PARENT_MAIN,True,https://github.com/ajc1786/certiaura-knowledge-engine/actions/runs/29481653503
0022,a01697a9e365cd949bc5a5415249f0da44bfac9e,Add Certiaura Build 0022C reproductive pituitary bone and haematology endocrine review,RUN_ID_VERIFIED,29483682494,Certiaura Repository Validation,1,completed,success,main,push,2026-07-16T08:30:13Z,2026-07-16T08:30:20Z,BACKFILLED_BY_BUILD_0055,,True,3,LATEST_EXACT_ADD_SUBJECT_ON_FIRST_PARENT_MAIN,True,https://github.com/ajc1786/certiaura-knowledge-engine/actions/runs/29483682494
0023,8e1aba140b801300010b18ccad2bc25e1acd6d9f,Add Certiaura Build 0023B neurocognitive mixtures opioid P21 and modified peptide review,RUN_ID_VERIFIED,29485538262,Certiaura Repository Validation,1,completed,success,main,push,2026-07-16T09:00:38Z,2026-07-16T09:00:55Z,BACKFILLED_BY_BUILD_0055,,True,2,LATEST_EXACT_ADD_SUBJECT_ON_FIRST_PARENT_MAIN,True,https://github.com/ajc1786/certiaura-knowledge-engine/actions/runs/29485538262
0024,3b3d67eb626b5bf58ef32b6bf04fd3cafe31857c,Add Certiaura Build 0024B cosmetic and experimental repair peptide review,RUN_ID_VERIFIED,29486454395,Certiaura Repository Validation,1,completed,success,main,push,2026-07-16T09:15:14Z,2026-07-16T09:15:23Z,BACKFILLED_BY_BUILD_0055,,True,2,LATEST_EXACT_ADD_SUBJECT_ON_FIRST_PARENT_MAIN,True,https://github.com/ajc1786/certiaura-knowledge-engine/actions/runs/29486454395
0025,4b7422c61f3a3e0c9c7d9829a5b39fb7c97c4d4f,Add Certiaura Build 0025B organ targeted short regulatory peptide families,RUN_ID_VERIFIED,29487245476,Certiaura Repository Validation,1,completed,success,main,push,2026-07-16T09:28:10Z,2026-07-16T09:28:20Z,BACKFILLED_BY_BUILD_0055,,True,2,LATEST_EXACT_ADD_SUBJECT_ON_FIRST_PARENT_MAIN,True,https://github.com/ajc1786/certiaura-knowledge-engine/actions/runs/29487245476
0026,5f5521686d2c5111d3e8e2acfb5c88b81bf3524e,Add Certiaura Build 0026 pigmentation and sexual health melanocortin review,RUN_ID_VERIFIED,29490890820,Certiaura Repository Validation,1,completed,success,main,push,2026-07-16T10:27:33Z,2026-07-16T10:27:39Z,BACKFILLED_BY_BUILD_0055,,True,1,LATEST_EXACT_ADD_SUBJECT_ON_FIRST_PARENT_MAIN,True,https://github.com/ajc1786/certiaura-knowledge-engine/actions/runs/29490890820
0027,0ab9080799496148f5cabeff7e6910be06a982c9,Add Certiaura Build 0027 supplier peptide blends and combination products,RUN_ID_VERIFIED,29524463652,Certiaura Repository Validation,1,completed,success,main,push,2026-07-16T18:33:58Z,2026-07-16T18:34:05Z,BACKFILLED_BY_BUILD_0055,,True,1,LATEST_EXACT_ADD_SUBJECT_ON_FIRST_PARENT_MAIN,True,https://github.com/ajc1786/certiaura-knowledge-engine/actions/runs/29524463652
0028,cb8f37d70090df2ba45bfd58673a4289289049ec,Add Certiaura Build 0028B biologic cosmetic and diluent ancillary products,RUN_ID_VERIFIED,29525995624,Certiaura Repository Validation,1,completed,success,main,push,2026-07-16T18:56:19Z,2026-07-16T18:56:27Z,BACKFILLED_BY_BUILD_0055,,True,2,LATEST_EXACT_ADD_SUBJECT_ON_FIRST_PARENT_MAIN,True,https://github.com/ajc1786/certiaura-knowledge-engine/actions/runs/29525995624
0029,5faad410fb712feb2e754694a699d6fcc133682c,Add Certiaura Build 0029 catalogue coverage and closure audit,RUN_ID_VERIFIED,29527036132,Certiaura Repository Validation,1,completed,success,main,push,2026-07-16T19:11:47Z,2026-07-16T19:11:57Z,BACKFILLED_BY_BUILD_0055,,True,1,LATEST_EXACT_ADD_SUBJECT_ON_FIRST_PARENT_MAIN,True,https://github.com/ajc1786/certiaura-knowledge-engine/actions/runs/29527036132
0030,809ffd25549155ef254206333d42be8409f3c9d7,Add Certiaura Build 0030A Elamipretide and generic GLP-1 coverage correction,RUN_ID_VERIFIED,29527413699,Certiaura Repository Validation,1,completed,success,main,push,2026-07-16T19:17:27Z,2026-07-16T19:17:37Z,BACKFILLED_BY_BUILD_0055,,True,1,LATEST_EXACT_ADD_SUBJECT_ON_FIRST_PARENT_MAIN,True,https://github.com/ajc1786/certiaura-knowledge-engine/actions/runs/29527413699
0031,f69141f77bdbe70b727f0103cdac6cf0bfc46c35,Add Certiaura Build 0031D remaining combination product analytical closure,RUN_ID_VERIFIED,29529159757,Certiaura Repository Validation,1,completed,success,main,push,2026-07-16T19:43:53Z,2026-07-16T19:44:03Z,BACKFILLED_BY_BUILD_0055,,True,4,LATEST_EXACT_ADD_SUBJECT_ON_FIRST_PARENT_MAIN,True,https://github.com/ajc1786/certiaura-knowledge-engine/actions/runs/29529159757
0032,3ef128b2380b03dbb52192b1ec2591242b6ba6d6,Add Certiaura Build 0032 priority closure programme status and next wave audit,RUN_ID_VERIFIED,29529501627,Certiaura Repository Validation,1,completed,success,main,push,2026-07-16T19:49:10Z,2026-07-16T19:49:17Z,BACKFILLED_BY_BUILD_0055,,True,1,LATEST_EXACT_ADD_SUBJECT_ON_FIRST_PARENT_MAIN,True,https://github.com/ajc1786/certiaura-knowledge-engine/actions/runs/29529501627
0033,76e5e56175ec5b9a6f74154ac3512461181052d6,Add Certiaura Build 0033D remaining organ regulatory peptide identity closure,RUN_ID_VERIFIED,29536196858,Certiaura Repository Validation,1,completed,success,main,push,2026-07-16T21:29:00Z,2026-07-16T21:29:06Z,BACKFILLED_BY_BUILD_0055,,True,4,LATEST_EXACT_ADD_SUBJECT_ON_FIRST_PARENT_MAIN,True,https://github.com/ajc1786/certiaura-knowledge-engine/actions/runs/29536196858
0034,56088cd61b4ae03db471ce82d93b69a77976ea0d,Add Certiaura Build 0034 priority closure programme completion audit,RUN_ID_VERIFIED,29537410942,Certiaura Repository Validation,1,completed,success,main,push,2026-07-16T21:48:58Z,2026-07-16T21:49:09Z,BACKFILLED_BY_BUILD_0055,,True,1,LATEST_EXACT_ADD_SUBJECT_ON_FIRST_PARENT_MAIN,True,https://github.com/ajc1786/certiaura-knowledge-engine/actions/runs/29537410942
0035,440c6407319194d00cbf1c43941e0c65c7669068,Add Certiaura Build 0035K Marketplace contracting order assurance fulfilment incident response recall and settlement controls,RUN_ID_VERIFIED,29678926667,Certiaura Repository Validation,1,completed,success,main,push,2026-07-19T07:55:37Z,2026-07-19T07:55:51Z,BACKFILLED_BY_BUILD_0055,,True,10,LATEST_EXACT_ADD_SUBJECT_ON_FIRST_PARENT_MAIN,True,https://github.com/ajc1786/certiaura-knowledge-engine/actions/runs/29678926667
0036,e731ec2f71aa920356996564f3433e72acf7b323,Add Certiaura Build 0036 Marketplace customer eligibility jurisdiction consent privacy and post-market surveillance controls,RUN_ID_VERIFIED,29679459239,Certiaura Repository Validation,1,completed,success,main,push,2026-07-19T08:13:46Z,2026-07-19T08:13:53Z,BACKFILLED_BY_BUILD_0055,,True,1,LATEST_EXACT_ADD_SUBJECT_ON_FIRST_PARENT_MAIN,True,https://github.com/ajc1786/certiaura-knowledge-engine/actions/runs/29679459239
0037,aba7a60358ced8ab2b0d485ad25d79cb967b30ce,Add Certiaura Build 0037 scientific content claims advertising AI recommendation and responsible communications controls,RUN_ID_VERIFIED,29700441313,Certiaura Repository Validation,1,completed,success,main,push,2026-07-19T19:21:49Z,2026-07-19T19:21:58Z,BACKFILLED_BY_BUILD_0055,,True,1,LATEST_EXACT_ADD_SUBJECT_ON_FIRST_PARENT_MAIN,True,https://github.com/ajc1786/certiaura-knowledge-engine/actions/runs/29700441313
0038,f16b4f51b109cad66a763b5b8f2011cdc0eef525,Add Certiaura Build 0038 repository restoration canonical routing and complete historical Master Asset Register reconciliation,RUN_ID_VERIFIED,29699949887,Certiaura Repository Validation,1,completed,success,main,push,2026-07-19T19:05:54Z,2026-07-19T19:06:02Z,BACKFILLED_BY_BUILD_0055,,True,5,LATEST_EXACT_ADD_SUBJECT_ON_FIRST_PARENT_MAIN,True,https://github.com/ajc1786/certiaura-knowledge-engine/actions/runs/29699949887
0039,87624e9f1a9623d57c2ba583ecc5957754d8f527,Add Certiaura Build 0039 evidence ingestion citation management living evidence surveillance and scientific review controls,RUN_ID_VERIFIED,29731167056,Certiaura Repository Validation,1,completed,success,main,push,2026-07-20T09:22:05Z,2026-07-20T09:22:13Z,BACKFILLED_BY_BUILD_0055,,True,1,LATEST_EXACT_ADD_SUBJECT_ON_FIRST_PARENT_MAIN,True,https://github.com/ajc1786/certiaura-knowledge-engine/actions/runs/29731167056
0040,6f4dfb11dfdc4b28fe736972864ec1acf1a1e056,Add Certiaura Build 0040 automated build-package preflight synthetic repository import and release integrity controls,RUN_ID_VERIFIED,29739623293,Certiaura Repository Validation,1,completed,success,main,push,2026-07-20T11:44:43Z,2026-07-20T11:44:51Z,BACKFILLED_BY_BUILD_0055,,True,1,LATEST_EXACT_ADD_SUBJECT_ON_FIRST_PARENT_MAIN,True,https://github.com/ajc1786/certiaura-knowledge-engine/actions/runs/29739623293
0041,eb6ef1ad3f5f3e95accd6f1b01d392548e8e9174,Add Certiaura Build 0041 retatrutide evidence corpus citation graph and scientific review baseline ACTIONS_GREEN_CLOSED checkpoint,RUN_ID_VERIFIED,29751230927,Certiaura Repository Validation,1,completed,success,main,push,2026-07-20T14:34:22Z,2026-07-20T14:34:33Z,BACKFILLED_BY_BUILD_0055,,True,3,LATEST_EXACT_ADD_SUBJECT_ON_FIRST_PARENT_MAIN,True,https://github.com/ajc1786/certiaura-knowledge-engine/actions/runs/29751230927
0042,13a458561afbcbe47c11a04c04dd1a7182d4b641,Add Certiaura Build 0042 retatrutide safety monitoring contraindication and clinical-outcome integration baseline ACTIONS_GREEN_CLOSED checkpoint,RUN_ID_VERIFIED,29756935292,Certiaura Repository Validation,1,completed,success,main,push,2026-07-20T15:49:54Z,2026-07-20T15:50:02Z,BACKFILLED_BY_BUILD_0055,,True,3,LATEST_EXACT_ADD_SUBJECT_ON_FIRST_PARENT_MAIN,True,https://github.com/ajc1786/certiaura-knowledge-engine/actions/runs/29756935292
0043,08793de672383c51df31d83015a9e768a09e16fd,Add Certiaura Build 0043 retatrutide patient journey report generation and AI query integration baseline,RUN_ID_VERIFIED,29763917681,Certiaura Repository Validation,1,completed,success,main,push,2026-07-20T17:30:11Z,2026-07-20T17:30:37Z,BACKFILLED_BY_BUILD_0055,,True,2,LATEST_EXACT_ADD_SUBJECT_ON_FIRST_PARENT_MAIN,True,https://github.com/ajc1786/certiaura-knowledge-engine/actions/runs/29763917681
0044,46d92c2d32d7554768a60f78a8671cc07f291255,"Add Certiaura Build 0044 retatrutide patient-facing interface, branded report rendering and controlled conversation workflow baseline",RUN_ID_VERIFIED,29769614269,Certiaura Repository Validation,1,completed,success,main,push,2026-07-20T18:52:25Z,2026-07-20T18:52:35Z,BACKFILLED_BY_BUILD_0055,,True,1,LATEST_EXACT_ADD_SUBJECT_ON_FIRST_PARENT_MAIN,True,https://github.com/ajc1786/certiaura-knowledge-engine/actions/runs/29769614269
0045,290560d3415d6bca2e58ccd0903fb33ce9b98d1e,"Add Certiaura Build 0045 retatrutide longitudinal journey tracking, review scheduling and clinician handoff baseline",RUN_ID_VERIFIED,29779236183,Certiaura Repository Validation,1,completed,success,main,push,2026-07-20T21:12:01Z,2026-07-20T21:12:14Z,BACKFILLED_BY_BUILD_0055,,True,1,LATEST_EXACT_ADD_SUBJECT_ON_FIRST_PARENT_MAIN,True,https://github.com/ajc1786/certiaura-knowledge-engine/actions/runs/29779236183
0046,922a50178663ea301189d0e02960b019b653250b,"Add Certiaura Build 0046 retatrutide evidence-linked longitudinal analytics, outcome trend visualisation and controlled alerting baseline",RUN_ID_VERIFIED,29781476101,Certiaura Repository Validation,1,completed,success,main,push,2026-07-20T21:46:28Z,2026-07-20T21:46:39Z,BACKFILLED_BY_BUILD_0055,,True,1,LATEST_EXACT_ADD_SUBJECT_ON_FIRST_PARENT_MAIN,True,https://github.com/ajc1786/certiaura-knowledge-engine/actions/runs/29781476101
0047,32cdbf9c6e685bcece3319590ce399cccd73c798,"Add Certiaura Build 0047 retatrutide controlled longitudinal dashboard, alert review workflow and clinician export baseline",RUN_ID_VERIFIED,29850650542,Certiaura Repository Validation,1,completed,success,main,push,2026-07-21T16:54:20Z,2026-07-21T16:54:28Z,BACKFILLED_BY_BUILD_0055,,True,1,LATEST_EXACT_ADD_SUBJECT_ON_FIRST_PARENT_MAIN,True,https://github.com/ajc1786/certiaura-knowledge-engine/actions/runs/29850650542
0048,9fd68efe4cbf2dbb0850e7e832f14e6ee7f6f872,"Add Certiaura Build 0048 retatrutide clinician review approval, export version control, controlled handoff and audit trail baseline",RUN_ID_VERIFIED,29852711474,Certiaura Repository Validation,1,completed,success,main,push,2026-07-21T17:23:11Z,2026-07-21T17:23:22Z,BACKFILLED_BY_BUILD_0055,,True,1,LATEST_EXACT_ADD_SUBJECT_ON_FIRST_PARENT_MAIN,True,https://github.com/ajc1786/certiaura-knowledge-engine/actions/runs/29852711474
0049,41091ba6a0f515d7e5b6104e5d3e909c05c937c4,"Add Certiaura Build 0049 retatrutide controlled handoff acknowledgement, follow-up review, clinician feedback and amendment audit baseline",RUN_ID_VERIFIED,29856301995,Certiaura Repository Validation,1,completed,success,main,push,2026-07-21T18:13:36Z,2026-07-21T18:13:47Z,BACKFILLED_BY_BUILD_0055,,True,1,LATEST_EXACT_ADD_SUBJECT_ON_FIRST_PARENT_MAIN,True,https://github.com/ajc1786/certiaura-knowledge-engine/actions/runs/29856301995
0050,fe71fcb80b2ed75a351ce05e06c27fe7b92750fd,"Add Certiaura Build 0050 retatrutide case review closure, unresolved-action escalation, longitudinal outcome reconciliation and quality assurance analytics baseline",RUN_ID_VERIFIED,29864922514,Certiaura Repository Validation,1,completed,success,main,push,2026-07-21T20:14:36Z,2026-07-21T20:14:44Z,BACKFILLED_BY_BUILD_0055,,True,1,LATEST_EXACT_ADD_SUBJECT_ON_FIRST_PARENT_MAIN,True,https://github.com/ajc1786/certiaura-knowledge-engine/actions/runs/29864922514
0051,14877589556e83fd457f5cbc5020e9ca31318406,"Add Certiaura Build 0051 retatrutide post-closure surveillance, governed case reopening, periodic review and recurrence analytics baseline",RUN_ID_VERIFIED,29869119238,Certiaura Repository Validation,1,completed,success,main,push,2026-07-21T21:13:52Z,2026-07-21T21:14:01Z,BACKFILLED_BY_BUILD_0055,,True,1,LATEST_EXACT_ADD_SUBJECT_ON_FIRST_PARENT_MAIN,True,https://github.com/ajc1786/certiaura-knowledge-engine/actions/runs/29869119238
0052,890df218b4f4dea92f4ccfa36b8106de59eca1b1,"Add Certiaura Build 0052 retatrutide cross-case signal aggregation, cohort surveillance, governed escalation and controlled knowledge feedback baseline",RUN_ID_VERIFIED,29941074865,Certiaura Repository Validation,1,completed,success,main,push,2026-07-22T17:08:31Z,2026-07-22T17:08:38Z,BACKFILLED_BY_BUILD_0055,,True,1,LATEST_EXACT_ADD_SUBJECT_ON_FIRST_PARENT_MAIN,True,https://github.com/ajc1786/certiaura-knowledge-engine/actions/runs/29941074865
0053,d5b7b84a2c543bbdd5cad8727f1c9005c27ca70d,"Add Certiaura Build 0053 retatrutide governed knowledge change implementation, cross-asset impact control, controlled publication and post-change effectiveness surveillance baseline",RUN_ID_VERIFIED,29986875639,Certiaura Repository Validation,1,completed,success,main,push,2026-07-23T07:00:27Z,2026-07-23T07:00:38Z,CURRENT_REPOSITORY_RECORD_ONLY,,True,1,LATEST_EXACT_ADD_SUBJECT_ON_FIRST_PARENT_MAIN,True,https://github.com/ajc1786/certiaura-knowledge-engine/actions/runs/29986875639
0054,8a9dba6615448c1ad85c44cdf89269a8fc3e00e8,"Add Certiaura Build 0054 retatrutide end-to-end operational assurance, controlled release readiness, failure-mode coverage and Platinum readiness assessment baseline",RUN_ID_VERIFIED,29993394313,Certiaura Repository Validation,1,completed,success,main,push,2026-07-23T08:59:26Z,2026-07-23T08:59:37Z,BACKFILLED_BY_BUILD_0055,,True,1,LATEST_EXACT_ADD_SUBJECT_ON_FIRST_PARENT_MAIN,True,https://github.com/ajc1786/certiaura-knowledge-engine/actions/runs/29993394313
