Asset UAI,Asset Name,Jurisdiction,Authority,Position,Monitoring,Status Date
CERT-PKS-000074,Cartalax,United States,FDA,No approval claim is created; exact molecule and official product-database status require direct verification.,ACTIVE,2026-07-16
CERT-PKS-000074,Cartalax,United Kingdom,MHRA,No marketing-authorisation claim is created; exact molecule and product status require direct verification.,ACTIVE,2026-07-16
CERT-PKS-000074,Cartalax,European Union,EMA / European Commission,No central marketing-authorisation claim is created; exact molecule and product status require direct verification.,ACTIVE,2026-07-16
CERT-PKS-000074,Cartalax,Other jurisdictions,National medicines authorities,"Any regional status must be verified by exact product, manufacturer, formulation, indication and date.",ACTIVE,2026-07-16
CERT-PKS-000074,Cartalax,International sport,WADA,Current athlete-specific status requires authoritative verification after exact identity closure.,BLOCKED BY IDENTITY,2026-07-16
CERT-PKS-000075,Chonluten,United States,FDA,No approval claim is created; exact molecule and official product-database status require direct verification.,ACTIVE,2026-07-16
CERT-PKS-000075,Chonluten,United Kingdom,MHRA,No marketing-authorisation claim is created; exact molecule and product status require direct verification.,ACTIVE,2026-07-16
CERT-PKS-000075,Chonluten,European Union,EMA / European Commission,No central marketing-authorisation claim is created; exact molecule and product status require direct verification.,ACTIVE,2026-07-16
CERT-PKS-000075,Chonluten,Other jurisdictions,National medicines authorities,"Any regional status must be verified by exact product, manufacturer, formulation, indication and date.",ACTIVE,2026-07-16
CERT-PKS-000075,Chonluten,International sport,WADA,Current athlete-specific status requires authoritative verification after exact identity closure.,BLOCKED BY IDENTITY,2026-07-16
CERT-PKS-000076,Crystagen,United States,FDA,No approval claim is created; exact molecule and official product-database status require direct verification.,ACTIVE,2026-07-16
CERT-PKS-000076,Crystagen,United Kingdom,MHRA,No marketing-authorisation claim is created; exact molecule and product status require direct verification.,ACTIVE,2026-07-16
CERT-PKS-000076,Crystagen,European Union,EMA / European Commission,No central marketing-authorisation claim is created; exact molecule and product status require direct verification.,ACTIVE,2026-07-16
CERT-PKS-000076,Crystagen,Other jurisdictions,National medicines authorities,"Any regional status must be verified by exact product, manufacturer, formulation, indication and date.",ACTIVE,2026-07-16
CERT-PKS-000076,Crystagen,International sport,WADA,Current athlete-specific status requires authoritative verification after exact identity closure.,BLOCKED BY IDENTITY,2026-07-16
CERT-PKS-000077,Ovagen,United States,FDA,No approval claim is created; exact molecule and official product-database status require direct verification.,ACTIVE,2026-07-16
CERT-PKS-000077,Ovagen,United Kingdom,MHRA,No marketing-authorisation claim is created; exact molecule and product status require direct verification.,ACTIVE,2026-07-16
CERT-PKS-000077,Ovagen,European Union,EMA / European Commission,No central marketing-authorisation claim is created; exact molecule and product status require direct verification.,ACTIVE,2026-07-16
CERT-PKS-000077,Ovagen,Other jurisdictions,National medicines authorities,"Any regional status must be verified by exact product, manufacturer, formulation, indication and date.",ACTIVE,2026-07-16
CERT-PKS-000077,Ovagen,International sport,WADA,Current athlete-specific status requires authoritative verification after exact identity closure.,BLOCKED BY IDENTITY,2026-07-16
CERT-PKS-000078,Vesugen,United States,FDA,No approval claim is created; exact molecule and official product-database status require direct verification.,ACTIVE,2026-07-16
CERT-PKS-000078,Vesugen,United Kingdom,MHRA,No marketing-authorisation claim is created; exact molecule and product status require direct verification.,ACTIVE,2026-07-16
CERT-PKS-000078,Vesugen,European Union,EMA / European Commission,No central marketing-authorisation claim is created; exact molecule and product status require direct verification.,ACTIVE,2026-07-16
CERT-PKS-000078,Vesugen,Other jurisdictions,National medicines authorities,"Any regional status must be verified by exact product, manufacturer, formulation, indication and date.",ACTIVE,2026-07-16
CERT-PKS-000078,Vesugen,International sport,WADA,Current athlete-specific status requires authoritative verification after exact identity closure.,BLOCKED BY IDENTITY,2026-07-16
