Universal Asset Identifier,Asset Name,Knowledge System,Asset Type,Status,Owner,Parent Assets,Last Review,Notes,Repository Path,Supporting Files,Version,Completion Percentage,Child Assets,Relationship List,Evidence Links,Report Links,Marketplace Links,Next Review,Change History,Build Provenance,Source Builds,Registration Basis,File SHA256,Last Updated,Asset Title
CERT-SYS-000011,CERTIAURA MASTER PROJECT CHARTER,SYS,Governance Control, Active Reference Baseline,Certiaura,,,,00_Governance/CERTIAURA_MASTER_PROJECT_CHARTER.md,,1.0.0,100,,,,,,,2026-07-19T18:56:54.150597+00:00: created/restored by Build 0038,CERT-BUILD-0038,,HISTORICAL_REPOSITORY_CENSUS,aa17b031565474d5b703873cfdbcd3867e6ff3de33c91be0436fd44de839cb00,2026-07-19T18:56:54.150597+00:00,
CERT-SYS-000012,CERTIAURA MASTER PROJECT CHARTER — STATUS AMENDMENT,SYS,Governance Control, Active,Certiaura,,,,00_Governance/CHARTER_STATUS_AMENDMENT_BUILD_0002.md,,1.0.0,100,,,,,,,2026-07-19T18:56:54.150597+00:00: created/restored by Build 0038,CERT-BUILD-0038,,HISTORICAL_REPOSITORY_CENSUS,9ca23864984e3d067a474ae325d2e650ad7320f6673b2aa3f8c40c1da08027ca,2026-07-19T18:56:54.150597+00:00,
CERT-SYS-000013,Decision Log,SYS,Governance Control,ACTIVE,Certiaura,,,,00_Governance/Decision_Log.md,,1.0.0,100,,,,,,,2026-07-19T18:56:54.150597+00:00: created/restored by Build 0038,CERT-BUILD-0038,,HISTORICAL_REPOSITORY_CENSUS,203ec36d713a3a6e0fcaf2346256429bf2afa00c4af595d7e7e1f4e7aff7d4ac,2026-07-19T18:56:54.150597+00:00,
CERT-SYS-000014,Governance Continuity Standard,SYS,Governance Control,ACTIVE,Certiaura,,,,00_Governance/Governance_Continuity_Standard.md,,1.0.0,100,,,,,,,2026-07-19T18:56:54.150597+00:00: created/restored by Build 0038,CERT-BUILD-0038,,HISTORICAL_REPOSITORY_CENSUS,70ffb263449219cad21a8f141d72bdc55d2656fff8a64bdbe80d1198779f3e81,2026-07-19T18:56:54.150597+00:00,
CERT-SYS-000015,Universal Asset & Relationship Standard (UARS),SYS,Governance Control,ACTIVE,Certiaura,,,,00_Governance/Universal_Asset_Relationship_Standard_UARS.md,,1.0.0,100,,,,,,,2026-07-19T18:56:54.150597+00:00: created/restored by Build 0038,CERT-BUILD-0038,,HISTORICAL_REPOSITORY_CENSUS,459f8efc63649eae9f0cbc43a20cac871b29da123a359efc6e7f4309cb26636b,2026-07-19T18:56:54.150597+00:00,
CERT-SYS-000016,CANONICAL KNOWLEDGE SYSTEMS REFERENCE,SYS,Knowledge Asset,ACTIVE,Certiaura,,,,01_Knowledge_Systems/CANONICAL_KNOWLEDGE_SYSTEMS_REFERENCE.md,,1.0.0,100,,,,,,,2026-07-19T18:56:54.150597+00:00: created/restored by Build 0038,CERT-BUILD-0038,,HISTORICAL_REPOSITORY_CENSUS,5b74db0499eec9c1748a92ec9958370463774a81b7decee38ce803377b5a6e25,2026-07-19T18:56:54.150597+00:00,
CERT-SYS-000017,Knowledge Systems,SYS,Knowledge Asset,ACTIVE,Certiaura,,,,01_Knowledge_Systems/Knowledge_Systems_Index.md,,1.0.0,100,,,,,,,2026-07-19T18:56:54.150597+00:00: created/restored by Build 0038,CERT-BUILD-0038,,HISTORICAL_REPOSITORY_CENSUS,597f219954d931b121e58ed3459c24d465a916819c26767692aae0f502303b87,2026-07-19T18:56:54.150597+00:00,
CERT-SYS-000018,REGULATORY STATUS CONTROLLED VOCABULARY,SYS,Knowledge Asset,ACTIVE,Certiaura,,,,01_Knowledge_Systems/REGULATORY_STATUS_CONTROLLED_VOCABULARY.md,,1.0.0,100,,,,,,,2026-07-19T18:56:54.150597+00:00: created/restored by Build 0038,CERT-BUILD-0038,,HISTORICAL_REPOSITORY_CENSUS,bacf7eba2a6169a0e18b8ac02cb644f6967ab8dbd679f86f057dd4c5765f3f04,2026-07-19T18:56:54.150597+00:00,
CERT-SYS-000019,RETATRUTIDE CROSS-SYSTEM INTEGRATION MAP,SYS,Knowledge Asset,ACTIVE,Certiaura,,,,01_Knowledge_Systems/RETATRUTIDE_CROSS_SYSTEM_INTEGRATION_MAP.md,,1.0.0,100,,,,,,,2026-07-19T18:56:54.150597+00:00: created/restored by Build 0038,CERT-BUILD-0038,,HISTORICAL_REPOSITORY_CENSUS,c3206766f8dda7fd15bc60bafd5921665fe2b9e6a6f56582cfa09550ed56dbfe,2026-07-19T18:56:54.150597+00:00,
CERT-SYS-000020,UNIVERSAL REGULATORY & STATUS INTELLIGENCE FRAMEWORK,SYS,Knowledge Asset,ACTIVE,Certiaura,,,,01_Knowledge_Systems/UNIVERSAL_REGULATORY_STATUS_INTELLIGENCE_FRAMEWORK.md,,1.0.0,100,,,,,,,2026-07-19T18:56:54.150597+00:00: created/restored by Build 0038,CERT-BUILD-0038,,HISTORICAL_REPOSITORY_CENSUS,77af68e527271b9acc4bab2a2eb6ac0c83ea60d0826c64bedaa94aa2ef671227,2026-07-19T18:56:54.150597+00:00,
CERT-SYS-000021,CertiAura Universal Regulatory Status Record,SYS,Knowledge Asset,ACTIVE,Certiaura,,,,01_Knowledge_Systems/UNIVERSAL_REGULATORY_STATUS_RECORD_SCHEMA.json,,1.0.0,100,,,,,,,2026-07-19T18:56:54.150597+00:00: created/restored by Build 0038,CERT-BUILD-0038,,HISTORICAL_REPOSITORY_CENSUS,02f1205259543ac62d0f94e603c3ecc355525758969949ccfa99d9ad939bffae,2026-07-19T18:56:54.150597+00:00,
CERT-PKS-000091,TESAMORELIN CLAIM CONTROL MATRIX — BUILD 0018,PKS,Knowledge Asset,ACTIVE,Certiaura,,,,02_Peptides/Batch_A/CERT-PKS-000003_Tesamorelin_Claim_Control_Matrix.md,,1.0.0,100,,,,,,,2026-07-19T18:56:54.150597+00:00: created/restored by Build 0038,CERT-BUILD-0038,,HISTORICAL_REPOSITORY_CENSUS,70df4a578d2065cf5f96a7cf7d3dc226f74e73e94488746d12c24652e2a72d89,2026-07-19T18:56:54.150597+00:00,
CERT-PKS-000092,TESAMORELIN CLAIM CONTROL MATRIX,PKS,Knowledge Asset,ACTIVE,Certiaura,,,,02_Peptides/Batch_A/CERT-PKS-000003_Tesamorelin_Claims.md,,1.0.0,100,,,,,,,2026-07-19T18:56:54.150597+00:00: created/restored by Build 0038,CERT-BUILD-0038,,HISTORICAL_REPOSITORY_CENSUS,c749b6336a36fe8565b306619f55c3e5e5c938407d1850f2edcb80ac68a36e3c,2026-07-19T18:56:54.150597+00:00,
CERT-PKS-000093,TESAMORELIN COMMERCIAL USE BOUNDARY,PKS,Knowledge Asset,ACTIVE,Certiaura,,,,02_Peptides/Batch_A/CERT-PKS-000003_Tesamorelin_Commercial.md,,1.0.0,100,,,,,,,2026-07-19T18:56:54.150597+00:00: created/restored by Build 0038,CERT-BUILD-0038,,HISTORICAL_REPOSITORY_CENSUS,c687c7eb9bde915c114b55dda27a8e3306cb0bc0f807d9e14b5604607751e136,2026-07-19T18:56:54.150597+00:00,
CERT-PKS-000094,TESAMORELIN COMMERCIAL USE BOUNDARY,PKS,Knowledge Asset,ACTIVE,Certiaura,,,,02_Peptides/Batch_A/CERT-PKS-000003_Tesamorelin_Commercial_Use_Boundary.md,,1.0.0,100,,,,,,,2026-07-19T18:56:54.150597+00:00: created/restored by Build 0038,CERT-BUILD-0038,,HISTORICAL_REPOSITORY_CENSUS,9a91b9fcfe0a5c45f553b3d00072620c0b28c70769d2afcb4f0418f3ba585fa7,2026-07-19T18:56:54.150597+00:00,
CERT-PKS-000003,CERT PKS 000003 TESAMORELIN FLAGSHIP,PKS,Knowledge Asset,TIER 1 PRIMARY-SOURCE BATCH A COMPLETE WITHIN DEFINED SCOPE / SUPPLIER PRODUCT PASSPORT OPEN / NOT PLATINUM CERTIFIED,Certiaura,,,,02_Peptides/Batch_A/CERT-PKS-000003_Tesamorelin_Flagship.json,,0.3.0,100,,,,,,,2026-07-19T18:56:54.150597+00:00: created/restored by Build 0038,CERT-BUILD-0038,,HISTORICAL_REPOSITORY_CENSUS,cfedd6c500504b6221560b44c47c5fe6a4792fd2b2c707b20e102c2ffa0d4258,2026-07-19T18:56:54.150597+00:00,
CERT-PKS-000095,CERT-PKS-000003 — Tesamorelin,PKS,Knowledge Asset, SOURCE FOUNDATION COMPLETE WITHIN DEFINED SCOPE / SUPPLIER PASSPORT OPEN,Certiaura,,,,02_Peptides/Batch_A/CERT-PKS-000003_Tesamorelin_Flagship.md,,1.0.0,100,,,,,,,2026-07-19T18:56:54.150597+00:00: created/restored by Build 0038,CERT-BUILD-0038,,HISTORICAL_REPOSITORY_CENSUS,a2b6325a4a5c04839f38fdb3db7987429cd83301f51603e7b8f03401ffd7947d,2026-07-19T18:56:54.150597+00:00,
CERT-PKS-000096,CJC-1295 CLAIM CONTROL MATRIX — BUILD 0018,PKS,Knowledge Asset,ACTIVE,Certiaura,,,,02_Peptides/Batch_A/CERT-PKS-000004_CJC_1295_Claim_Control_Matrix.md,,1.0.0,100,,,,,,,2026-07-19T18:56:54.150597+00:00: created/restored by Build 0038,CERT-BUILD-0038,,HISTORICAL_REPOSITORY_CENSUS,2583a573f1a4e2302e5ff469ea65df948c7dc19f7da7e2eaede3b0d85e6e7e4c,2026-07-19T18:56:54.150597+00:00,
CERT-PKS-000097,CJC-1295 COMMERCIAL USE BOUNDARY,PKS,Knowledge Asset,ACTIVE,Certiaura,,,,02_Peptides/Batch_A/CERT-PKS-000004_CJC_1295_Commercial_Use_Boundary.md,,1.0.0,100,,,,,,,2026-07-19T18:56:54.150597+00:00: created/restored by Build 0038,CERT-BUILD-0038,,HISTORICAL_REPOSITORY_CENSUS,a32cb35f9a77a1237aa1521ad74a8a8cf7a50752cf772eadd9f6d45447cc7a88,2026-07-19T18:56:54.150597+00:00,
CERT-PKS-000004,CERT PKS 000004 CJC 1295 FLAGSHIP,PKS,Knowledge Asset,HUMAN PHARMACOLOGY EXTRACTED — NO THERAPEUTIC EFFICACY — NOT PLATINUM CERTIFIED,Certiaura,,,,02_Peptides/Batch_A/CERT-PKS-000004_CJC_1295_Flagship.json,,0.2.0,100,,,,,,,2026-07-19T18:56:54.150597+00:00: created/restored by Build 0038,CERT-BUILD-0038,,HISTORICAL_REPOSITORY_CENSUS,886bac324ac53c2ff4901b91dcecf3543a8f99b6b1d3315928db3e51c647806e,2026-07-19T18:56:54.150597+00:00,
CERT-PKS-000098,CERT-PKS-000004 — CJC-1295,PKS,Knowledge Asset, HUMAN PHARMACOLOGY EXTRACTED — NO THERAPEUTIC EFFICACY — NOT PLATINUM CERTIFIED,Certiaura,,,,02_Peptides/Batch_A/CERT-PKS-000004_CJC_1295_Flagship.md,,1.0.0,100,,,,,,,2026-07-19T18:56:54.150597+00:00: created/restored by Build 0038,CERT-BUILD-0038,,HISTORICAL_REPOSITORY_CENSUS,cba6a872ee451ebdbd26bdb1aaf388128fe9ae818e8fca8e1e8ec41de7707568,2026-07-19T18:56:54.150597+00:00,
CERT-PKS-000099,IPAMORELIN CLAIM CONTROL MATRIX — BUILD 0018,PKS,Knowledge Asset,ACTIVE,Certiaura,,,,02_Peptides/Batch_A/CERT-PKS-000005_Ipamorelin_Claim_Control_Matrix.md,,1.0.0,100,,,,,,,2026-07-19T18:56:54.150597+00:00: created/restored by Build 0038,CERT-BUILD-0038,,HISTORICAL_REPOSITORY_CENSUS,24844327ae6fd93558fcdf593c3274ce09f61cd3bd0906b659b6729896e38656,2026-07-19T18:56:54.150597+00:00,
CERT-PKS-000100,IPAMORELIN COMMERCIAL USE BOUNDARY,PKS,Knowledge Asset,ACTIVE,Certiaura,,,,02_Peptides/Batch_A/CERT-PKS-000005_Ipamorelin_Commercial_Use_Boundary.md,,1.0.0,100,,,,,,,2026-07-19T18:56:54.150597+00:00: created/restored by Build 0038,CERT-BUILD-0038,,HISTORICAL_REPOSITORY_CENSUS,cce12e8ffbf39f31c8743b48b5515033298f9965082a4c1d192865bb4918f931,2026-07-19T18:56:54.150597+00:00,
CERT-PKS-000005,CERT PKS 000005 IPAMORELIN FLAGSHIP,PKS,Knowledge Asset,HUMAN PK-PD AND NEGATIVE PHASE 2 EFFICACY EXTRACTED — NOT PLATINUM CERTIFIED,Certiaura,,,,02_Peptides/Batch_A/CERT-PKS-000005_Ipamorelin_Flagship.json,,0.2.0,100,,,,,,,2026-07-19T18:56:54.150597+00:00: created/restored by Build 0038,CERT-BUILD-0038,,HISTORICAL_REPOSITORY_CENSUS,8a605d1dabb9527f1e173b2d859306348d0743b83e64d665f8f335399783bdf9,2026-07-19T18:56:54.150597+00:00,
CERT-PKS-000101,CERT-PKS-000005 — Ipamorelin,PKS,Knowledge Asset, HUMAN PK-PD AND NEGATIVE PHASE 2 EFFICACY EXTRACTED — NOT PLATINUM CERTIFIED,Certiaura,,,,02_Peptides/Batch_A/CERT-PKS-000005_Ipamorelin_Flagship.md,,1.0.0,100,,,,,,,2026-07-19T18:56:54.150597+00:00: created/restored by Build 0038,CERT-BUILD-0038,,HISTORICAL_REPOSITORY_CENSUS,b49f93aa97ae2b6684f66d176e92ce548096c25b87c2ed633db2e344cf4f50ef,2026-07-19T18:56:54.150597+00:00,
CERT-PKS-000102,MOTS-C CLAIM CONTROL MATRIX — BUILD 0018,PKS,Knowledge Asset,ACTIVE,Certiaura,,,,02_Peptides/Batch_A/CERT-PKS-000006_MOTS_c_Claim_Control_Matrix.md,,1.0.0,100,,,,,,,2026-07-19T18:56:54.150597+00:00: created/restored by Build 0038,CERT-BUILD-0038,,HISTORICAL_REPOSITORY_CENSUS,193aecb2b018530abd3d74cfa017406ac79b51f8cf7c0ec14002e2dcbc749dee,2026-07-19T18:56:54.150597+00:00,
CERT-PKS-000103,MOTS-C COMMERCIAL USE BOUNDARY,PKS,Knowledge Asset,ACTIVE,Certiaura,,,,02_Peptides/Batch_A/CERT-PKS-000006_MOTS_c_Commercial_Use_Boundary.md,,1.0.0,100,,,,,,,2026-07-19T18:56:54.150597+00:00: created/restored by Build 0038,CERT-BUILD-0038,,HISTORICAL_REPOSITORY_CENSUS,286e1ee56ce80994edf295c9a340911ebfbea6060bd1695ad24df5b6946f2903,2026-07-19T18:56:54.150597+00:00,
CERT-PKS-000006,CERT PKS 000006 MOTS C FLAGSHIP,PKS,Knowledge Asset,CORE PRECLINICAL AND TRANSLATIONAL EVIDENCE EXTRACTED — HUMAN INTERVENTION GAP — NOT PLATINUM CERTIFIED,Certiaura,,,,02_Peptides/Batch_A/CERT-PKS-000006_MOTS_c_Flagship.json,,0.2.0,100,,,,,,,2026-07-19T18:56:54.150597+00:00: created/restored by Build 0038,CERT-BUILD-0038,,HISTORICAL_REPOSITORY_CENSUS,f22978f4ecccde6f3e2b4d5adb81ca8aa2a2d2ccf51c5b6fc60cd4c3f420e509,2026-07-19T18:56:54.150597+00:00,
CERT-PKS-000104,CERT-PKS-000006 — MOTS-c,PKS,Knowledge Asset, CORE PRECLINICAL AND TRANSLATIONAL EVIDENCE EXTRACTED — HUMAN INTERVENTION GAP — NOT PLATINUM CERTIFIED,Certiaura,,,,02_Peptides/Batch_A/CERT-PKS-000006_MOTS_c_Flagship.md,,1.0.0,100,,,,,,,2026-07-19T18:56:54.150597+00:00: created/restored by Build 0038,CERT-BUILD-0038,,HISTORICAL_REPOSITORY_CENSUS,b6324d04ad13bfcb3944d51590e8cabca998e2f45e16e09ad0cb96dfc2c7719a,2026-07-19T18:56:54.150597+00:00,
CERT-PKS-000105,CERT-PKS-000001 — Retatrutide,PKS,Knowledge Asset, SOURCE FOUNDATION COMPLETE WITHIN DEFINED SCOPE / SUPPLIER PASSPORT OPEN,Certiaura,,,,02_Peptides/Batch_B/CERT-PKS-000001_Flagship.md,,1.0.0,100,,,,,,,2026-07-19T18:56:54.150597+00:00: created/restored by Build 0038,CERT-BUILD-0038,,HISTORICAL_REPOSITORY_CENSUS,54b79ab13e536f729266c3840de4a0d73527535020906cc3fd976e709d74a163,2026-07-19T18:56:54.150597+00:00,
CERT-PKS-000106,RETATRUTIDE CLAIM CONTROL MATRIX,PKS,Knowledge Asset,ACTIVE,Certiaura,,,,02_Peptides/Batch_B/CERT-PKS-000001_Flagship_Claims.md,,1.0.0,100,,,,,,,2026-07-19T18:56:54.150597+00:00: created/restored by Build 0038,CERT-BUILD-0038,,HISTORICAL_REPOSITORY_CENSUS,e3dc18e510904b33784598224a12965756421bfa0d2b8fed273a94d505e19df3,2026-07-19T18:56:54.150597+00:00,
CERT-PKS-000107,RETATRUTIDE COMMERCIAL USE BOUNDARY,PKS,Knowledge Asset,ACTIVE,Certiaura,,,,02_Peptides/Batch_B/CERT-PKS-000001_Flagship_Commercial.md,,1.0.0,100,,,,,,,2026-07-19T18:56:54.150597+00:00: created/restored by Build 0038,CERT-BUILD-0038,,HISTORICAL_REPOSITORY_CENSUS,c14cacb5f67957b33a7ad558a11b5af5b1060ae501286f8917641a0c61f3a44f,2026-07-19T18:56:54.150597+00:00,
CERT-PKS-000108,CERT-PKS-000007 GHK CU CLAIM CONTROL MATRIX — BUILD 0019,PKS,Knowledge Asset,ACTIVE,Certiaura,,,,02_Peptides/Batch_B/CERT-PKS-000007_GHK_Cu_Claim_Control_Matrix.md,,1.0.0,100,,,,,,,2026-07-19T18:56:54.150597+00:00: created/restored by Build 0038,CERT-BUILD-0038,,HISTORICAL_REPOSITORY_CENSUS,df9974af55d8aa13ac6cff812ef2cd49b7d4177fed4d903007fc8c62ed4ecccc,2026-07-19T18:56:54.150597+00:00,
CERT-PKS-000109,GHK-CU COMMERCIAL USE BOUNDARY,PKS,Knowledge Asset,ACTIVE,Certiaura,,,,02_Peptides/Batch_B/CERT-PKS-000007_GHK_Cu_Commercial_Use_Boundary.md,,1.0.0,100,,,,,,,2026-07-19T18:56:54.150597+00:00: created/restored by Build 0038,CERT-BUILD-0038,,HISTORICAL_REPOSITORY_CENSUS,ba6aec8989e2078d8ef140074dc3a01c1f7f824f9e7fb99c19a7f425af5ad08d,2026-07-19T18:56:54.150597+00:00,
CERT-PKS-000007,CERT PKS 000007 GHK CU FLAGSHIP,PKS,Knowledge Asset,FOUNDATIONAL AND PRECLINICAL EVIDENCE STRUCTURED — HUMAN TOPICAL CLOSURE PARTIAL — INJECTABLE EVIDENCE INSUFFICIENT — NOT PLATINUM CERTIFIED,Certiaura,,,,02_Peptides/Batch_B/CERT-PKS-000007_GHK_Cu_Flagship.json,,0.2.0,100,,,,,,,2026-07-19T18:56:54.150597+00:00: created/restored by Build 0038,CERT-BUILD-0038,,HISTORICAL_REPOSITORY_CENSUS,b1ec21fb8d819976e39d98ed3d074368b8100b94253e6a08034441b30f701dc9,2026-07-19T18:56:54.150597+00:00,
CERT-PKS-000110,CERT-PKS-000007 — GHK-Cu,PKS,Knowledge Asset, FOUNDATIONAL AND PRECLINICAL EVIDENCE STRUCTURED — HUMAN TOPICAL CLOSURE PARTIAL — INJECTABLE EVIDENCE INSUFFICIENT — NOT PLATINUM CERTIFIED,Certiaura,,,,02_Peptides/Batch_B/CERT-PKS-000007_GHK_Cu_Flagship.md,,1.0.0,100,,,,,,,2026-07-19T18:56:54.150597+00:00: created/restored by Build 0038,CERT-BUILD-0038,,HISTORICAL_REPOSITORY_CENSUS,500ffe884a05fd4f865604f53689ee656b68157ee605b09878f707bd8ce85ea7,2026-07-19T18:56:54.150597+00:00,
CERT-PKS-000111,CERT-PKS-000008 THYMOSIN BETA 4 TB 500 CLAIM CONTROL MATRIX — BUILD 0019,PKS,Knowledge Asset,ACTIVE,Certiaura,,,,02_Peptides/Batch_B/CERT-PKS-000008_Thymosin_Beta_4_TB_500_Claim_Control_Matrix.md,,1.0.0,100,,,,,,,2026-07-19T18:56:54.150597+00:00: created/restored by Build 0038,CERT-BUILD-0038,,HISTORICAL_REPOSITORY_CENSUS,c3dd5d9c5177942f0f87057f99b62e1cda92985abda723a030e05e359f2d0126,2026-07-19T18:56:54.150597+00:00,
CERT-PKS-000112,THYMOSIN BETA-4 / TB-500 IDENTITY FAMILY CLAIM CONTROL MATRIX,PKS,Knowledge Asset,ACTIVE,Certiaura,,,,02_Peptides/Batch_B/CERT-PKS-000008_Thymosin_Beta_4_TB_500_Identity_Family_Claim_Control_Matrix.md,,1.0.0,100,,,,,,,2026-07-19T18:56:54.150597+00:00: created/restored by Build 0038,CERT-BUILD-0038,,HISTORICAL_REPOSITORY_CENSUS,3323e49c05909f09fe62bf6ba546e6ecb0d93742cce4a894846435a388ca6272,2026-07-19T18:56:54.150597+00:00,
CERT-PKS-000113,THYMOSIN BETA-4 / TB-500 IDENTITY FAMILY COMMERCIAL USE BOUNDARY,PKS,Knowledge Asset,ACTIVE,Certiaura,,,,02_Peptides/Batch_B/CERT-PKS-000008_Thymosin_Beta_4_TB_500_Identity_Family_Commercial_Use_Boundary.md,,1.0.0,100,,,,,,,2026-07-19T18:56:54.150597+00:00: created/restored by Build 0038,CERT-BUILD-0038,,HISTORICAL_REPOSITORY_CENSUS,29c224bfb5149c32d3ce0ac1603d40cdaabded57289ef27aa8364346a9356c70,2026-07-19T18:56:54.150597+00:00,
CERT-PKS-000008,CERT PKS 000008 THYMOSIN BETA 4 TB 500 IDENTITY FAMILY FLAGSHIP,PKS,Knowledge Asset,IDENTITY AND ANALYTICAL EVIDENCE STRUCTURED — FULL-LENGTH HUMAN CLINICAL CLOSURE PARTIAL — TB-500 HUMAN EVIDENCE INSUFFICIENT — NOT PLATINUM CERTIFIED,Certiaura,,,,02_Peptides/Batch_B/CERT-PKS-000008_Thymosin_Beta_4_TB_500_Identity_Family_Flagship.json,,0.2.0,100,,,,,,,2026-07-19T18:56:54.150597+00:00: created/restored by Build 0038,CERT-BUILD-0038,,HISTORICAL_REPOSITORY_CENSUS,e3277f8b8bfce07c5359247fd2628dbd5eb23fbbc3ff5ce1e6170ca0dcc7e3f4,2026-07-19T18:56:54.150597+00:00,
