UAI,Asset Name,System,Catalogue Codes,Baseline Closure Priority,Dedicated Closure Wave Applied,Product Passport,Canonical Identity Closure /5,Human Evidence Maturity /5,Regulatory Status Closure /5,Safety Source Closure /5,Supplier Evidence Availability /5,Analytical Verification Feasibility /5,Commercial Boundary Readiness /5,Weighted Readiness Score /100,Readiness Tier,Tier Name,Weakest Dimensions,Critical Quarantine,Direct Sale Gate,Platinum Certified,Recommended Next Action,Current Regulatory Headline,Current Closure Class
CERT-PKS-000013,Cagrilintide,PKS,CGL10; CGL20; CGL5,P2,NO,,4,4,4,4,2,4,4,76,T1,Primary-Source Closure Candidate,Supplier Evidence,NO,BLOCKED,NO,"Prioritise full primary-source extraction, authorised/clinical product mapping, complete safety-source closure and supplier Product Passport evidence request.",INVESTIGATIONAL / NO STANDALONE APPROVAL CLAIM,AUTHORISED-PRODUCT EQUIVALENCE BOUNDARY
CERT-PKS-000014,Mazdutide,PKS,MDT10; MDT5,P2,NO,,4,4,4,4,2,4,4,76,T1,Primary-Source Closure Candidate,Supplier Evidence,NO,BLOCKED,NO,"Prioritise full primary-source extraction, authorised/clinical product mapping, complete safety-source closure and supplier Product Passport evidence request.",APPROVED CONTEXT EXISTS IN CHINA / NO US-UK-EU APPROVAL CLAIM,AUTHORISED-PRODUCT EQUIVALENCE BOUNDARY
CERT-PKS-000015,Survodutide,PKS,SUR10,P2,NO,,4,4,4,4,2,4,4,76,T1,Primary-Source Closure Candidate,Supplier Evidence,NO,BLOCKED,NO,"Prioritise full primary-source extraction, authorised/clinical product mapping, complete safety-source closure and supplier Product Passport evidence request.",INVESTIGATIONAL / LATE-STAGE / NO APPROVAL CLAIM,AUTHORISED-PRODUCT EQUIVALENCE BOUNDARY
CERT-PKS-000054,Cibinetide / ARA-290,PKS,RA10,P2,NO,,4,4,4,4,2,4,4,76,T1,Primary-Source Closure Candidate,Supplier Evidence,NO,BLOCKED,NO,"Prioritise full primary-source extraction, authorised/clinical product mapping, complete safety-source closure and supplier Product Passport evidence request.",INVESTIGATIONAL CLINICAL-DEVELOPMENT PEPTIDE — NO APPROVAL CLAIM,AUTHORISED-PRODUCT EQUIVALENCE BOUNDARY
CERT-PKS-000034,Kisspeptin-10,PKS,KS10; KS5,P2,NO,,4,3,4,3,2,5,4,71,T2,Advanced Evidence Expansion,Supplier Evidence,NO,BLOCKED,NO,"Expand human, regulatory and safety evidence; close supplier sequence/formulation, quality and comparability gaps before Platinum-gap review.",INVESTIGATIONAL / UNAPPROVED / REPRODUCTIVE-ENDOCRINE RESEARCH,EVIDENCE AND REGULATORY CLOSURE
CERT-PKS-000046,Dermorphin,PKS,DR5,P0,YES,CERT-PPS-000018,4,3,4,3,2,5,4,71,T2,Advanced Evidence Expansion,Supplier Evidence,NO,BLOCKED,NO,"Expand human, regulatory and safety evidence; close supplier sequence/formulation, quality and comparability gaps before Platinum-gap review.",UNAPPROVED OPIOID PEPTIDE / MISUSE AND CONTROLLED-SUBSTANCE REVIEW REQUIRED,HIGH-RISK IDENTITY / PRODUCT PASSPORT
CERT-MPS-000002,Melatonin Supplier Vial Family,MPS,MT10,P1,YES,CERT-PPS-000002,2,4,4,4,2,3,4,66,T3,Substantial Closure Required,Identity; Supplier Evidence,NO,BLOCKED,NO,"Resolve the weakest identity, human-evidence, safety or supplier-data dimensions before allocating complete source-extraction effort.",AUTHORISED ORAL MEDICINE CONTEXTS EXIST / SUPPLIER VIAL ROUTE AND PRODUCT IDENTITY UNRESOLVED,PRODUCT PASSPORT OPEN
CERT-MPS-000007,Bacteriostatic Water Supplier Family,MPS,BA03; BA05; BA10; WA10,P0,YES,CERT-PPS-000007,4,4,3,3,2,3,3,66,T2,Advanced Evidence Expansion,Supplier Evidence,NO,BLOCKED,NO,"Expand human, regulatory and safety evidence; close supplier sequence/formulation, quality and comparability gaps before Platinum-gap review.",DILUENT IDENTITY AND STERILITY UNVERIFIED / NO AUTHORISED-PRODUCT EQUIVALENCE,HIGH-RISK IDENTITY / PRODUCT PASSPORT
CERT-MPS-000011,Alprostadil Supplier Vial Family,MPS,PRO20,P0,YES,CERT-PPS-000011,2,4,4,4,2,3,4,66,T3,Substantial Closure Required,Identity; Supplier Evidence,NO,BLOCKED,NO,"Resolve the weakest identity, human-evidence, safety or supplier-data dimensions before allocating complete source-extraction effort.",AUTHORISED PRODUCT CONTEXTS EXIST / SUPPLIER VIAL FORMULATION AND ROUTE UNRESOLVED,HIGH-RISK IDENTITY / PRODUCT PASSPORT
CERT-PKS-000023,GHRP-2 / Pralmorelin,PKS,G210; G25,P2,NO,,4,3,3,3,2,5,3,66,T2,Advanced Evidence Expansion,Supplier Evidence,NO,BLOCKED,NO,"Expand human, regulatory and safety evidence; close supplier sequence/formulation, quality and comparability gaps before Platinum-gap review.",JAPAN DIAGNOSTIC CONTEXT REQUIRES CURRENT VERIFICATION / NO US-UK-EU APPROVAL CLAIM,AUTHORISED-PRODUCT EQUIVALENCE BOUNDARY
CERT-PKS-000038,Semax,PKS,XA10; XA30; XA5,P2,NO,,4,3,3,3,2,5,3,66,T2,Advanced Evidence Expansion,Supplier Evidence,NO,BLOCKED,NO,"Expand human, regulatory and safety evidence; close supplier sequence/formulation, quality and comparability gaps before Platinum-gap review.",REGIONAL MEDICINAL / RESEARCH CONTEXT REQUIRES VERIFICATION — NO US-UK-EU APPROVAL CLAIM,AUTHORISED-PRODUCT EQUIVALENCE BOUNDARY
CERT-PKS-000039,Selank,PKS,SK10; SK30; SK5,P2,NO,,4,3,3,3,2,5,3,66,T2,Advanced Evidence Expansion,Supplier Evidence,NO,BLOCKED,NO,"Expand human, regulatory and safety evidence; close supplier sequence/formulation, quality and comparability gaps before Platinum-gap review.",REGIONAL MEDICINAL / RESEARCH CONTEXT REQUIRES VERIFICATION — NO US-UK-EU APPROVAL CLAIM,AUTHORISED-PRODUCT EQUIVALENCE BOUNDARY
CERT-PKS-000051,Thymosin Alpha-1 / Thymalfasin,PKS,TA10; TA2; TA5,P2,NO,,4,3,3,3,2,5,3,66,T2,Advanced Evidence Expansion,Supplier Evidence,NO,BLOCKED,NO,"Expand human, regulatory and safety evidence; close supplier sequence/formulation, quality and comparability gaps before Platinum-gap review.",REGIONAL MEDICINAL PRODUCT CONTEXTS EXIST — NO US-UK-CENTRAL-EU APPROVAL CLAIM,AUTHORISED-PRODUCT EQUIVALENCE BOUNDARY
CERT-PKS-000066,Vilon Supplier Product Family,PKS,VI20,P1,YES,CERT-PPS-000040,4,3,3,3,2,5,3,66,T2,Advanced Evidence Expansion,Supplier Evidence,NO,BLOCKED,NO,"Expand human, regulatory and safety evidence; close supplier sequence/formulation, quality and comparability gaps before Platinum-gap review.",SHORT REGULATORY PEPTIDE / IDENTITY AND REGIONAL-STATUS VERIFICATION REQUIRED,IDENTITY / FORMULATION CLOSURE
CERT-PKS-000072,Pancragen,PKS,PA20,P1,YES,CERT-PPS-000045,4,3,3,3,2,5,3,66,T2,Advanced Evidence Expansion,Supplier Evidence,NO,BLOCKED,NO,"Expand human, regulatory and safety evidence; close supplier sequence/formulation, quality and comparability gaps before Platinum-gap review.",IDENTITY-SENSITIVE SUPPLIER PRODUCT FAMILY / NO UNIVERSAL APPROVAL OR ORGAN-TREATMENT CLAIM,IDENTITY / FORMULATION CLOSURE
CERT-PKS-000021,Sermorelin,PKS,SMO10; SMO15; SMO2; SMO5,P2,NO,,4,3,3,3,2,4,3,64,T2,Advanced Evidence Expansion,Supplier Evidence,NO,BLOCKED,NO,"Expand human, regulatory and safety evidence; close supplier sequence/formulation, quality and comparability gaps before Platinum-gap review.",HISTORICAL APPROVAL / DISCONTINUATION CONTEXT — NO CURRENT UNIVERSAL APPROVAL CLAIM,AUTHORISED-PRODUCT EQUIVALENCE BOUNDARY
CERT-PKS-000022,Modified GRF (1-29),PKS,CND10; CND2; CND5,P2,NO,,4,2,4,2,2,5,4,64,T3,Substantial Closure Required,Human Evidence; Safety; Supplier Evidence,NO,BLOCKED,NO,"Resolve the weakest identity, human-evidence, safety or supplier-data dimensions before allocating complete source-extraction effort.",INVESTIGATIONAL / UNAPPROVED / IDENTITY-SENSITIVE,EVIDENCE AND REGULATORY CLOSURE
CERT-PKS-000024,GHRP-6,PKS,G610; G65,P2,NO,,4,2,4,2,2,5,4,64,T3,Substantial Closure Required,Human Evidence; Safety; Supplier Evidence,NO,BLOCKED,NO,"Resolve the weakest identity, human-evidence, safety or supplier-data dimensions before allocating complete source-extraction effort.",INVESTIGATIONAL / UNAPPROVED / ATHLETE WARNING REQUIRED,EVIDENCE AND REGULATORY CLOSURE
CERT-PKS-000025,Hexarelin / Examorelin,PKS,HX2; HX5,P2,NO,,4,2,4,2,2,5,4,64,T3,Substantial Closure Required,Human Evidence; Safety; Supplier Evidence,NO,BLOCKED,NO,"Resolve the weakest identity, human-evidence, safety or supplier-data dimensions before allocating complete source-extraction effort.",INVESTIGATIONAL / UNAPPROVED / ATHLETE WARNING REQUIRED,EVIDENCE AND REGULATORY CLOSURE
CERT-PKS-000031,Oxytocin,PKS,OT10; OT2; OT5,P2,NO,,4,3,3,3,2,4,3,64,T2,Advanced Evidence Expansion,Supplier Evidence,NO,BLOCKED,NO,"Expand human, regulatory and safety evidence; close supplier sequence/formulation, quality and comparability gaps before Platinum-gap review.",AUTHORISED OBSTETRIC MEDICINE CONTEXTS EXIST / MONITORED-CARE PRODUCT CONTROLS APPLY,AUTHORISED-PRODUCT EQUIVALENCE BOUNDARY
CERT-PKS-000049,N-Acetyl Semax Amidate,PKS,NXA30,P2,NO,,4,2,4,2,2,5,4,64,T3,Substantial Closure Required,Human Evidence; Safety; Supplier Evidence,NO,BLOCKED,NO,"Resolve the weakest identity, human-evidence, safety or supplier-data dimensions before allocating complete source-extraction effort.",MODIFIED SEMAX ANALOGUE / UNAPPROVED / EVIDENCE TRANSFER PROHIBITED,EVIDENCE AND REGULATORY CLOSURE
CERT-PKS-000050,N-Acetyl Selank Amidate,PKS,NSK30,P2,NO,,4,2,4,2,2,5,4,64,T3,Substantial Closure Required,Human Evidence; Safety; Supplier Evidence,NO,BLOCKED,NO,"Resolve the weakest identity, human-evidence, safety or supplier-data dimensions before allocating complete source-extraction effort.",MODIFIED SELANK ANALOGUE / UNAPPROVED / EVIDENCE TRANSFER PROHIBITED,EVIDENCE AND REGULATORY CLOSURE
CERT-PKS-000055,Vasoactive Intestinal Peptide / Aviptadil,PKS,VP10; VP5,P2,NO,,4,3,3,3,2,4,3,64,T2,Advanced Evidence Expansion,Supplier Evidence,NO,BLOCKED,NO,"Expand human, regulatory and safety evidence; close supplier sequence/formulation, quality and comparability gaps before Platinum-gap review.",PRODUCT- AND JURISDICTION-SPECIFIC CONTEXTS EXIST — NO UNIVERSAL STANDALONE APPROVAL CLAIM,AUTHORISED-PRODUCT EQUIVALENCE BOUNDARY
CERT-PKS-000056,KPV,PKS,KP10; KP5,P2,NO,,4,2,4,2,2,5,4,64,T3,Substantial Closure Required,Human Evidence; Safety; Supplier Evidence,NO,BLOCKED,NO,"Resolve the weakest identity, human-evidence, safety or supplier-data dimensions before allocating complete source-extraction effort.",PRECLINICAL-DOMINANT / UNAPPROVED / HUMAN EVIDENCE INSUFFICIENT,EVIDENCE AND REGULATORY CLOSURE
CERT-MPS-000005,NAD Supplier Product Family,MPS,NJ1000; NJ250; NJ3100; NJ500,P1,YES,CERT-PPS-000005,2,4,4,3,2,3,4,63,T3,Substantial Closure Required,Identity; Supplier Evidence,NO,BLOCKED,NO,"Resolve the weakest identity, human-evidence, safety or supplier-data dimensions before allocating complete source-extraction effort.",NAD+ / NADH / SALT AND ROUTE UNRESOLVED / UNAPPROVED INJECTABLE-PRODUCT CONTROLS APPLY,PRODUCT PASSPORT OPEN
CERT-PKS-000078,Vesugen,PKS,VE20,P1,YES,CERT-PPS-000051,4,3,3,2,2,5,3,63,T2,Advanced Evidence Expansion,Safety; Supplier Evidence,NO,BLOCKED,NO,"Expand human, regulatory and safety evidence; close supplier sequence/formulation, quality and comparability gaps before Platinum-gap review.",IDENTITY-SENSITIVE SUPPLIER PRODUCT FAMILY / NO UNIVERSAL APPROVAL OR ORGAN-TREATMENT CLAIM,IDENTITY / FORMULATION CLOSURE
CERT-PKS-000017,AOD9604,PKS,10AD; 2AD; 5AD,P2,NO,,4,2,4,2,2,4,4,62,T3,Substantial Closure Required,Human Evidence; Safety; Supplier Evidence,NO,BLOCKED,NO,"Resolve the weakest identity, human-evidence, safety or supplier-data dimensions before allocating complete source-extraction effort.",UNAPPROVED / DEVELOPMENT TERMINATED / ATHLETE CONTROL REQUIRED,EVIDENCE AND REGULATORY CLOSURE
CERT-PKS-000018,Adipotide,PKS,AP2; AP5,P2,NO,,4,2,4,2,2,4,4,62,T3,Substantial Closure Required,Human Evidence; Safety; Supplier Evidence,NO,BLOCKED,NO,"Resolve the weakest identity, human-evidence, safety or supplier-data dimensions before allocating complete source-extraction effort.",EXPERIMENTAL PRECLINICAL-DOMINANT / NO APPROVAL CLAIM,AUTHORISED-PRODUCT EQUIVALENCE BOUNDARY
CERT-PKS-000019,HGH Fragment 176-191,PKS,FR10; FR2; FR5,P2,NO,,4,2,4,2,2,4,4,62,T3,Substantial Closure Required,Human Evidence; Safety; Supplier Evidence,NO,BLOCKED,NO,"Resolve the weakest identity, human-evidence, safety or supplier-data dimensions before allocating complete source-extraction effort.",UNAPPROVED / HUMAN EVIDENCE NOT ESTABLISHED,EVIDENCE AND REGULATORY CLOSURE
CERT-PKS-000026,Long R3 IGF-1,PKS,IG01; IG1,P2,NO,,4,2,4,2,2,4,4,62,T3,Substantial Closure Required,Human Evidence; Safety; Supplier Evidence,NO,BLOCKED,NO,"Resolve the weakest identity, human-evidence, safety or supplier-data dimensions before allocating complete source-extraction effort.",UNAPPROVED RESEARCH PROTEIN / ATHLETE PROHIBITION CONTROL REQUIRED,EVIDENCE AND REGULATORY CLOSURE
CERT-PKS-000029,ACE-031,PKS,AE1,P2,NO,,4,2,4,2,2,4,4,62,T3,Substantial Closure Required,Human Evidence; Safety; Supplier Evidence,NO,BLOCKED,NO,"Resolve the weakest identity, human-evidence, safety or supplier-data dimensions before allocating complete source-extraction effort.",INVESTIGATIONAL DEVELOPMENT DISCONTINUED / NO APPROVAL / MYOSTATIN-INHIBITOR DOPING CONTROL,AUTHORISED-PRODUCT EQUIVALENCE BOUNDARY
CERT-PKS-000030,Gonadorelin,PKS,GND2,P2,NO,,4,2,3,3,2,5,3,62,T3,Substantial Closure Required,Human Evidence; Supplier Evidence,NO,BLOCKED,NO,"Resolve the weakest identity, human-evidence, safety or supplier-data dimensions before allocating complete source-extraction effort.",HISTORICAL AND CURRENT DIAGNOSTIC / REPRODUCTIVE PRODUCT CONTEXTS REQUIRE PRODUCT-SPECIFIC VERIFICATION,EVIDENCE AND REGULATORY CLOSURE
CERT-PKS-000032,Human Chorionic Gonadotropin Product Family,PKS,G10K; G2K; G5K,P1,YES,CERT-PPS-000034,2,4,4,4,1,2,4,62,T3,Substantial Closure Required,Supplier Evidence,NO,BLOCKED,NO,"Resolve the weakest identity, human-evidence, safety or supplier-data dimensions before allocating complete source-extraction effort.",AUTHORISED FERTILITY / ENDOCRINE PRODUCT CONTEXTS EXIST — NO WEIGHT-LOSS APPROVAL,IDENTITY / FORMULATION CLOSURE
CERT-PKS-000033,Menotropins / Human Menopausal Gonadotropin Product Family,PKS,G75,P1,YES,CERT-PPS-000035,2,4,4,4,1,2,4,62,T3,Substantial Closure Required,Supplier Evidence,NO,BLOCKED,NO,"Resolve the weakest identity, human-evidence, safety or supplier-data dimensions before allocating complete source-extraction effort.",AUTHORISED FERTILITY PRODUCT CONTEXTS EXIST / COMPOSITION- AND PRODUCT-SPECIFIC,IDENTITY / FORMULATION CLOSURE
CERT-PKS-000036,Insulin Supplier Product Family,PKS,ISU,P0,YES,CERT-PPS-000013,2,4,4,4,1,2,4,62,T3,Substantial Closure Required,Supplier Evidence,NO,BLOCKED,NO,"Resolve the weakest identity, human-evidence, safety or supplier-data dimensions before allocating complete source-extraction effort.",AUTHORISED INSULIN MEDICINES EXIST / CATALOGUE PRODUCT IDENTITY UNRESOLVED / CRITICAL-RISK,HIGH-RISK IDENTITY / PRODUCT PASSPORT
CERT-PKS-000037,Erythropoietin Supplier Product Family,PKS,E3K,P0,YES,CERT-PPS-000014,2,4,4,4,1,2,4,62,T3,Substantial Closure Required,Supplier Evidence,NO,BLOCKED,NO,"Resolve the weakest identity, human-evidence, safety or supplier-data dimensions before allocating complete source-extraction effort.",AUTHORISED ESA MEDICINES EXIST / CATALOGUE PRODUCT IDENTITY UNRESOLVED / ATHLETE PROHIBITION,HIGH-RISK IDENTITY / PRODUCT PASSPORT
CERT-PKS-000053,LL-37,PKS,375,P2,NO,,4,2,4,2,2,4,4,62,T3,Substantial Closure Required,Human Evidence; Safety; Supplier Evidence,NO,BLOCKED,NO,"Resolve the weakest identity, human-evidence, safety or supplier-data dimensions before allocating complete source-extraction effort.",INVESTIGATIONAL / CONTEXT-DEPENDENT IMMUNE EFFECTS / NO APPROVAL CLAIM,AUTHORISED-PRODUCT EQUIVALENCE BOUNDARY
CERT-PKS-000061,PNC-27,PKS,PN10; PN5,P2,NO,,4,2,4,2,2,4,4,62,T3,Substantial Closure Required,Human Evidence; Safety; Supplier Evidence,NO,BLOCKED,NO,"Resolve the weakest identity, human-evidence, safety or supplier-data dimensions before allocating complete source-extraction effort.",EXPERIMENTAL PRECLINICAL ANTICANCER PEPTIDE — NO APPROVAL OR HUMAN TREATMENT CLAIM,AUTHORISED-PRODUCT EQUIVALENCE BOUNDARY
CERT-PKS-000065,N-Acetyl Epitalon Amidate,PKS,NET5,P2,NO,,4,2,4,2,2,4,4,62,T3,Substantial Closure Required,Human Evidence; Safety; Supplier Evidence,NO,BLOCKED,NO,"Resolve the weakest identity, human-evidence, safety or supplier-data dimensions before allocating complete source-extraction effort.",MODIFIED EPITALON ANALOGUE / UNAPPROVED / PARENT-EVIDENCE TRANSFER PROHIBITED,EVIDENCE AND REGULATORY CLOSURE
CERT-PKS-000007,GHK-Cu,PKS,CU100; CU50,P2,NO,,4,2,3,3,2,4,3,60,T3,Substantial Closure Required,Human Evidence; Supplier Evidence,NO,BLOCKED,NO,"Resolve the weakest identity, human-evidence, safety or supplier-data dimensions before allocating complete source-extraction effort.",,EVIDENCE AND REGULATORY CLOSURE
CERT-PKS-000009,Melanotan II,PKS,ML10,P2,NO,,4,2,3,3,2,4,3,60,T3,Substantial Closure Required,Human Evidence; Supplier Evidence,NO,BLOCKED,NO,"Resolve the weakest identity, human-evidence, safety or supplier-data dimensions before allocating complete source-extraction effort.",,EVIDENCE AND REGULATORY CLOSURE
CERT-PKS-000044,Cerebrolysin Product Family,PKS,CBL60,P1,YES,CERT-PPS-000036,2,4,4,4,1,1,4,60,T3,Substantial Closure Required,Supplier Evidence; Analytical Feasibility,NO,BLOCKED,NO,"Resolve the weakest identity, human-evidence, safety or supplier-data dimensions before allocating complete source-extraction effort.","REGIONAL MEDICINAL PRODUCT CONTEXTS EXIST — NO FDA, UK OR CENTRAL EU AUTHORISATION CLAIM",IDENTITY / FORMULATION CLOSURE
CERT-PKS-000084,Cagrilintide + Semaglutide Supplier Blend,PKS,CS10,P1,YES,CERT-PPS-000023,2,4,4,4,1,1,4,60,T3,Substantial Closure Required,Supplier Evidence; Analytical Feasibility,NO,BLOCKED,NO,"Resolve the weakest identity, human-evidence, safety or supplier-data dimensions before allocating complete source-extraction effort.",CLINICAL-DEVELOPMENT COMBINATION CONTEXT EXISTS / CATALOGUE VIAL HAS NO AUTHORISED-PRODUCT EQUIVALENCE,COMBINATION ANALYTICS OPEN
CERT-PKS-000008,TB-500 fragment,PKS,B10F; BT10; BT2; BT20; BT5,P2,NO,,4,2,3,2,2,5,3,59,T3,Substantial Closure Required,Human Evidence; Safety; Supplier Evidence,NO,BLOCKED,NO,"Resolve the weakest identity, human-evidence, safety or supplier-data dimensions before allocating complete source-extraction effort.",,EVIDENCE AND REGULATORY CLOSURE
CERT-PKS-000010,Epitalon,PKS,ET10; ET40; ET50,P2,NO,,4,2,3,2,2,5,3,59,T3,Substantial Closure Required,Human Evidence; Safety; Supplier Evidence,NO,BLOCKED,NO,"Resolve the weakest identity, human-evidence, safety or supplier-data dimensions before allocating complete source-extraction effort.",,EVIDENCE AND REGULATORY CLOSURE
CERT-PKS-000041,Pinealon,PKS,PIN10; PIN20; PIN5,P2,NO,,4,2,3,2,2,5,3,59,T3,Substantial Closure Required,Human Evidence; Safety; Supplier Evidence,NO,BLOCKED,NO,"Resolve the weakest identity, human-evidence, safety or supplier-data dimensions before allocating complete source-extraction effort.",EXPERIMENTAL SHORT REGULATORY PEPTIDE — NO UNIVERSAL APPROVAL CLAIM,AUTHORISED-PRODUCT EQUIVALENCE BOUNDARY
CERT-PKS-000043,PE 22-28 Supplier Product Family,PKS,PE10,P1,YES,CERT-PPS-000020,4,2,3,2,2,5,3,59,T3,Substantial Closure Required,Human Evidence; Safety; Supplier Evidence,NO,BLOCKED,NO,"Resolve the weakest identity, human-evidence, safety or supplier-data dimensions before allocating complete source-extraction effort.",IDENTITY UNRESOLVED — NO PHARMACOLOGICAL OR APPROVAL CLAIM PERMITTED,IDENTITY / FORMULATION CLOSURE
CERT-PKS-000057,GHK,PKS,GH50,P2,NO,,4,2,3,2,2,5,3,59,T3,Substantial Closure Required,Human Evidence; Safety; Supplier Evidence,NO,BLOCKED,NO,"Resolve the weakest identity, human-evidence, safety or supplier-data dimensions before allocating complete source-extraction effort.",RESEARCH / COSMETIC-INGREDIENT CONTEXT — NO INJECTABLE OR MEDICINAL APPROVAL CLAIM,AUTHORISED-PRODUCT EQUIVALENCE BOUNDARY
CERT-PKS-000058,AHK-Cu,PKS,AU100,P2,NO,,4,2,3,2,2,5,3,59,T3,Substantial Closure Required,Human Evidence; Safety; Supplier Evidence,NO,BLOCKED,NO,"Resolve the weakest identity, human-evidence, safety or supplier-data dimensions before allocating complete source-extraction effort.",COSMETIC / RESEARCH CONTEXT — NO INJECTABLE OR MEDICINAL APPROVAL CLAIM,AUTHORISED-PRODUCT EQUIVALENCE BOUNDARY
CERT-PKS-000059,Acetyl Octapeptide-3 / SNAP-8,PKS,NP810,P2,NO,,4,2,3,2,2,5,3,59,T3,Substantial Closure Required,Human Evidence; Safety; Supplier Evidence,NO,BLOCKED,NO,"Resolve the weakest identity, human-evidence, safety or supplier-data dimensions before allocating complete source-extraction effort.",TOPICAL COSMETIC-INGREDIENT CONTEXT — NOT BOTULINUM TOXIN OR AN APPROVED INJECTABLE MEDICINE,EVIDENCE AND REGULATORY CLOSURE
