Product Passport,Parent UAI,Asset Name,Open Supplier Evidence Field,Status,Release Impact,Required Evidence
CERT-PPS-000055,CERT-PKS-000016,Liraglutide,"manufacturer, synthesis/production route and batch",OPEN,BLOCKS PLATINUM AND COMMERCIAL RELEASE,"Direct manufacturer declaration, certificate, reference-standard and independent analytical or regulatory comparability evidence"
CERT-PPS-000055,CERT-PKS-000016,Liraglutide,"HPLC, LC-MS, peptide mapping, potency and impurity profile",OPEN,BLOCKS PLATINUM AND COMMERCIAL RELEASE,"Direct manufacturer declaration, certificate, reference-standard and independent analytical or regulatory comparability evidence"
CERT-PPS-000055,CERT-PKS-000016,Liraglutide,"powder formulation, excipients and container closure",OPEN,BLOCKS PLATINUM AND COMMERCIAL RELEASE,"Direct manufacturer declaration, certificate, reference-standard and independent analytical or regulatory comparability evidence"
CERT-PPS-000055,CERT-PKS-000016,Liraglutide,"sterility, endotoxin, particles and stability",OPEN,BLOCKS PLATINUM AND COMMERCIAL RELEASE,"Direct manufacturer declaration, certificate, reference-standard and independent analytical or regulatory comparability evidence"
CERT-PPS-000055,CERT-PKS-000016,Liraglutide,biosynthetic versus chemically synthesised active-substance route,OPEN,BLOCKS PLATINUM AND COMMERCIAL RELEASE,"Direct manufacturer declaration, certificate, reference-standard and independent analytical or regulatory comparability evidence"
CERT-PPS-000055,CERT-PKS-000016,Liraglutide,"comparability to SAXENDA, VICTOZA or another exact authorised product",OPEN,BLOCKS PLATINUM AND COMMERCIAL RELEASE,"Direct manufacturer declaration, certificate, reference-standard and independent analytical or regulatory comparability evidence"
CERT-PPS-000056,CERT-PKS-000035,Teriparatide,complete human PTH(1-34) sequence and terminal chemistry,OPEN,BLOCKS PLATINUM AND COMMERCIAL RELEASE,"Direct manufacturer declaration, certificate, reference-standard and independent analytical or regulatory comparability evidence"
CERT-PPS-000056,CERT-PKS-000035,Teriparatide,recombinant versus synthetic production route,OPEN,BLOCKS PLATINUM AND COMMERCIAL RELEASE,"Direct manufacturer declaration, certificate, reference-standard and independent analytical or regulatory comparability evidence"
CERT-PPS-000056,CERT-PKS-000035,Teriparatide,"salt, molecular mass and reference standard",OPEN,BLOCKS PLATINUM AND COMMERCIAL RELEASE,"Direct manufacturer declaration, certificate, reference-standard and independent analytical or regulatory comparability evidence"
CERT-PPS-000056,CERT-PKS-000035,Teriparatide,"manufacturer, production/synthesis process and batch",OPEN,BLOCKS PLATINUM AND COMMERCIAL RELEASE,"Direct manufacturer declaration, certificate, reference-standard and independent analytical or regulatory comparability evidence"
CERT-PPS-000056,CERT-PKS-000035,Teriparatide,"HPLC, LC-MS, peptide mapping, bioassay potency and impurity profile",OPEN,BLOCKS PLATINUM AND COMMERCIAL RELEASE,"Direct manufacturer declaration, certificate, reference-standard and independent analytical or regulatory comparability evidence"
CERT-PPS-000056,CERT-PKS-000035,Teriparatide,"powder formulation, excipients and container closure",OPEN,BLOCKS PLATINUM AND COMMERCIAL RELEASE,"Direct manufacturer declaration, certificate, reference-standard and independent analytical or regulatory comparability evidence"
CERT-PPS-000056,CERT-PKS-000035,Teriparatide,"sterility, endotoxin, particles and stability",OPEN,BLOCKS PLATINUM AND COMMERCIAL RELEASE,"Direct manufacturer declaration, certificate, reference-standard and independent analytical or regulatory comparability evidence"
CERT-PPS-000056,CERT-PKS-000035,Teriparatide,comparability to an exact authorised teriparatide finished product,OPEN,BLOCKS PLATINUM AND COMMERCIAL RELEASE,"Direct manufacturer declaration, certificate, reference-standard and independent analytical or regulatory comparability evidence"
CERT-PPS-000057,CERT-PKS-000079,Afamelanotide / Melanotan I,"complete [Nle4,D-Phe7]-alpha-MSH analogue sequence and stereochemistry",OPEN,BLOCKS PLATINUM AND COMMERCIAL RELEASE,"Direct manufacturer declaration, certificate, reference-standard and independent analytical or regulatory comparability evidence"
CERT-PPS-000057,CERT-PKS-000079,Afamelanotide / Melanotan I,"acetate state, counter-ion, molecular mass and reference standard",OPEN,BLOCKS PLATINUM AND COMMERCIAL RELEASE,"Direct manufacturer declaration, certificate, reference-standard and independent analytical or regulatory comparability evidence"
CERT-PPS-000057,CERT-PKS-000079,Afamelanotide / Melanotan I,"manufacturer, synthesis route and batch",OPEN,BLOCKS PLATINUM AND COMMERCIAL RELEASE,"Direct manufacturer declaration, certificate, reference-standard and independent analytical or regulatory comparability evidence"
CERT-PPS-000057,CERT-PKS-000079,Afamelanotide / Melanotan I,"HPLC, LC-MS, potency and impurity profile",OPEN,BLOCKS PLATINUM AND COMMERCIAL RELEASE,"Direct manufacturer declaration, certificate, reference-standard and independent analytical or regulatory comparability evidence"
CERT-PPS-000057,CERT-PKS-000079,Afamelanotide / Melanotan I,"powder formulation, excipients and container closure",OPEN,BLOCKS PLATINUM AND COMMERCIAL RELEASE,"Direct manufacturer declaration, certificate, reference-standard and independent analytical or regulatory comparability evidence"
CERT-PPS-000057,CERT-PKS-000079,Afamelanotide / Melanotan I,"sterility, endotoxin, particles and stability",OPEN,BLOCKS PLATINUM AND COMMERCIAL RELEASE,"Direct manufacturer declaration, certificate, reference-standard and independent analytical or regulatory comparability evidence"
CERT-PPS-000057,CERT-PKS-000079,Afamelanotide / Melanotan I,"implant polymer, release characteristics and finished-device comparability",OPEN,BLOCKS PLATINUM AND COMMERCIAL RELEASE,"Direct manufacturer declaration, certificate, reference-standard and independent analytical or regulatory comparability evidence"
CERT-PPS-000057,CERT-PKS-000079,Afamelanotide / Melanotan I,comparability to SCENESSE 16 mg implant,OPEN,BLOCKS PLATINUM AND COMMERCIAL RELEASE,"Direct manufacturer declaration, certificate, reference-standard and independent analytical or regulatory comparability evidence"
CERT-PPS-000058,CERT-PKS-000080,Bremelanotide / PT-141,complete cyclic heptapeptide sequence and lactam-bridge identity,OPEN,BLOCKS PLATINUM AND COMMERCIAL RELEASE,"Direct manufacturer declaration, certificate, reference-standard and independent analytical or regulatory comparability evidence"
CERT-PPS-000058,CERT-PKS-000080,Bremelanotide / PT-141,"acetate state, counter-ion, molecular mass and reference standard",OPEN,BLOCKS PLATINUM AND COMMERCIAL RELEASE,"Direct manufacturer declaration, certificate, reference-standard and independent analytical or regulatory comparability evidence"
CERT-PPS-000058,CERT-PKS-000080,Bremelanotide / PT-141,"manufacturer, synthesis route and batch",OPEN,BLOCKS PLATINUM AND COMMERCIAL RELEASE,"Direct manufacturer declaration, certificate, reference-standard and independent analytical or regulatory comparability evidence"
CERT-PPS-000058,CERT-PKS-000080,Bremelanotide / PT-141,"HPLC, LC-MS, potency, stereochemistry and impurity profile",OPEN,BLOCKS PLATINUM AND COMMERCIAL RELEASE,"Direct manufacturer declaration, certificate, reference-standard and independent analytical or regulatory comparability evidence"
CERT-PPS-000058,CERT-PKS-000080,Bremelanotide / PT-141,"powder formulation, excipients and container closure",OPEN,BLOCKS PLATINUM AND COMMERCIAL RELEASE,"Direct manufacturer declaration, certificate, reference-standard and independent analytical or regulatory comparability evidence"
CERT-PPS-000058,CERT-PKS-000080,Bremelanotide / PT-141,"sterility, endotoxin, particles and stability",OPEN,BLOCKS PLATINUM AND COMMERCIAL RELEASE,"Direct manufacturer declaration, certificate, reference-standard and independent analytical or regulatory comparability evidence"
CERT-PPS-000058,CERT-PKS-000080,Bremelanotide / PT-141,prefilled-device concentration and finished-product comparability,OPEN,BLOCKS PLATINUM AND COMMERCIAL RELEASE,"Direct manufacturer declaration, certificate, reference-standard and independent analytical or regulatory comparability evidence"
CERT-PPS-000058,CERT-PKS-000080,Bremelanotide / PT-141,comparability to VYLEESI active substance and finished autoinjector,OPEN,BLOCKS PLATINUM AND COMMERCIAL RELEASE,"Direct manufacturer declaration, certificate, reference-standard and independent analytical or regulatory comparability evidence"
