Priority,UAI,Asset Name,System,Catalogue Codes,Product Passport,Closure Evidence Objects,Closure Class,Closure State,Closure Build,Closure Wave,Identity / Sequence Gate,Terminal Chemistry Gate,Source / Composition Gate,Potency Gate,Ratio Gate,Compatibility Gate,Quality Gate,Sterility Gate,Human Evidence Gate,Direct Sale Gate,Platinum Status,Repository Validation
P0,CERT-PKS-000046,Dermorphin,,DR5,CERT-PPS-000018,CERT-EKS-000257; CERT-EKS-000258,POTENT MU-OPIOID PEPTIDE / RESPIRATORY AND MISUSE RISK,"PARTIAL IDENTITY CLOSURE — LITERATURE SEQUENCE AND MU-OPIOID PHARMACOLOGY ESTABLISHED; SUPPLIER STEREOCHEMISTRY, POTENCY, PURITY, STERILITY AND HUMAN-PRODUCT STATUS OPEN",0031C,"Wave 3 — Combination, Opioid & Unknown Peptide Closure",BLOCKED,N/A OR BLOCKED,N/A OR BLOCKED,N/A OR BLOCKED,N/A OR BLOCKED,N/A OR BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,NO,GREEN — USER CONFIRMED
P0,CERT-PKS-000060,Matrixyl Supplier Product Family,,MA10,CERT-PPS-000016,CERT-EKS-000245; CERT-EKS-000246,"TRADEMARK FAMILY, INCI AND FORMULATION IDENTITY","BLOCKED — MATRIXYL TRADEMARK VARIANT, INCI, PEPTIDE COMPONENTS AND FINISHED-FORM IDENTITY UNKNOWN",0031B,"Wave 2 — Cosmetic, Injectable & Unresolved Identity Closure",BLOCKED,N/A OR BLOCKED,N/A OR BLOCKED,N/A OR BLOCKED,N/A OR BLOCKED,N/A OR BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,NO,GREEN — USER CONFIRMED
P0,CERT-PKS-000067,Testagen Supplier Product Family,,TG20,CERT-PPS-000017,CERT-EKS-000247; CERT-EKS-000248,PARTIAL SEQUENCE CLOSURE / SUPPLIER EQUIVALENCE AND HUMAN EVIDENCE,"PARTIAL CLOSURE — PRIMARY LITERATURE IDENTIFIES TESTAGEN AS KEDG; SUPPLIER TERMINI, SALT, ANALYTICAL IDENTITY AND HUMAN EVIDENCE REMAIN OPEN",0031B,"Wave 2 — Cosmetic, Injectable & Unresolved Identity Closure",BLOCKED,N/A OR BLOCKED,N/A OR BLOCKED,N/A OR BLOCKED,N/A OR BLOCKED,N/A OR BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,NO,GREEN — USER CONFIRMED
P1,CERT-MPS-000001,AICAR Supplier Product Family,MPS,AR50; AR100,CERT-PPS-000001,CERT-EKS-000283; CERT-EKS-000284,AICA RIBOSIDE / ACADESINE VERSUS PHOSPHORYLATED AICAR IDENTITY,"PARTIAL CLOSURE — HUMAN ACADESINE DEVELOPMENT AND CURRENT ANTI-DOPING STATUS IDENTIFIED; SUPPLIER CHEMICAL FORM, SALT, GRADE AND ROUTE OPEN",0033A,"Wave 5 — Biochemical, Metabolic & Coverage-Correction Closure",BLOCKED,N/A OR BLOCKED,N/A OR BLOCKED,N/A OR BLOCKED,N/A OR BLOCKED,N/A OR BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,NO,GREEN — USER CONFIRMED
P1,CERT-MPS-000002,Melatonin Supplier Vial Family,MPS,MT10,CERT-PPS-000002,CERT-EKS-000285; CERT-EKS-000286,AUTHORISED ORAL PRODUCT VERSUS UNSPECIFIED SUPPLIER VIAL,"PARTIAL CLOSURE — CURRENT EU ORAL MEDICINE CONTEXTS IDENTIFIED; SUPPLIER ROUTE, FORMULATION, RELEASE PROFILE, STERILITY AND EQUIVALENCE OPEN",0033A,"Wave 5 — Biochemical, Metabolic & Coverage-Correction Closure",BLOCKED,N/A OR BLOCKED,N/A OR BLOCKED,N/A OR BLOCKED,N/A OR BLOCKED,N/A OR BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,NO,GREEN — USER CONFIRMED
P1,CERT-MPS-000003,Glutathione Supplier Vial Family,MPS,GTT,CERT-PPS-000003,CERT-EKS-000287; CERT-EKS-000288,REDUCED/OXIDISED FORM AND STERILE-INJECTABLE QUALITY,"BLOCKED — REDOX FORM, SALT, ROUTE, STERILE GRADE, ENDOTOXIN, POTENCY AND PRODUCT-SPECIFIC CLINICAL EVIDENCE UNVERIFIED",0033A,"Wave 5 — Biochemical, Metabolic & Coverage-Correction Closure",BLOCKED,N/A OR BLOCKED,N/A OR BLOCKED,N/A OR BLOCKED,N/A OR BLOCKED,N/A OR BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,NO,GREEN — USER CONFIRMED
P1,CERT-MPS-000004,5-Amino-1MQ Supplier Product Family,MPS,5AM; 10AM; 50AM,CERT-PPS-000004,CERT-EKS-000289; CERT-EKS-000290,PRECLINICAL NNMT INHIBITOR / SALT AND HUMAN EVIDENCE,"PARTIAL CLOSURE — CELL AND MOUSE NNMT-INHIBITOR PROGRAMME IDENTIFIED; SUPPLIER SALT, FORMAL TOXICOLOGY, HUMAN PK, EFFICACY AND APPROVAL OPEN",0033A,"Wave 5 — Biochemical, Metabolic & Coverage-Correction Closure",BLOCKED,N/A OR BLOCKED,N/A OR BLOCKED,N/A OR BLOCKED,N/A OR BLOCKED,N/A OR BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,NO,GREEN — USER CONFIRMED
P1,CERT-MPS-000005,NAD Supplier Product Family,MPS,NJ3100; NJ250; NJ500; NJ1000,CERT-PPS-000005,CERT-EKS-000291; CERT-EKS-000292,NAD+ / NADH CHEMICAL FORM AND UNAPPROVED INJECTABLE QUALITY,"BLOCKED — NAD+ VERSUS NADH, SALT, CONCENTRATION, ROUTE, STERILE GRADE, ENDOTOXIN AND PRODUCT EQUIVALENCE UNVERIFIED",0033A,"Wave 5 — Biochemical, Metabolic & Coverage-Correction Closure",BLOCKED,N/A OR BLOCKED,N/A OR BLOCKED,N/A OR BLOCKED,N/A OR BLOCKED,N/A OR BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,NO,GREEN — USER CONFIRMED
P1,CERT-PKS-000028,PEG-MGF Supplier Product Family,,FMP2,CERT-PPS-000033,CERT-EKS-000297; CERT-EKS-000298,PEGYLATED MGF E-DOMAIN PRODUCT / SEQUENCE AND CONJUGATION CHEMISTRY,"BLOCKED — EXACT MGF-DERIVED SEQUENCE, PEG MOLECULAR WEIGHT, ATTACHMENT SITE, CONJUGATION DISTRIBUTION, POTENCY, STERILITY AND HUMAN EVIDENCE UNVERIFIED",0033B,"Wave 6 — Biologic, Glycoprotein & Mixture Identity Closure",BLOCKED,N/A OR BLOCKED,BLOCKED,BLOCKED,N/A OR BLOCKED,N/A OR BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,NO,GREEN — USER CONFIRMED
P1,CERT-PKS-000032,Human Chorionic Gonadotropin Product Family,,G2K; G5K; G10K,CERT-PPS-000034,CERT-EKS-000299; CERT-EKS-000300,GLYCOPROTEIN BIOLOGIC / URINARY VERSUS RECOMBINANT PRODUCT IDENTITY,"PARTIAL CLOSURE — CURRENT AUTHORISED URINARY hCG PRODUCT LABELS IDENTIFIED; SUPPLIER SOURCE, GLYCOSYLATION, POTENCY ASSAY, FORMULATION AND EQUIVALENCE OPEN",0033B,"Wave 6 — Biologic, Glycoprotein & Mixture Identity Closure",BLOCKED,N/A OR BLOCKED,BLOCKED,BLOCKED,N/A OR BLOCKED,N/A OR BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,NO,GREEN — USER CONFIRMED
P1,CERT-PKS-000033,Menotropins / Human Menopausal Gonadotropin Product Family,,G75,CERT-PPS-000035,CERT-EKS-000301; CERT-EKS-000302,URINARY GONADOTROPIN MIXTURE / FSH-LH BIOACTIVITY AND PURIFICATION,"PARTIAL CLOSURE — CURRENT MENOPUR LABEL AND EXACT 75 IU FSH / 75 IU LH-ACTIVITY PRODUCT CONTEXT IDENTIFIED; G75 SOURCE, COMPOSITION, POTENCY AND EQUIVALENCE OPEN",0033B,"Wave 6 — Biologic, Glycoprotein & Mixture Identity Closure",BLOCKED,N/A OR BLOCKED,BLOCKED,BLOCKED,N/A OR BLOCKED,N/A OR BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,NO,GREEN — USER CONFIRMED
P1,CERT-PKS-000042,Adamax Supplier Product Family,,AD5,CERT-PPS-000019,CERT-EKS-000259; CERT-EKS-000260,UNCHARACTERISED SEMAX/ADAMANTANE MARKETPLACE IDENTITY,"BLOCKED — NO PEER-REVIEWED ADAMAX CHARACTERISATION, AUTHORITATIVE SEQUENCE, LINKAGE POSITION, MOLECULAR FORMULA, MASS OR STANDARDISED PRODUCT IDENTITY",0031C,"Wave 3 — Combination, Opioid & Unknown Peptide Closure",BLOCKED,N/A OR BLOCKED,N/A OR BLOCKED,N/A OR BLOCKED,N/A OR BLOCKED,N/A OR BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,NO,GREEN — USER CONFIRMED
P1,CERT-PKS-000043,PE 22-28 Supplier Product Family,,PE10,CERT-PPS-000020,CERT-EKS-000261; CERT-EKS-000262,SPADIN-DERIVED HEPTAPEPTIDE / PRECLINICAL TREK-1 EVIDENCE,"PARTIAL IDENTITY CLOSURE — REFERENCE SEQUENCE GVSWGLR AND PRECLINICAL TREK-1 PROGRAMME IDENTIFIED; SUPPLIER TERMINI, SALT, ANALYTICAL EQUIVALENCE AND HUMAN EVIDENCE OPEN",0031C,"Wave 3 — Combination, Opioid & Unknown Peptide Closure",BLOCKED,N/A OR BLOCKED,N/A OR BLOCKED,N/A OR BLOCKED,N/A OR BLOCKED,N/A OR BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,NO,GREEN — USER CONFIRMED
P1,CERT-PKS-000044,Cerebrolysin Product Family,,CBL60,CERT-PPS-000036,CERT-EKS-000303; CERT-EKS-000304,PORCINE-BRAIN HYDROLYSATE MIXTURE / BRAND AND BATCH COMPARABILITY,"PARTIAL CLOSURE — BRANDED CEREBROLYSIN TRIAL MATERIAL AND CURRENT CLINICAL PROGRAMMES IDENTIFIED; CBL60 FORMULATION, MANUFACTURER AND COMPARABILITY OPEN",0033B,"Wave 6 — Biologic, Glycoprotein & Mixture Identity Closure",BLOCKED,N/A OR BLOCKED,BLOCKED,BLOCKED,N/A OR BLOCKED,N/A OR BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,NO,GREEN — USER CONFIRMED
P1,CERT-PKS-000047,P021 / Peptide 021 Adamantane Conjugate Product Family,,PP10,CERT-PPS-000021,CERT-EKS-000263; CERT-EKS-000264,CNTF-DERIVED ADAMANTANE PEPTIDOMIMETIC / PRECLINICAL ONLY,"PARTIAL IDENTITY CLOSURE — PRIMARY P021 NOTATION, CNTF ORIGIN AND PRECLINICAL PROGRAMME ESTABLISHED; SUPPLIER LINKAGE, PURITY, COMPARABILITY AND HUMAN EVIDENCE OPEN",0031C,"Wave 3 — Combination, Opioid & Unknown Peptide Closure",BLOCKED,N/A OR BLOCKED,N/A OR BLOCKED,N/A OR BLOCKED,N/A OR BLOCKED,N/A OR BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,NO,GREEN — USER CONFIRMED
P1,CERT-PKS-000048,P21 Without Adamantane Supplier Product Family,,P210,CERT-PPS-000022,CERT-EKS-000265; CERT-EKS-000266,UNKNOWN CNTF-FRAGMENT CANDIDATE / EVIDENCE-TRANSFER BLOCK,"BLOCKED — EXACT SEQUENCE, TERMINI, RESIDUE COUNT AND RELATIONSHIP TO P021 OR THE CNTF DGGL CORE ARE NOT ESTABLISHED",0031C,"Wave 3 — Combination, Opioid & Unknown Peptide Closure",BLOCKED,N/A OR BLOCKED,N/A OR BLOCKED,N/A OR BLOCKED,N/A OR BLOCKED,N/A OR BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,NO,GREEN — USER CONFIRMED
P1,CERT-PKS-000052,Thymalin Product Family,,TY10,CERT-PPS-000037,CERT-EKS-000305; CERT-EKS-000306,THYMUS-DERIVED POLYPEPTIDE EXTRACT / COMPOSITION AND SOURCE IDENTITY,"BLOCKED — SPECIES, TISSUE SOURCE, EXTRACTION PROCESS, PEPTIDE COMPOSITION, BATCH FINGERPRINT, STERILITY AND INDEPENDENT HUMAN EVIDENCE UNVERIFIED",0033B,"Wave 6 — Biologic, Glycoprotein & Mixture Identity Closure",BLOCKED,N/A OR BLOCKED,BLOCKED,BLOCKED,N/A OR BLOCKED,N/A OR BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,NO,GREEN — USER CONFIRMED
P1,CERT-PKS-000063,Humanin Supplier Product Family,,HU10,CERT-PPS-000038,CERT-EKS-000307; CERT-EKS-000308,MITOCHONDRIAL-DERIVED PEPTIDE / NATIVE VERSUS ANALOGUE IDENTITY,"PARTIAL CLOSURE — CANONICAL 24-RESIDUE HUMANIN AND PRECLINICAL BIOLOGY IDENTIFIED; HU10 SEQUENCE, ANALOGUE STATUS, TERMINI, PURITY, STERILITY AND HUMAN INTERVENTION OPEN",0033B,"Wave 6 — Biologic, Glycoprotein & Mixture Identity Closure",BLOCKED,N/A OR BLOCKED,BLOCKED,BLOCKED,N/A OR BLOCKED,N/A OR BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,NO,GREEN — USER CONFIRMED
P1,CERT-PKS-000064,FOXO4-DRI Supplier Product Family,,F410,CERT-PPS-000039,CERT-EKS-000309; CERT-EKS-000310,ALL-D RETRO-INVERSO SENOLYTIC / TAT FUSION AND PRECLINICAL EVIDENCE,"PARTIAL CLOSURE — PUBLISHED 46-RESIDUE ALL-D FOXO4-DRI/TAT REFERENCE SEQUENCE AND PRECLINICAL MECHANISM IDENTIFIED; F410 SEQUENCE, SALT, PURITY, POTENCY, STERILITY, HUMAN SAFETY AND PRODUCT EQUIVALENCE OPEN",0033C,Wave 7 — Senolytic & Short Regulatory Peptide Identity Closure,BLOCKED,BLOCKED,N/A OR BLOCKED,N/A OR BLOCKED,N/A OR BLOCKED,N/A OR BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,NO,GREEN — USER CONFIRMED
P1,CERT-PKS-000066,Vilon Supplier Product Family,,VI20,CERT-PPS-000040,CERT-EKS-000311; CERT-EKS-000312,KE DIPEPTIDE / TERMINAL CHEMISTRY AND SUPPLIER EQUIVALENCE,"PARTIAL CLOSURE — VILON LITERATURE IDENTITY LYS-GLU (KE) ESTABLISHED; VI20 TERMINI, SALT, ANALYTICAL IDENTITY, STERILITY, HUMAN EVIDENCE AND PRODUCT STATUS OPEN",0033C,Wave 7 — Senolytic & Short Regulatory Peptide Identity Closure,BLOCKED,BLOCKED,N/A OR BLOCKED,N/A OR BLOCKED,N/A OR BLOCKED,N/A OR BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,NO,GREEN — USER CONFIRMED
P1,CERT-PKS-000068,Bronchogen,,BR20,CERT-PPS-000041,CERT-EKS-000313; CERT-EKS-000314,AEDL TETRAPEPTIDE / RESPIRATORY POSITIONING AND HUMAN EVIDENCE,"PARTIAL CLOSURE — BRONCHOGEN LITERATURE IDENTITY ALA-GLU-ASP-LEU (AEDL) AND CELLULAR PROGRAMME IDENTIFIED; BR20 TERMINI, SALT, ANALYTICAL IDENTITY, STERILITY AND HUMAN BENEFIT OPEN",0033C,Wave 7 — Senolytic & Short Regulatory Peptide Identity Closure,BLOCKED,BLOCKED,N/A OR BLOCKED,N/A OR BLOCKED,N/A OR BLOCKED,N/A OR BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,NO,GREEN — USER CONFIRMED
P1,CERT-PKS-000069,Cardiogen,,CA20,CERT-PPS-000042,CERT-EKS-000315; CERT-EKS-000316,AEDR TETRAPEPTIDE / CARDIAC POSITIONING AND PRECLINICAL EVIDENCE,"PARTIAL CLOSURE — CARDIOGEN LITERATURE IDENTITY ALA-GLU-ASP-ARG (AEDR) AND ORGANOTYPIC MYOCARDIAL EVIDENCE IDENTIFIED; CA20 TERMINI, SALT, ANALYTICAL IDENTITY, STERILITY AND HUMAN BENEFIT OPEN",0033C,Wave 7 — Senolytic & Short Regulatory Peptide Identity Closure,BLOCKED,BLOCKED,N/A OR BLOCKED,N/A OR BLOCKED,N/A OR BLOCKED,N/A OR BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,NO,GREEN — USER CONFIRMED
P1,CERT-PKS-000070,Cortagen,,COR20,CERT-PPS-000043,CERT-EKS-000317; CERT-EKS-000318,AEDP TETRAPEPTIDE / CORTICAL POSITIONING AND EVIDENCE QUALITY,"PARTIAL CLOSURE — CORTAGEN LITERATURE IDENTITY ALA-GLU-ASP-PRO (AEDP) AND CELL/ANIMAL PROGRAMME IDENTIFIED; COR20 TERMINI, SALT, ANALYTICAL IDENTITY, STERILITY AND CONTROLLED HUMAN EVIDENCE OPEN",0033C,Wave 7 — Senolytic & Short Regulatory Peptide Identity Closure,BLOCKED,BLOCKED,N/A OR BLOCKED,N/A OR BLOCKED,N/A OR BLOCKED,N/A OR BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,NO,GREEN — USER CONFIRMED
P1,CERT-PKS-000071,Livagen,,LI20,CERT-PPS-000044,CERT-EKS-000319; CERT-EKS-000320,KEDA TETRAPEPTIDE / HEPATIC POSITIONING AND HUMAN TRANSLATION,"PARTIAL CLOSURE — LIVAGEN LITERATURE IDENTITY LYS-GLU-ASP-ALA (KEDA) AND IN-VITRO/ANIMAL PROGRAMME IDENTIFIED; LI20 TERMINI, SALT, ANALYTICAL IDENTITY, STERILITY AND CONTROLLED HUMAN BENEFIT OPEN",0033C,Wave 7 — Senolytic & Short Regulatory Peptide Identity Closure,BLOCKED,BLOCKED,N/A OR BLOCKED,N/A OR BLOCKED,N/A OR BLOCKED,N/A OR BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,NO,GREEN — USER CONFIRMED
P1,CERT-PKS-000072,Pancragen,,PA20,CERT-PPS-000045,CERT-EKS-000321; CERT-EKS-000322,KEDW TETRAPEPTIDE / TERMINAL AMIDE AND SUPPLIER EQUIVALENCE,"PARTIAL CLOSURE — PANCRAGEN RESIDUE ORDER LYS-GLU-ASP-TRP (KEDW) AND NON-HUMAN/HUMAN REGIONAL LITERATURE IDENTIFIED; PA20 TERMINAL CHEMISTRY, SALT, ANALYTICAL IDENTITY, STERILITY AND CLINICAL EQUIVALENCE OPEN",0033D,Wave 8 — Remaining Organ-Regulatory Peptide Identity Closure,BLOCKED,BLOCKED,N/A OR BLOCKED,N/A OR BLOCKED,N/A OR BLOCKED,N/A OR BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,NO,GREEN — USER CONFIRMED
P1,CERT-PKS-000073,Prostamax,,MAX20,CERT-PPS-000046,CERT-EKS-000323; CERT-EKS-000324,KEDP TETRAPEPTIDE / PROSTATE POSITIONING AND SUPPLIER EQUIVALENCE,"PARTIAL CLOSURE — NLM/PUBCHEM IDENTITY LYS-GLU-ASP-PRO (KEDP) AND LIMITED CHROMATIN/ORGANOTYPIC LITERATURE IDENTIFIED; MAX20 TERMINI, SALT, ANALYTICAL IDENTITY, STERILITY AND CONTROLLED HUMAN BENEFIT OPEN",0033D,Wave 8 — Remaining Organ-Regulatory Peptide Identity Closure,BLOCKED,BLOCKED,N/A OR BLOCKED,N/A OR BLOCKED,N/A OR BLOCKED,N/A OR BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,NO,GREEN — USER CONFIRMED
P1,CERT-PKS-000074,Cartalax,,LAX20,CERT-PPS-000047,CERT-EKS-000325; CERT-EKS-000326,AED TRIPEPTIDE / CARTILAGE POSITIONING AND SUPPLIER EQUIVALENCE,"PARTIAL CLOSURE — NLM MESH/PUBCHEM IDENTITY ALA-GLU-ASP (AED) AND PRECLINICAL CELLULAR LITERATURE IDENTIFIED; LAX20 TERMINI, SALT, ANALYTICAL IDENTITY, STERILITY AND CONTROLLED HUMAN BENEFIT OPEN",0033D,Wave 8 — Remaining Organ-Regulatory Peptide Identity Closure,BLOCKED,BLOCKED,N/A OR BLOCKED,N/A OR BLOCKED,N/A OR BLOCKED,N/A OR BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,NO,GREEN — USER CONFIRMED
P1,CERT-PKS-000075,Chonluten,,CH20,CERT-PPS-000048,CERT-EKS-000327; CERT-EKS-000328,EDG TRIPEPTIDE / RESPIRATORY AND IMMUNE CELL-CULTURE EVIDENCE,"PARTIAL CLOSURE — PRIMARY METHODS IDENTIFY CHONLUTEN AS GLU-ASP-GLY (EDG) AND HUMAN THP-1 CELL-CULTURE EVIDENCE EXISTS; CH20 TERMINI, SALT, ANALYTICAL IDENTITY, STERILITY AND HUMAN CLINICAL BENEFIT OPEN",0033D,Wave 8 — Remaining Organ-Regulatory Peptide Identity Closure,BLOCKED,BLOCKED,N/A OR BLOCKED,N/A OR BLOCKED,N/A OR BLOCKED,N/A OR BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,NO,GREEN — USER CONFIRMED
