UAI,Asset Name,System,Priority,Programme Status,Closure Build,Closure Wave,Product Passport,Closure Evidence Objects,Direct Sale Gate,Platinum Status,Recommended Next Build,Current Required Action,Baseline Closure Class
CERT-PKS-000046,Dermorphin,PKS,P0,CLOSURE WAVE APPLIED — GATES REMAIN BLOCKED,0031C,"Wave 3 — Combination, Opioid & Unknown Peptide Closure",CERT-PPS-000018,CERT-EKS-000257; CERT-EKS-000258,BLOCKED,NO,NO NEW WAVE SCHEDULED — DIRECT EVIDENCE REQUIRED,"Maintain blocked gates and close Product Passport fields only with direct manufacturer, analytical, stability, clinical and regulatory evidence.",HIGH-RISK IDENTITY / PRODUCT PASSPORT
CERT-PKS-000060,Matrixyl Supplier Product Family,PKS,P0,CLOSURE WAVE APPLIED — GATES REMAIN BLOCKED,0031B,"Wave 2 — Cosmetic, Injectable & Unresolved Identity Closure",CERT-PPS-000016,CERT-EKS-000245; CERT-EKS-000246,BLOCKED,NO,NO NEW WAVE SCHEDULED — DIRECT EVIDENCE REQUIRED,"Maintain blocked gates and close Product Passport fields only with direct manufacturer, analytical, stability, clinical and regulatory evidence.",HIGH-RISK IDENTITY / PRODUCT PASSPORT
CERT-PKS-000067,Testagen Supplier Product Family,PKS,P0,CLOSURE WAVE APPLIED — GATES REMAIN BLOCKED,0031B,"Wave 2 — Cosmetic, Injectable & Unresolved Identity Closure",CERT-PPS-000017,CERT-EKS-000247; CERT-EKS-000248,BLOCKED,NO,NO NEW WAVE SCHEDULED — DIRECT EVIDENCE REQUIRED,"Maintain blocked gates and close Product Passport fields only with direct manufacturer, analytical, stability, clinical and regulatory evidence.",HIGH-RISK IDENTITY / PRODUCT PASSPORT
CERT-MPS-000001,AICAR Supplier Product Family,MPS,P1,PRIORITY CLOSURE WAVE PENDING,,,CERT-PPS-000001,,BLOCKED / NOT ACTIVATED,NO,0033A,"Complete PPS identity, grade, route, quality and legal fields.",PRODUCT PASSPORT OPEN
CERT-MPS-000002,Melatonin Supplier Vial Family,MPS,P1,PRIORITY CLOSURE WAVE PENDING,,,CERT-PPS-000002,,BLOCKED / NOT ACTIVATED,NO,0033A,"Complete PPS identity, grade, route, quality and legal fields.",PRODUCT PASSPORT OPEN
CERT-MPS-000003,Glutathione Supplier Vial Family,MPS,P1,PRIORITY CLOSURE WAVE PENDING,,,CERT-PPS-000003,,BLOCKED / NOT ACTIVATED,NO,0033A,"Complete PPS identity, grade, route, quality and legal fields.",PRODUCT PASSPORT OPEN
CERT-MPS-000004,5-Amino-1MQ Supplier Product Family,MPS,P1,PRIORITY CLOSURE WAVE PENDING,,,CERT-PPS-000004,,BLOCKED / NOT ACTIVATED,NO,0033A,"Complete PPS identity, grade, route, quality and legal fields.",PRODUCT PASSPORT OPEN
CERT-MPS-000005,NAD Supplier Product Family,MPS,P1,PRIORITY CLOSURE WAVE PENDING,,,CERT-PPS-000005,,BLOCKED / NOT ACTIVATED,NO,0033A,"Complete PPS identity, grade, route, quality and legal fields.",PRODUCT PASSPORT OPEN
CERT-PKS-000028,PEG-MGF Supplier Product Family,PKS,P1,PRIORITY CLOSURE WAVE PENDING,,,,,BLOCKED / NOT ACTIVATED,NO,0033B,"Close sequence, formulation, manufacturer and primary-source identity.",IDENTITY / FORMULATION CLOSURE
CERT-PKS-000032,Human Chorionic Gonadotropin Product Family,PKS,P1,PRIORITY CLOSURE WAVE PENDING,,,,,BLOCKED / NOT ACTIVATED,NO,0033B,"Close sequence, formulation, manufacturer and primary-source identity.",IDENTITY / FORMULATION CLOSURE
CERT-PKS-000033,Menotropins / Human Menopausal Gonadotropin Product Family,PKS,P1,PRIORITY CLOSURE WAVE PENDING,,,,,BLOCKED / NOT ACTIVATED,NO,0033B,"Close sequence, formulation, manufacturer and primary-source identity.",IDENTITY / FORMULATION CLOSURE
CERT-PKS-000042,Adamax Supplier Product Family,PKS,P1,CLOSURE WAVE APPLIED — GATES REMAIN BLOCKED,0031C,"Wave 3 — Combination, Opioid & Unknown Peptide Closure",CERT-PPS-000019,CERT-EKS-000259; CERT-EKS-000260,BLOCKED,NO,NO NEW WAVE SCHEDULED — DIRECT EVIDENCE REQUIRED,"Maintain blocked gates and close Product Passport fields only with direct manufacturer, analytical, stability, clinical and regulatory evidence.",IDENTITY / FORMULATION CLOSURE
CERT-PKS-000043,PE 22-28 Supplier Product Family,PKS,P1,CLOSURE WAVE APPLIED — GATES REMAIN BLOCKED,0031C,"Wave 3 — Combination, Opioid & Unknown Peptide Closure",CERT-PPS-000020,CERT-EKS-000261; CERT-EKS-000262,BLOCKED,NO,NO NEW WAVE SCHEDULED — DIRECT EVIDENCE REQUIRED,"Maintain blocked gates and close Product Passport fields only with direct manufacturer, analytical, stability, clinical and regulatory evidence.",IDENTITY / FORMULATION CLOSURE
CERT-PKS-000044,Cerebrolysin Product Family,PKS,P1,PRIORITY CLOSURE WAVE PENDING,,,,,BLOCKED / NOT ACTIVATED,NO,0033B,"Close sequence, formulation, manufacturer and primary-source identity.",IDENTITY / FORMULATION CLOSURE
CERT-PKS-000047,P021 / Peptide 021 Adamantane Conjugate Product Family,PKS,P1,CLOSURE WAVE APPLIED — GATES REMAIN BLOCKED,0031C,"Wave 3 — Combination, Opioid & Unknown Peptide Closure",CERT-PPS-000021,CERT-EKS-000263; CERT-EKS-000264,BLOCKED,NO,NO NEW WAVE SCHEDULED — DIRECT EVIDENCE REQUIRED,"Maintain blocked gates and close Product Passport fields only with direct manufacturer, analytical, stability, clinical and regulatory evidence.",IDENTITY / FORMULATION CLOSURE
CERT-PKS-000048,P21 Without Adamantane Supplier Product Family,PKS,P1,CLOSURE WAVE APPLIED — GATES REMAIN BLOCKED,0031C,"Wave 3 — Combination, Opioid & Unknown Peptide Closure",CERT-PPS-000022,CERT-EKS-000265; CERT-EKS-000266,BLOCKED,NO,NO NEW WAVE SCHEDULED — DIRECT EVIDENCE REQUIRED,"Maintain blocked gates and close Product Passport fields only with direct manufacturer, analytical, stability, clinical and regulatory evidence.",IDENTITY / FORMULATION CLOSURE
CERT-PKS-000052,Thymalin Product Family,PKS,P1,PRIORITY CLOSURE WAVE PENDING,,,,,BLOCKED / NOT ACTIVATED,NO,0033B,"Close sequence, formulation, manufacturer and primary-source identity.",IDENTITY / FORMULATION CLOSURE
CERT-PKS-000063,Humanin Supplier Product Family,PKS,P1,PRIORITY CLOSURE WAVE PENDING,,,,,BLOCKED / NOT ACTIVATED,NO,0033B,"Close sequence, formulation, manufacturer and primary-source identity.",IDENTITY / FORMULATION CLOSURE
CERT-PKS-000064,FOXO4-DRI Supplier Product Family,PKS,P1,PRIORITY CLOSURE WAVE PENDING,,,,,BLOCKED / NOT ACTIVATED,NO,0033C,"Close sequence, formulation, manufacturer and primary-source identity.",IDENTITY / FORMULATION CLOSURE
CERT-PKS-000066,Vilon Supplier Product Family,PKS,P1,PRIORITY CLOSURE WAVE PENDING,,,,,BLOCKED / NOT ACTIVATED,NO,0033C,"Close sequence, formulation, manufacturer and primary-source identity.",IDENTITY / FORMULATION CLOSURE
CERT-PKS-000068,Bronchogen,PKS,P1,PRIORITY CLOSURE WAVE PENDING,,,,,BLOCKED / NOT ACTIVATED,NO,0033C,"Close sequence, formulation, manufacturer and primary-source identity.",IDENTITY / FORMULATION CLOSURE
CERT-PKS-000069,Cardiogen,PKS,P1,PRIORITY CLOSURE WAVE PENDING,,,,,BLOCKED / NOT ACTIVATED,NO,0033C,"Close sequence, formulation, manufacturer and primary-source identity.",IDENTITY / FORMULATION CLOSURE
CERT-PKS-000070,Cortagen,PKS,P1,PRIORITY CLOSURE WAVE PENDING,,,,,BLOCKED / NOT ACTIVATED,NO,0033C,"Close sequence, formulation, manufacturer and primary-source identity.",IDENTITY / FORMULATION CLOSURE
CERT-PKS-000071,Livagen,PKS,P1,PRIORITY CLOSURE WAVE PENDING,,,,,BLOCKED / NOT ACTIVATED,NO,0033C,"Close sequence, formulation, manufacturer and primary-source identity.",IDENTITY / FORMULATION CLOSURE
CERT-PKS-000072,Pancragen,PKS,P1,PRIORITY CLOSURE WAVE PENDING,,,,,BLOCKED / NOT ACTIVATED,NO,0033D,"Close sequence, formulation, manufacturer and primary-source identity.",IDENTITY / FORMULATION CLOSURE
CERT-PKS-000073,Prostamax,PKS,P1,PRIORITY CLOSURE WAVE PENDING,,,,,BLOCKED / NOT ACTIVATED,NO,0033D,"Close sequence, formulation, manufacturer and primary-source identity.",IDENTITY / FORMULATION CLOSURE
CERT-PKS-000074,Cartalax,PKS,P1,PRIORITY CLOSURE WAVE PENDING,,,,,BLOCKED / NOT ACTIVATED,NO,0033D,"Close sequence, formulation, manufacturer and primary-source identity.",IDENTITY / FORMULATION CLOSURE
CERT-PKS-000075,Chonluten,PKS,P1,PRIORITY CLOSURE WAVE PENDING,,,,,BLOCKED / NOT ACTIVATED,NO,0033D,"Close sequence, formulation, manufacturer and primary-source identity.",IDENTITY / FORMULATION CLOSURE
CERT-PKS-000076,Crystagen,PKS,P1,PRIORITY CLOSURE WAVE PENDING,,,,,BLOCKED / NOT ACTIVATED,NO,0033D,"Close sequence, formulation, manufacturer and primary-source identity.",IDENTITY / FORMULATION CLOSURE
CERT-PKS-000077,Ovagen,PKS,P1,PRIORITY CLOSURE WAVE PENDING,,,,,BLOCKED / NOT ACTIVATED,NO,0033D,"Close sequence, formulation, manufacturer and primary-source identity.",IDENTITY / FORMULATION CLOSURE
CERT-PKS-000078,Vesugen,PKS,P1,PRIORITY CLOSURE WAVE PENDING,,,,,BLOCKED / NOT ACTIVATED,NO,0033D,"Close sequence, formulation, manufacturer and primary-source identity.",IDENTITY / FORMULATION CLOSURE
CERT-PKS-000081,BPC-157 + TB Supplier Blend Family,PKS,P1,CLOSURE WAVE APPLIED — GATES REMAIN BLOCKED,0031D,Wave 4 — Remaining Combination-Product Analytical Closure,CERT-PPS-000024,CERT-EKS-000269; CERT-EKS-000270,BLOCKED,NO,NO NEW WAVE SCHEDULED — DIRECT EVIDENCE REQUIRED,"Maintain blocked gates and close Product Passport fields only with direct manufacturer, analytical, stability, clinical and regulatory evidence.",COMBINATION ANALYTICS OPEN
CERT-PKS-000082,BPC-157 + GHK-Cu + TB-500 Supplier Blend,PKS,P1,CLOSURE WAVE APPLIED — GATES REMAIN BLOCKED,0031D,Wave 4 — Remaining Combination-Product Analytical Closure,CERT-PPS-000025,CERT-EKS-000271; CERT-EKS-000272,BLOCKED,NO,NO NEW WAVE SCHEDULED — DIRECT EVIDENCE REQUIRED,"Maintain blocked gates and close Product Passport fields only with direct manufacturer, analytical, stability, clinical and regulatory evidence.",COMBINATION ANALYTICS OPEN
CERT-PKS-000083,BPC-157 + GHK-Cu + TB-500 + KPV Supplier Blend,PKS,P1,CLOSURE WAVE APPLIED — GATES REMAIN BLOCKED,0031D,Wave 4 — Remaining Combination-Product Analytical Closure,CERT-PPS-000026,CERT-EKS-000273; CERT-EKS-000274,BLOCKED,NO,NO NEW WAVE SCHEDULED — DIRECT EVIDENCE REQUIRED,"Maintain blocked gates and close Product Passport fields only with direct manufacturer, analytical, stability, clinical and regulatory evidence.",COMBINATION ANALYTICS OPEN
CERT-PKS-000084,Cagrilintide + Semaglutide Supplier Blend,PKS,P1,CLOSURE WAVE APPLIED — GATES REMAIN BLOCKED,0031C,"Wave 3 — Combination, Opioid & Unknown Peptide Closure",CERT-PPS-000023,CERT-EKS-000267; CERT-EKS-000268,BLOCKED,NO,NO NEW WAVE SCHEDULED — DIRECT EVIDENCE REQUIRED,"Maintain blocked gates and close Product Passport fields only with direct manufacturer, analytical, stability, clinical and regulatory evidence.",COMBINATION ANALYTICS OPEN
CERT-PKS-000085,Retatrutide + Cagrilintide Supplier Blend,PKS,P1,CLOSURE WAVE APPLIED — GATES REMAIN BLOCKED,0031D,Wave 4 — Remaining Combination-Product Analytical Closure,CERT-PPS-000027,CERT-EKS-000275; CERT-EKS-000276,BLOCKED,NO,NO NEW WAVE SCHEDULED — DIRECT EVIDENCE REQUIRED,"Maintain blocked gates and close Product Passport fields only with direct manufacturer, analytical, stability, clinical and regulatory evidence.",COMBINATION ANALYTICS OPEN
CERT-PKS-000086,Tesamorelin + Ipamorelin Supplier Blend,PKS,P1,CLOSURE WAVE APPLIED — GATES REMAIN BLOCKED,0031D,Wave 4 — Remaining Combination-Product Analytical Closure,CERT-PPS-000028,CERT-EKS-000277; CERT-EKS-000278,BLOCKED,NO,NO NEW WAVE SCHEDULED — DIRECT EVIDENCE REQUIRED,"Maintain blocked gates and close Product Passport fields only with direct manufacturer, analytical, stability, clinical and regulatory evidence.",COMBINATION ANALYTICS OPEN
CERT-PKS-000087,Semax + Selank Supplier Blend,PKS,P1,CLOSURE WAVE APPLIED — GATES REMAIN BLOCKED,0031D,Wave 4 — Remaining Combination-Product Analytical Closure,CERT-PPS-000029,CERT-EKS-000279; CERT-EKS-000280,BLOCKED,NO,NO NEW WAVE SCHEDULED — DIRECT EVIDENCE REQUIRED,"Maintain blocked gates and close Product Passport fields only with direct manufacturer, analytical, stability, clinical and regulatory evidence.",COMBINATION ANALYTICS OPEN
CERT-PKS-000088,Modified GRF (1-29) + Ipamorelin Supplier Blend,PKS,P1,CLOSURE WAVE APPLIED — GATES REMAIN BLOCKED,0031D,Wave 4 — Remaining Combination-Product Analytical Closure,CERT-PPS-000030,CERT-EKS-000281; CERT-EKS-000282,BLOCKED,NO,NO NEW WAVE SCHEDULED — DIRECT EVIDENCE REQUIRED,"Maintain blocked gates and close Product Passport fields only with direct manufacturer, analytical, stability, clinical and regulatory evidence.",COMBINATION ANALYTICS OPEN
CERT-PKS-000089,Elamipretide / SS-31,PKS,P1,COVERAGE-CORRECTION FOUNDATION COMPLETE — DEDICATED CLOSURE PENDING,0030A,Coverage Correction Foundation,,CERT-EKS-000229; CERT-EKS-000230,BLOCKED,NO,0033A,"Allocate a dedicated Product Passport and close supplier sequence, salt, sterility, quality and Forzinity comparability.",AUTHORISED-PRODUCT EQUIVALENCE / SUPPLIER POWDER
CERT-PKS-000090,Generic GLP-1 Supplier Product Family,PKS,P1,COVERAGE-CORRECTION FOUNDATION COMPLETE — DEDICATED CLOSURE PENDING,0030A,Coverage Correction Foundation,,CERT-EKS-000231; CERT-EKS-000232,BLOCKED,NO,0033A,"Allocate a dedicated Product Passport and close sequence, residue range, terminal form, analogue status, salt and product-specific evidence.",CRITICAL MOLECULAR IDENTITY / SUPPLIER FAMILY
