Preliminary Canonical Name,Catalogue Listed Name,Catalogue Codes,Source SKU Count,Review Segment,Build 0020 Identity Status,Final UAI(s),Final Asset Name(s),Final Build(s),Disposition,Audit Note
ACE-031,ACE-031,AE1,1,"C3 - GH, IGF and endocrine",PRELIMINARY IDENTITY ACCEPTED,CERT-PKS-000029,ACE-031,0022B,MAPPED,
AICAR,AICAR,AR50; AR100,2,C9 - Non-peptide and ancillary catalogue items,PRELIMINARY IDENTITY ACCEPTED,CERT-MPS-000001,AICAR Supplier Product Family,0028A,MAPPED,
Adipotide,Adipotide,AP2; AP5,2,C2 - Metabolic and incretin-related,PRELIMINARY IDENTITY ACCEPTED,CERT-PKS-000018,Adipotide,0021,MAPPED,
Semax,Semax,XA5; XA10; XA30,3,C4 - Neurocognitive and sleep peptides,PRELIMINARY IDENTITY ACCEPTED,CERT-PKS-000038,Semax,0023A,MAPPED,
Semaglutide,Semaglutide,SM2; SM5; SM10; SM15; SM20; SM30,6,C2 - Metabolic and incretin-related,PRELIMINARY IDENTITY ACCEPTED,CERT-PKS-000011,Semaglutide,0021,MAPPED,
Elamipretide,SS-31,2S10; 2S50,2,C6 - Mitochondrial and longevity research,PRELIMINARY IDENTITY ACCEPTED,,,,UNMAPPED - COVERAGE GAP,Corrective asset allocation required.
Tirzepatide,Tirzepatide,TR5; TR10; TR15; TR20; TR30; TR40; TR50; TR60; TR100,9,C2 - Metabolic and incretin-related,PRELIMINARY IDENTITY ACCEPTED,CERT-PKS-000012,Tirzepatide,0021,MAPPED,
GHRP-2 acetate,GHRP-2 Acetate,G25; G210,2,"C3 - GH, IGF and endocrine",PRELIMINARY IDENTITY ACCEPTED,CERT-PKS-000023,GHRP-2 / Pralmorelin,0022A,MAPPED,
GHRP-6 acetate,GHRP-6 Acetate,G65; G610,2,"C3 - GH, IGF and endocrine",PRELIMINARY IDENTITY ACCEPTED,CERT-PKS-000024,GHRP-6,0022A,MAPPED,
Modified GRF (1-29) identity candidate,CJC-1295 Without DAC,CND2; CND5; CND10,3,"C3 - GH, IGF and endocrine",IDENTITY CORRECTION REQUIRED,CERT-PKS-000022,Modified GRF (1-29),0022A,MAPPED,
Modified GRF (1-29) + Ipamorelin blend,CJC-1295 without DAC + IPA,CP10; CP20,2,C8 - Blends and supplier combinations,BLEND / CJC NOMENCLATURE VERIFICATION REQUIRED,CERT-PKS-000088,Modified GRF (1-29) + Ipamorelin Supplier Blend,0027,MAPPED,
CJC-1295 with DAC,CJC-1295 With DAC,CD2; CD5; CD10,3,Existing assets,PRELIMINARY IDENTITY ACCEPTED,CERT-PKS-000004,CJC-1295 with DAC,PRE-0020,MAPPED,
Thymosin beta-4 / TB-500 full-length candidate,TB500 (Thymosin B4 Acetate),BT2; BT5; BT10; BT20,4,Existing assets,SEQUENCE / FULL-LENGTH IDENTITY VERIFICATION REQUIRED,CERT-PKS-000008,TB-500 fragment,PRE-0020,MAPPED - DELIBERATE CONSOLIDATION,Full-length thymosin beta-4 and TB-500 fragment catalogue families are retained inside one controlled identity family.
TB-500 fragment,TB500 (Frag),B10F,1,Existing assets,FRAGMENT IDENTITY VERIFICATION REQUIRED,CERT-PKS-000008,TB-500 fragment,PRE-0020,MAPPED - DELIBERATE CONSOLIDATION,Full-length thymosin beta-4 and TB-500 fragment catalogue families are retained inside one controlled identity family.
Mechano growth factor,MGF,FM2,1,"C3 - GH, IGF and endocrine",SEQUENCE / PRODUCT IDENTITY VERIFICATION REQUIRED,CERT-PKS-000027,Mechano Growth Factor / IGF-1Ec E-Domain Peptide Family,0022B,MAPPED,
PEG-MGF,PEG MGF,FMP2,1,"C3 - GH, IGF and endocrine",SEQUENCE / PEGYLATION VERIFICATION REQUIRED,CERT-PKS-000028,PEG-MGF Supplier Product Family,0022B,MAPPED,
Sermorelin acetate,Sermorelin Acetate,SMO2; SMO5; SMO10; SMO15,4,"C3 - GH, IGF and endocrine",PRELIMINARY IDENTITY ACCEPTED,CERT-PKS-000021,Sermorelin,0022A,MAPPED,
Human chorionic gonadotropin,HCG,G10K; G5K; G2K,3,"C3 - GH, IGF and endocrine",PRELIMINARY IDENTITY ACCEPTED,CERT-PKS-000032,Human Chorionic Gonadotropin Product Family,0022C,MAPPED,
AOD9604,AOD9604,2AD; 5AD; 10AD,3,C2 - Metabolic and incretin-related,PRELIMINARY IDENTITY ACCEPTED,CERT-PKS-000017,AOD9604,0021,MAPPED,
Long R3 IGF-1,IGF-1LR3,IG01; IG1,2,"C3 - GH, IGF and endocrine",PRELIMINARY IDENTITY ACCEPTED,CERT-PKS-000026,Long R3 IGF-1,0022B,MAPPED,
Tesamorelin,Tesamorelin,TSM2; TSM5; TSM10; TSM20,4,Existing assets,PRELIMINARY IDENTITY ACCEPTED,CERT-PKS-000003,Tesamorelin,PRE-0020,MAPPED,
Ipamorelin,Ipamorelin,IP2; IP5; IP10,3,Existing assets,PRELIMINARY IDENTITY ACCEPTED,CERT-PKS-000005,Ipamorelin,PRE-0020,MAPPED,
Hexarelin acetate,Hexarelin Acetate,HX2; HX5,2,"C3 - GH, IGF and endocrine",PRELIMINARY IDENTITY ACCEPTED,CERT-PKS-000025,Hexarelin / Examorelin,0022A,MAPPED,
GHK-Cu,GHK-CU,CU50; CU100,2,Existing assets,PRELIMINARY IDENTITY ACCEPTED,CERT-PKS-000007,GHK-Cu,PRE-0020,MAPPED,
GHK,GHK basic,GH50,1,"C5 - Repair, immune and cosmetic peptides",FREE PEPTIDE / COPPER-FREE IDENTITY VERIFICATION REQUIRED,CERT-PKS-000057,GHK,0024B,MAPPED,
AHK-Cu,AHK-CU,AU100,1,"C5 - Repair, immune and cosmetic peptides",PRELIMINARY IDENTITY ACCEPTED,CERT-PKS-000058,AHK-Cu,0024B,MAPPED,
Kisspeptin-10,KissPeptin-10,KS5; KS10,2,"C3 - GH, IGF and endocrine",PRELIMINARY IDENTITY ACCEPTED,CERT-PKS-000034,Kisspeptin-10,0022C,MAPPED,
Thymalin,Thymalin,TY10,1,"C5 - Repair, immune and cosmetic peptides",COMPOSITION / EXTRACT IDENTITY VERIFICATION REQUIRED,CERT-PKS-000052,Thymalin Product Family,0024A,MAPPED,
Thymosin alpha-1,Thymosin Alpha-1,TA2; TA5; TA10,3,"C5 - Repair, immune and cosmetic peptides",PRELIMINARY IDENTITY ACCEPTED,CERT-PKS-000051,Thymosin Alpha-1 / Thymalfasin,0024A,MAPPED,
MOTS-c,MOTS-c,MS10; MS40,2,Existing assets,PRELIMINARY IDENTITY ACCEPTED,CERT-PKS-000006,MOTS-c,PRE-0020,MAPPED,
FOXO4-DRI identity candidate,FOXO4,F410,1,C6 - Mitochondrial and longevity research,IDENTITY / SEQUENCE VERIFICATION REQUIRED,CERT-PKS-000064,FOXO4-DRI Supplier Product Family,0025A,MAPPED,
LL-37,LL37,375,1,"C5 - Repair, immune and cosmetic peptides",CATALOGUE CODE AND SEQUENCE VERIFICATION REQUIRED,CERT-PKS-000053,LL-37,0024A,MAPPED,
Retatrutide,Retatrutide,RT5; RT10; RT15; RT20; RT30; RT40; RT50; RT60,8,Existing assets,PRELIMINARY IDENTITY ACCEPTED,CERT-PKS-000001,Retatrutide,PRE-0020,MAPPED,
Melatonin,melatonin,MT10,1,C9 - Non-peptide and ancillary catalogue items,PRELIMINARY IDENTITY ACCEPTED,CERT-MPS-000002,Melatonin Supplier Vial Family,0028A,MAPPED,
HGH fragment 176-191,HGH Fragment 176-191,FR2; FR5; FR10,3,C2 - Metabolic and incretin-related,PRELIMINARY IDENTITY ACCEPTED,CERT-PKS-000019,HGH Fragment 176-191,0021,MAPPED,
Dermorphin,dermorphin,DR5,1,C4 - Neurocognitive and sleep peptides,PRELIMINARY IDENTITY ACCEPTED,CERT-PKS-000046,Dermorphin,0023B,MAPPED,
Native GLP-1 identity candidate,"GLP-1, 5mg/vial",GP,1,C2 - Metabolic and incretin-related,EXACT SEQUENCE / FORM VERIFICATION REQUIRED,,,,UNMAPPED - COVERAGE GAP,Corrective asset allocation required.
Glutathione,Glutathione,GTT,1,C9 - Non-peptide and ancillary catalogue items,PRELIMINARY IDENTITY ACCEPTED,CERT-MPS-000003,Glutathione Supplier Vial Family,0028A,MAPPED,
Insulin,Insulin,ISU,1,"C3 - GH, IGF and endocrine",TYPE / CONCENTRATION / FORMULATION VERIFICATION REQUIRED,CERT-PKS-000036,Insulin Supplier Product Family,0022C,MAPPED,
Bacteriostatic water,bac.water,WA10,1,C9 - Non-peptide and ancillary catalogue items,PRELIMINARY IDENTITY ACCEPTED,CERT-MPS-000007,Bacteriostatic Water Supplier Family,0028B,MAPPED - DELIBERATE CONSOLIDATION,The two preliminary bacteriostatic-water families are consolidated into one supplier family while all four catalogue codes remain distinct.
Acetic acid water,Acetic acid water,AA10,1,C9 - Non-peptide and ancillary catalogue items,CONCENTRATION / STERILITY VERIFICATION REQUIRED,CERT-MPS-000008,Acetic Acid Water Supplier Family,0028B,MAPPED,
Bacteriostatic water,bac.water,BA10; BA05; BA03,3,C9 - Non-peptide and ancillary catalogue items,PRELIMINARY IDENTITY ACCEPTED,CERT-MPS-000007,Bacteriostatic Water Supplier Family,0028B,MAPPED - DELIBERATE CONSOLIDATION,The two preliminary bacteriostatic-water families are consolidated into one supplier family while all four catalogue codes remain distinct.
Botulinum toxin,Botulinum toxin,XT100,1,C9 - Non-peptide and ancillary catalogue items,TOXIN TYPE / BRAND / POTENCY UNIT VERIFICATION REQUIRED,CERT-MPS-000009,Botulinum Toxin Supplier Product Family,0028B,MAPPED,
5-amino-1MQ,5-amino-1mq,5AM; 10AM; 50AM,3,C9 - Non-peptide and ancillary catalogue items,PRELIMINARY IDENTITY ACCEPTED,CERT-MPS-000004,5-Amino-1MQ Supplier Product Family,0028A,MAPPED,
Human menopausal gonadotropin,HMG,G75,1,"C3 - GH, IGF and endocrine",PRELIMINARY IDENTITY ACCEPTED,CERT-PKS-000033,Menotropins / Human Menopausal Gonadotropin Product Family,0022C,MAPPED,
Erythropoietin,EPO,E3K,1,"C3 - GH, IGF and endocrine",PRELIMINARY IDENTITY ACCEPTED,CERT-PKS-000037,Erythropoietin Supplier Product Family,0022C,MAPPED,
Cerebrolysin,cerebrolysin,CBL60,1,C4 - Neurocognitive and sleep peptides,BRAND / COMPOSITION / AUTHORISATION VERIFICATION REQUIRED,CERT-PKS-000044,Cerebrolysin Product Family,0023B,MAPPED,
Cerebrolysin-type unbranded product,cerebrolysin (No Brand),C60,1,C4 - Neurocognitive and sleep peptides,HIGH-RISK IDENTITY / COMPOSITION VERIFICATION REQUIRED,CERT-PKS-000045,Unbranded Cerebrolysin-Type Product Family,0023B,MAPPED,
Hyaluronic acid,hyaluronic acid,HA5,1,C9 - Non-peptide and ancillary catalogue items,MOLECULAR WEIGHT / FORMULATION / INTENDED ROUTE VERIFICATION REQUIRED,CERT-MPS-000010,Hyaluronic Acid Supplier Product Family,0028B,MAPPED,
Cagrilintide,cagrilintide,CGL5; CGL10; CGL20,3,C2 - Metabolic and incretin-related,PRELIMINARY IDENTITY ACCEPTED,CERT-PKS-000013,Cagrilintide,0021,MAPPED,
Cibinetide,Ara-290,RA10,1,"C5 - Repair, immune and cosmetic peptides",ARA-290 / CIBINETIDE IDENTITY VERIFICATION REQUIRED,CERT-PKS-000054,Cibinetide / ARA-290,0024A,MAPPED,
Acetyl octapeptide-3,snap-8,NP810,1,"C5 - Repair, immune and cosmetic peptides",SNAP-8 / ACETYL OCTAPEPTIDE-3 IDENTITY VERIFICATION REQUIRED,CERT-PKS-000059,Acetyl Octapeptide-3 / SNAP-8,0024B,MAPPED,
Mazdutide,Mazdutide,MDT5; MDT10,2,C2 - Metabolic and incretin-related,PRELIMINARY IDENTITY ACCEPTED,CERT-PKS-000014,Mazdutide,0021,MAPPED,
NAD identity candidate,NAD,NJ3100; NJ250; NJ500; NJ1000,4,C9 - Non-peptide and ancillary catalogue items,NAD+ / NADH / SALT FORM VERIFICATION REQUIRED,CERT-MPS-000005,NAD Supplier Product Family,0028A,MAPPED,
Alprostadil,Alprostadil,PRO20,1,C9 - Non-peptide and ancillary catalogue items,PRELIMINARY IDENTITY ACCEPTED,CERT-MPS-000011,Alprostadil Supplier Vial Family,0028B,MAPPED,
BPC-157 + GHK-Cu + TB-500 blend,BPC 157 10mg + GHK-CU 50mg + TB500 10mg,BBG70,1,C8 - Blends and supplier combinations,BLEND / COMPONENT IDENTITY VERIFICATION REQUIRED,CERT-PKS-000082,BPC-157 + GHK-Cu + TB-500 Supplier Blend,0027,MAPPED,
BPC-157 + GHK-Cu + TB-500 + KPV blend,BPC 157 10mg + GHK-CU 50mg + TB500 10mg + KPV 10mg,KL80,1,C8 - Blends and supplier combinations,BLEND / COMPONENT IDENTITY VERIFICATION REQUIRED,CERT-PKS-000083,BPC-157 + GHK-Cu + TB-500 + KPV Supplier Blend,0027,MAPPED,
Survodutide,Survodutide,SUR10,1,C2 - Metabolic and incretin-related,PRELIMINARY IDENTITY ACCEPTED,CERT-PKS-000015,Survodutide,0021,MAPPED,
Cagrilintide + Semaglutide blend,Cagrilintide 5mg + Semaglutide 5mg,CS10,1,C8 - Blends and supplier combinations,BLEND / RATIO / FORMULATION VERIFICATION REQUIRED,CERT-PKS-000084,Cagrilintide + Semaglutide Supplier Blend,0027,MAPPED,
Retatrutide + Cagrilintide blend,Retatrutide 5mg + Cagrilintide 5mg,RC10,1,C8 - Blends and supplier combinations,BLEND / UNVALIDATED COMBINATION,CERT-PKS-000085,Retatrutide + Cagrilintide Supplier Blend,0027,MAPPED,
Vasoactive intestinal peptide,VIP,VP5; VP10,2,"C5 - Repair, immune and cosmetic peptides",PRELIMINARY IDENTITY ACCEPTED,CERT-PKS-000055,Vasoactive Intestinal Peptide / Aviptadil,0024A,MAPPED,
KPV,KPV,KP5; KP10,2,"C5 - Repair, immune and cosmetic peptides",PRELIMINARY IDENTITY ACCEPTED,CERT-PKS-000056,KPV,0024A,MAPPED,
Adamax identity candidate,Adamax,AD5,1,C4 - Neurocognitive and sleep peptides,IDENTITY VERIFICATION REQUIRED,CERT-PKS-000042,Adamax Supplier Product Family,0023A,MAPPED,
PE 22-28,PE 22-28,PE10,1,C4 - Neurocognitive and sleep peptides,SEQUENCE / NAMING VERIFICATION REQUIRED,CERT-PKS-000043,PE 22-28 Supplier Product Family,0023A,MAPPED,
Testagen,Testagen,TG20,1,C6 - Mitochondrial and longevity research,SEQUENCE / PRODUCT IDENTITY VERIFICATION REQUIRED,CERT-PKS-000067,Testagen Supplier Product Family,0025A,MAPPED,
N-acetyl Epitalon amidate,N-Acetyl Epitalon Amidate,NET5,1,C6 - Mitochondrial and longevity research,SEQUENCE / TERMINAL MODIFICATION VERIFICATION REQUIRED,CERT-PKS-000065,N-Acetyl Epitalon Amidate,0025A,MAPPED,
Pinealon,Pinealon,PIN5; PIN10; PIN20,3,C4 - Neurocognitive and sleep peptides,SEQUENCE / PRODUCT IDENTITY VERIFICATION REQUIRED,CERT-PKS-000041,Pinealon,0023A,MAPPED,
Lemon Bottle,Lemon Bottle,柠檬瓶,1,C9 - Non-peptide and ancillary catalogue items,MULTI-INGREDIENT FORMULATION / ROUTE VERIFICATION REQUIRED,CERT-MPS-000012,Lemon Bottle Supplier Mixture Family,0028B,MAPPED,
Vilon,VILON,VI20,1,C6 - Mitochondrial and longevity research,SEQUENCE / PRODUCT IDENTITY VERIFICATION REQUIRED,CERT-PKS-000066,Vilon Supplier Product Family,0025A,MAPPED,
PNC-27,PNC27,PN5; PN10,2,"C5 - Repair, immune and cosmetic peptides",PRELIMINARY IDENTITY ACCEPTED,CERT-PKS-000061,PNC-27,0024B,MAPPED,
P21 without adamantane identity candidate,P21 without adamantane,P210,1,C4 - Neurocognitive and sleep peptides,SEQUENCE / CHEMICAL IDENTITY VERIFICATION REQUIRED,CERT-PKS-000048,P21 Without Adamantane Supplier Product Family,0023B,MAPPED,
P21 adamantane conjugate identity candidate,P21 adamantane,PP10,1,C4 - Neurocognitive and sleep peptides,SEQUENCE / ADAMANTANE CONJUGATION VERIFICATION REQUIRED,CERT-PKS-000047,P021 / Peptide 021 Adamantane Conjugate Product Family,0023B,MAPPED,
SLU-PP-322 identity candidate,slu-pp-322,SLU5,1,C9 - Non-peptide and ancillary catalogue items,POSSIBLE TYPO / IDENTITY VERIFICATION REQUIRED,CERT-MPS-000006,SLU-PP-322 Identity-Candidate Product Family,0028A,MAPPED,
Humanin,Humanin,HU10,1,C6 - Mitochondrial and longevity research,PRELIMINARY IDENTITY ACCEPTED,CERT-PKS-000063,Humanin Supplier Product Family,0025A,MAPPED,
Teriparatide,Teriparatide,TER10,1,"C3 - GH, IGF and endocrine",PRELIMINARY IDENTITY ACCEPTED,CERT-PKS-000035,Teriparatide,0022C,MAPPED,
Bronchogen,Bronchogen,BR20,1,C6 - Mitochondrial and longevity research,SEQUENCE / PRODUCT IDENTITY VERIFICATION REQUIRED,CERT-PKS-000068,Bronchogen,0025B,MAPPED,
Cardiogen,Cardiogen,CA20,1,C6 - Mitochondrial and longevity research,SEQUENCE / PRODUCT IDENTITY VERIFICATION REQUIRED,CERT-PKS-000069,Cardiogen,0025B,MAPPED,
Cortagen,Cortagen,COR20,1,C6 - Mitochondrial and longevity research,SEQUENCE / PRODUCT IDENTITY VERIFICATION REQUIRED,CERT-PKS-000070,Cortagen,0025B,MAPPED,
Livagen,Livagen,LI20,1,C6 - Mitochondrial and longevity research,SEQUENCE / PRODUCT IDENTITY VERIFICATION REQUIRED,CERT-PKS-000071,Livagen,0025B,MAPPED,
Pancragen,Pancragen,PA20,1,C6 - Mitochondrial and longevity research,SEQUENCE / PRODUCT IDENTITY VERIFICATION REQUIRED,CERT-PKS-000072,Pancragen,0025B,MAPPED,
Prostamax,Prostamax,MAX20,1,C6 - Mitochondrial and longevity research,SEQUENCE / PRODUCT IDENTITY VERIFICATION REQUIRED,CERT-PKS-000073,Prostamax,0025B,MAPPED,
Cartalax,Cartalax,LAX20,1,C6 - Mitochondrial and longevity research,SEQUENCE / PRODUCT IDENTITY VERIFICATION REQUIRED,CERT-PKS-000074,Cartalax,0025B,MAPPED,
Chonluten,Chonluten,CH20,1,C6 - Mitochondrial and longevity research,SEQUENCE / PRODUCT IDENTITY VERIFICATION REQUIRED,CERT-PKS-000075,Chonluten,0025B,MAPPED,
Crystagen,Crystagen,CRY20,1,C6 - Mitochondrial and longevity research,SEQUENCE / PRODUCT IDENTITY VERIFICATION REQUIRED,CERT-PKS-000076,Crystagen,0025B,MAPPED,
Ovagen,Ovagen,OV20,1,C6 - Mitochondrial and longevity research,SEQUENCE / PRODUCT IDENTITY VERIFICATION REQUIRED,CERT-PKS-000077,Ovagen,0025B,MAPPED,
Vesugen,Vesugen,VE20,1,C6 - Mitochondrial and longevity research,SEQUENCE / PRODUCT IDENTITY VERIFICATION REQUIRED,CERT-PKS-000078,Vesugen,0025B,MAPPED,
Tesamorelin + Ipamorelin blend,Tesamorelin 12mg + Ipamorelin 6mg,TI18,1,C8 - Blends and supplier combinations,BLEND / RATIO / FORMULATION VERIFICATION REQUIRED,CERT-PKS-000086,Tesamorelin + Ipamorelin Supplier Blend,0027,MAPPED,
Semax + Selank blend,Semax 10mg + Selank 10mg,XS20,1,C8 - Blends and supplier combinations,BLEND / FORMULATION VERIFICATION REQUIRED,CERT-PKS-000087,Semax + Selank Supplier Blend,0027,MAPPED,
N-acetyl Semax amidate,NA Semax amidate,NXA30,1,C4 - Neurocognitive and sleep peptides,SEQUENCE / TERMINAL MODIFICATION VERIFICATION REQUIRED,CERT-PKS-000049,N-Acetyl Semax Amidate,0023B,MAPPED,
N-acetyl Selank amidate,NA Selank amidate,NSK30,1,C4 - Neurocognitive and sleep peptides,SEQUENCE / TERMINAL MODIFICATION VERIFICATION REQUIRED,CERT-PKS-000050,N-Acetyl Selank Amidate,0023B,MAPPED,
Matrixyl identity candidate,Matrixyl,MA10,1,"C5 - Repair, immune and cosmetic peptides",EXACT MATRIXYL PEPTIDE / BRAND IDENTITY VERIFICATION REQUIRED,CERT-PKS-000060,Matrixyl Supplier Product Family,0024B,MAPPED,
PTD-DBM,PTD-DBM,PTD5,1,"C5 - Repair, immune and cosmetic peptides",SEQUENCE / PRODUCT IDENTITY VERIFICATION REQUIRED,CERT-PKS-000062,PTD-DBM,0024B,MAPPED,
Liraglutide,Liraglutide,LL5; LL10; LL30,3,C2 - Metabolic and incretin-related,PRELIMINARY IDENTITY ACCEPTED,CERT-PKS-000016,Liraglutide,0021,MAPPED,
