Final UAI,Asset Name,System,Created / Finalised In Build,Source Catalogue Codes,Current Status,Regulatory Headline,Closure Priority,Closure Class,Next Closure Action,Platinum Certified
CERT-MPS-000011,Alprostadil Supplier Vial Family,MPS,0028B,PRO20,CATALOGUE REVIEWED / PRODUCT PASSPORT GAP ACTIVE / NOT QUALITY VERIFIED,AUTHORISED PRODUCT CONTEXTS EXIST / SUPPLIER VIAL FORMULATION AND ROUTE UNRESOLVED,P0,HIGH-RISK IDENTITY / PRODUCT PASSPORT,"Direct manufacturer, analytical, regulatory and safety closure.",NO
CERT-MPS-000012,Lemon Bottle Supplier Mixture Family,MPS,0028B,LB10; LB10 (supplemental); NO CODE PRINTED; 柠檬瓶,CATALOGUE REVIEWED / PRODUCT PASSPORT GAP ACTIVE / NOT QUALITY VERIFIED,UNAPPROVED INJECTABLE LIPOLYSIS MIXTURE / COMPOSITION AND PRICE DISCREPANCIES ACTIVE,P0,HIGH-RISK IDENTITY / PRODUCT PASSPORT,"Direct manufacturer, analytical, regulatory and safety closure.",NO
CERT-PKS-000001,Retatrutide,PKS,PRE-0020,RT10; RT15; RT20; RT30; RT40; RT5; RT50; RT60,EXISTING ASSET / CATALOGUE CROSSWALK RETAINED,,P2,EVIDENCE AND REGULATORY CLOSURE,"Complete primary-source extraction, current status review and safety translation.",NO
CERT-PKS-000002,BPC-157,PKS,PRE-0020,BC10; BC2; BC20; BC5,EXISTING ASSET / CATALOGUE CROSSWALK RETAINED,,P2,EVIDENCE AND REGULATORY CLOSURE,"Complete primary-source extraction, current status review and safety translation.",NO
CERT-PKS-000003,Tesamorelin,PKS,PRE-0020,TSM10; TSM2; TSM20; TSM5,EXISTING ASSET / CATALOGUE CROSSWALK RETAINED,,P2,EVIDENCE AND REGULATORY CLOSURE,"Complete primary-source extraction, current status review and safety translation.",NO
CERT-PKS-000004,CJC-1295 with DAC,PKS,PRE-0020,CD10; CD2; CD5,EXISTING ASSET / CATALOGUE CROSSWALK RETAINED,,P2,EVIDENCE AND REGULATORY CLOSURE,"Complete primary-source extraction, current status review and safety translation.",NO
CERT-PKS-000005,Ipamorelin,PKS,PRE-0020,IP10; IP2; IP5,EXISTING ASSET / CATALOGUE CROSSWALK RETAINED,,P2,EVIDENCE AND REGULATORY CLOSURE,"Complete primary-source extraction, current status review and safety translation.",NO
CERT-PKS-000006,MOTS-c,PKS,PRE-0020,MS10; MS40,EXISTING ASSET / CATALOGUE CROSSWALK RETAINED,,P2,EVIDENCE AND REGULATORY CLOSURE,"Complete primary-source extraction, current status review and safety translation.",NO
CERT-PKS-000007,GHK-Cu,PKS,PRE-0020,CU100; CU50,EXISTING ASSET / CATALOGUE CROSSWALK RETAINED,,P2,EVIDENCE AND REGULATORY CLOSURE,"Complete primary-source extraction, current status review and safety translation.",NO
CERT-PKS-000008,TB-500 fragment,PKS,PRE-0020,B10F; BT10; BT2; BT20; BT5,EXISTING ASSET / CATALOGUE CROSSWALK RETAINED,,P2,EVIDENCE AND REGULATORY CLOSURE,"Complete primary-source extraction, current status review and safety translation.",NO
CERT-PKS-000009,Melanotan II,PKS,PRE-0020,ML10,EXISTING ASSET / CATALOGUE CROSSWALK RETAINED,,P2,EVIDENCE AND REGULATORY CLOSURE,"Complete primary-source extraction, current status review and safety translation.",NO
CERT-PKS-000010,Epitalon,PKS,PRE-0020,ET10; ET40; ET50,EXISTING ASSET / CATALOGUE CROSSWALK RETAINED,,P2,EVIDENCE AND REGULATORY CLOSURE,"Complete primary-source extraction, current status review and safety translation.",NO
CERT-PKS-000011,Semaglutide,PKS,0021,SM10; SM15; SM2; SM20; SM30; SM5,CATALOGUE REVIEWED / EVIDENCE FOUNDATION CREATED / NOT PLATINUM CERTIFIED,APPROVED PRODUCT CONTEXTS EXIST IN MULTIPLE JURISDICTIONS,P2,EVIDENCE AND REGULATORY CLOSURE,"Complete primary-source extraction, current status review and safety translation.",NO
CERT-PKS-000012,Tirzepatide,PKS,0021,TR10; TR100; TR15; TR20; TR30; TR40; TR5; TR50; TR60,CATALOGUE REVIEWED / EVIDENCE FOUNDATION CREATED / NOT PLATINUM CERTIFIED,APPROVED PRODUCT CONTEXTS EXIST IN MULTIPLE JURISDICTIONS,P2,EVIDENCE AND REGULATORY CLOSURE,"Complete primary-source extraction, current status review and safety translation.",NO
CERT-PKS-000013,Cagrilintide,PKS,0021,CGL10; CGL20; CGL5,CATALOGUE REVIEWED / EVIDENCE FOUNDATION CREATED / NOT PLATINUM CERTIFIED,INVESTIGATIONAL / NO STANDALONE APPROVAL CLAIM,P2,AUTHORISED-PRODUCT EQUIVALENCE BOUNDARY,"Maintain exact product, formulation, indication and jurisdiction separation.",NO
CERT-PKS-000014,Mazdutide,PKS,0021,MDT10; MDT5,CATALOGUE REVIEWED / EVIDENCE FOUNDATION CREATED / NOT PLATINUM CERTIFIED,APPROVED CONTEXT EXISTS IN CHINA / NO US-UK-EU APPROVAL CLAIM,P2,AUTHORISED-PRODUCT EQUIVALENCE BOUNDARY,"Maintain exact product, formulation, indication and jurisdiction separation.",NO
CERT-PKS-000015,Survodutide,PKS,0021,SUR10,CATALOGUE REVIEWED / EVIDENCE FOUNDATION CREATED / NOT PLATINUM CERTIFIED,INVESTIGATIONAL / LATE-STAGE / NO APPROVAL CLAIM,P2,AUTHORISED-PRODUCT EQUIVALENCE BOUNDARY,"Maintain exact product, formulation, indication and jurisdiction separation.",NO
CERT-PKS-000016,Liraglutide,PKS,0021,LL10; LL30; LL5,CATALOGUE REVIEWED / EVIDENCE FOUNDATION CREATED / NOT PLATINUM CERTIFIED,APPROVED PRODUCT CONTEXTS EXIST IN MULTIPLE JURISDICTIONS,P2,EVIDENCE AND REGULATORY CLOSURE,"Complete primary-source extraction, current status review and safety translation.",NO
CERT-PKS-000017,AOD9604,PKS,0021,10AD; 2AD; 5AD,CATALOGUE REVIEWED / EVIDENCE FOUNDATION CREATED / NOT PLATINUM CERTIFIED,UNAPPROVED / DEVELOPMENT TERMINATED / ATHLETE CONTROL REQUIRED,P2,EVIDENCE AND REGULATORY CLOSURE,"Complete primary-source extraction, current status review and safety translation.",NO
CERT-PKS-000018,Adipotide,PKS,0021,AP2; AP5,CATALOGUE REVIEWED / EVIDENCE FOUNDATION CREATED / NOT PLATINUM CERTIFIED,EXPERIMENTAL PRECLINICAL-DOMINANT / NO APPROVAL CLAIM,P2,AUTHORISED-PRODUCT EQUIVALENCE BOUNDARY,"Maintain exact product, formulation, indication and jurisdiction separation.",NO
CERT-PKS-000019,HGH Fragment 176-191,PKS,0021,FR10; FR2; FR5,CATALOGUE REVIEWED / EVIDENCE FOUNDATION CREATED / NOT PLATINUM CERTIFIED,UNAPPROVED / HUMAN EVIDENCE NOT ESTABLISHED,P2,EVIDENCE AND REGULATORY CLOSURE,"Complete primary-source extraction, current status review and safety translation.",NO
CERT-PKS-000020,Somatropin,PKS,0022A,H06; H10; H12; H15; H24; H36,CATALOGUE REVIEWED / EVIDENCE FOUNDATION CREATED / NOT PLATINUM CERTIFIED,AUTHORISED MEDICINE CONTEXTS EXIST / PRODUCT- AND INDICATION-SPECIFIC,P2,AUTHORISED-PRODUCT EQUIVALENCE BOUNDARY,"Maintain exact product, formulation, indication and jurisdiction separation.",NO
CERT-PKS-000021,Sermorelin,PKS,0022A,SMO10; SMO15; SMO2; SMO5,CATALOGUE REVIEWED / EVIDENCE FOUNDATION CREATED / NOT PLATINUM CERTIFIED,HISTORICAL APPROVAL / DISCONTINUATION CONTEXT — NO CURRENT UNIVERSAL APPROVAL CLAIM,P2,AUTHORISED-PRODUCT EQUIVALENCE BOUNDARY,"Maintain exact product, formulation, indication and jurisdiction separation.",NO
CERT-PKS-000022,Modified GRF (1-29),PKS,0022A,CND10; CND2; CND5,CATALOGUE REVIEWED / EVIDENCE FOUNDATION CREATED / NOT PLATINUM CERTIFIED,INVESTIGATIONAL / UNAPPROVED / IDENTITY-SENSITIVE,P2,EVIDENCE AND REGULATORY CLOSURE,"Complete primary-source extraction, current status review and safety translation.",NO
CERT-PKS-000023,GHRP-2 / Pralmorelin,PKS,0022A,G210; G25,CATALOGUE REVIEWED / EVIDENCE FOUNDATION CREATED / NOT PLATINUM CERTIFIED,JAPAN DIAGNOSTIC CONTEXT REQUIRES CURRENT VERIFICATION / NO US-UK-EU APPROVAL CLAIM,P2,AUTHORISED-PRODUCT EQUIVALENCE BOUNDARY,"Maintain exact product, formulation, indication and jurisdiction separation.",NO
CERT-PKS-000024,GHRP-6,PKS,0022A,G610; G65,CATALOGUE REVIEWED / EVIDENCE FOUNDATION CREATED / NOT PLATINUM CERTIFIED,INVESTIGATIONAL / UNAPPROVED / ATHLETE WARNING REQUIRED,P2,EVIDENCE AND REGULATORY CLOSURE,"Complete primary-source extraction, current status review and safety translation.",NO
CERT-PKS-000025,Hexarelin / Examorelin,PKS,0022A,HX2; HX5,CATALOGUE REVIEWED / EVIDENCE FOUNDATION CREATED / NOT PLATINUM CERTIFIED,INVESTIGATIONAL / UNAPPROVED / ATHLETE WARNING REQUIRED,P2,EVIDENCE AND REGULATORY CLOSURE,"Complete primary-source extraction, current status review and safety translation.",NO
CERT-PKS-000026,Long R3 IGF-1,PKS,0022B,IG01; IG1,CATALOGUE REVIEWED / EVIDENCE FOUNDATION CREATED / NOT PLATINUM CERTIFIED,UNAPPROVED RESEARCH PROTEIN / ATHLETE PROHIBITION CONTROL REQUIRED,P2,EVIDENCE AND REGULATORY CLOSURE,"Complete primary-source extraction, current status review and safety translation.",NO
CERT-PKS-000027,Mechano Growth Factor / IGF-1Ec E-Domain Peptide Family,PKS,0022B,FM2,CATALOGUE REVIEWED / EVIDENCE FOUNDATION CREATED / NOT PLATINUM CERTIFIED,EXPERIMENTAL / IDENTITY-SENSITIVE / ATHLETE PROHIBITION CONTROL REQUIRED,P2,EVIDENCE AND REGULATORY CLOSURE,"Complete primary-source extraction, current status review and safety translation.",NO
CERT-PKS-000028,PEG-MGF Supplier Product Family,PKS,0022B,FMP2,CATALOGUE REVIEWED / EVIDENCE FOUNDATION CREATED / NOT PLATINUM CERTIFIED,UNAPPROVED / CHEMICALLY UNDER-SPECIFIED / ATHLETE PROHIBITION CONTROL REQUIRED,P1,IDENTITY / FORMULATION CLOSURE,"Close sequence, formulation, manufacturer and primary-source identity.",NO
CERT-PKS-000029,ACE-031,PKS,0022B,AE1,CATALOGUE REVIEWED / EVIDENCE FOUNDATION CREATED / NOT PLATINUM CERTIFIED,INVESTIGATIONAL DEVELOPMENT DISCONTINUED / NO APPROVAL / MYOSTATIN-INHIBITOR DOPING CONTROL,P2,AUTHORISED-PRODUCT EQUIVALENCE BOUNDARY,"Maintain exact product, formulation, indication and jurisdiction separation.",NO
CERT-PKS-000030,Gonadorelin,PKS,0022C,GND2,CATALOGUE REVIEWED / EVIDENCE FOUNDATION CREATED / NOT PLATINUM CERTIFIED,HISTORICAL AND CURRENT DIAGNOSTIC / REPRODUCTIVE PRODUCT CONTEXTS REQUIRE PRODUCT-SPECIFIC VERIFICATION,P2,EVIDENCE AND REGULATORY CLOSURE,"Complete primary-source extraction, current status review and safety translation.",NO
CERT-PKS-000031,Oxytocin,PKS,0022C,OT10; OT2; OT5,CATALOGUE REVIEWED / EVIDENCE FOUNDATION CREATED / NOT PLATINUM CERTIFIED,AUTHORISED OBSTETRIC MEDICINE CONTEXTS EXIST / MONITORED-CARE PRODUCT CONTROLS APPLY,P2,AUTHORISED-PRODUCT EQUIVALENCE BOUNDARY,"Maintain exact product, formulation, indication and jurisdiction separation.",NO
CERT-PKS-000032,Human Chorionic Gonadotropin Product Family,PKS,0022C,G10K; G2K; G5K,CATALOGUE REVIEWED / EVIDENCE FOUNDATION CREATED / NOT PLATINUM CERTIFIED,AUTHORISED FERTILITY / ENDOCRINE PRODUCT CONTEXTS EXIST — NO WEIGHT-LOSS APPROVAL,P1,IDENTITY / FORMULATION CLOSURE,"Close sequence, formulation, manufacturer and primary-source identity.",NO
CERT-PKS-000033,Menotropins / Human Menopausal Gonadotropin Product Family,PKS,0022C,G75,CATALOGUE REVIEWED / EVIDENCE FOUNDATION CREATED / NOT PLATINUM CERTIFIED,AUTHORISED FERTILITY PRODUCT CONTEXTS EXIST / COMPOSITION- AND PRODUCT-SPECIFIC,P1,IDENTITY / FORMULATION CLOSURE,"Close sequence, formulation, manufacturer and primary-source identity.",NO
CERT-PKS-000034,Kisspeptin-10,PKS,0022C,KS10; KS5,CATALOGUE REVIEWED / EVIDENCE FOUNDATION CREATED / NOT PLATINUM CERTIFIED,INVESTIGATIONAL / UNAPPROVED / REPRODUCTIVE-ENDOCRINE RESEARCH,P2,EVIDENCE AND REGULATORY CLOSURE,"Complete primary-source extraction, current status review and safety translation.",NO
CERT-PKS-000035,Teriparatide,PKS,0022C,TER10,CATALOGUE REVIEWED / EVIDENCE FOUNDATION CREATED / NOT PLATINUM CERTIFIED,AUTHORISED OSTEOPOROSIS MEDICINE CONTEXTS EXIST / PRODUCT-SPECIFIC,P2,AUTHORISED-PRODUCT EQUIVALENCE BOUNDARY,"Maintain exact product, formulation, indication and jurisdiction separation.",NO
CERT-PKS-000036,Insulin Supplier Product Family,PKS,0022C,ISU,CATALOGUE REVIEWED / EVIDENCE FOUNDATION CREATED / NOT PLATINUM CERTIFIED,AUTHORISED INSULIN MEDICINES EXIST / CATALOGUE PRODUCT IDENTITY UNRESOLVED / CRITICAL-RISK,P0,HIGH-RISK IDENTITY / PRODUCT PASSPORT,"Direct manufacturer, analytical, regulatory and safety closure.",NO
CERT-PKS-000037,Erythropoietin Supplier Product Family,PKS,0022C,E3K,CATALOGUE REVIEWED / EVIDENCE FOUNDATION CREATED / NOT PLATINUM CERTIFIED,AUTHORISED ESA MEDICINES EXIST / CATALOGUE PRODUCT IDENTITY UNRESOLVED / ATHLETE PROHIBITION,P0,HIGH-RISK IDENTITY / PRODUCT PASSPORT,"Direct manufacturer, analytical, regulatory and safety closure.",NO
CERT-PKS-000038,Semax,PKS,0023A,XA10; XA30; XA5,CATALOGUE REVIEWED / EVIDENCE FOUNDATION CREATED / NOT PLATINUM CERTIFIED,REGIONAL MEDICINAL / RESEARCH CONTEXT REQUIRES VERIFICATION — NO US-UK-EU APPROVAL CLAIM,P2,AUTHORISED-PRODUCT EQUIVALENCE BOUNDARY,"Maintain exact product, formulation, indication and jurisdiction separation.",NO
CERT-PKS-000039,Selank,PKS,0023A,SK10; SK30; SK5,CATALOGUE REVIEWED / EVIDENCE FOUNDATION CREATED / NOT PLATINUM CERTIFIED,REGIONAL MEDICINAL / RESEARCH CONTEXT REQUIRES VERIFICATION — NO US-UK-EU APPROVAL CLAIM,P2,AUTHORISED-PRODUCT EQUIVALENCE BOUNDARY,"Maintain exact product, formulation, indication and jurisdiction separation.",NO
CERT-PKS-000040,Delta Sleep-Inducing Peptide,PKS,0023A,DS10; DS15; DS2; DS5,CATALOGUE REVIEWED / EVIDENCE FOUNDATION CREATED / NOT PLATINUM CERTIFIED,EXPERIMENTAL / PHYSIOLOGICAL IDENTITY AND CLINICAL UTILITY UNRESOLVED,P2,EVIDENCE AND REGULATORY CLOSURE,"Complete primary-source extraction, current status review and safety translation.",NO
CERT-PKS-000041,Pinealon,PKS,0023A,PIN10; PIN20; PIN5,CATALOGUE REVIEWED / EVIDENCE FOUNDATION CREATED / NOT PLATINUM CERTIFIED,EXPERIMENTAL SHORT REGULATORY PEPTIDE — NO UNIVERSAL APPROVAL CLAIM,P2,AUTHORISED-PRODUCT EQUIVALENCE BOUNDARY,"Maintain exact product, formulation, indication and jurisdiction separation.",NO
CERT-PKS-000042,Adamax Supplier Product Family,PKS,0023A,AD5,CATALOGUE REVIEWED / EVIDENCE FOUNDATION CREATED / NOT PLATINUM CERTIFIED,IDENTITY UNRESOLVED — NO PHARMACOLOGICAL OR APPROVAL CLAIM PERMITTED,P1,IDENTITY / FORMULATION CLOSURE,"Close sequence, formulation, manufacturer and primary-source identity.",NO
CERT-PKS-000043,PE 22-28 Supplier Product Family,PKS,0023A,PE10,CATALOGUE REVIEWED / EVIDENCE FOUNDATION CREATED / NOT PLATINUM CERTIFIED,IDENTITY UNRESOLVED — NO PHARMACOLOGICAL OR APPROVAL CLAIM PERMITTED,P1,IDENTITY / FORMULATION CLOSURE,"Close sequence, formulation, manufacturer and primary-source identity.",NO
CERT-PKS-000044,Cerebrolysin Product Family,PKS,0023B,CBL60,CATALOGUE REVIEWED / EVIDENCE FOUNDATION CREATED / NOT PLATINUM CERTIFIED,"REGIONAL MEDICINAL PRODUCT CONTEXTS EXIST — NO FDA, UK OR CENTRAL EU AUTHORISATION CLAIM",P1,IDENTITY / FORMULATION CLOSURE,"Close sequence, formulation, manufacturer and primary-source identity.",NO
CERT-PKS-000045,Unbranded Cerebrolysin-Type Product Family,PKS,0023B,C60,CATALOGUE REVIEWED / EVIDENCE FOUNDATION CREATED / NOT PLATINUM CERTIFIED,CRITICAL IDENTITY AND MANUFACTURING GAP — NO MEDICINAL EQUIVALENCE CLAIM,P0,HIGH-RISK IDENTITY / PRODUCT PASSPORT,"Direct manufacturer, analytical, regulatory and safety closure.",NO
CERT-PKS-000046,Dermorphin,PKS,0023B,DR5,CATALOGUE REVIEWED / EVIDENCE FOUNDATION CREATED / NOT PLATINUM CERTIFIED,UNAPPROVED OPIOID PEPTIDE / MISUSE AND CONTROLLED-SUBSTANCE REVIEW REQUIRED,P0,HIGH-RISK IDENTITY / PRODUCT PASSPORT,"Direct manufacturer, analytical, regulatory and safety closure.",NO
CERT-PKS-000047,P021 / Peptide 021 Adamantane Conjugate Product Family,PKS,0023B,PP10,CATALOGUE REVIEWED / EVIDENCE FOUNDATION CREATED / NOT PLATINUM CERTIFIED,EXPERIMENTAL PRECLINICAL PRODUCT / EXACT CHEMISTRY AND STEREOCHEMISTRY REQUIRED,P1,IDENTITY / FORMULATION CLOSURE,"Close sequence, formulation, manufacturer and primary-source identity.",NO
CERT-PKS-000048,P21 Without Adamantane Supplier Product Family,PKS,0023B,P210,CATALOGUE REVIEWED / EVIDENCE FOUNDATION CREATED / NOT PLATINUM CERTIFIED,IDENTITY UNRESOLVED — NO P021 EQUIVALENCE OR PHARMACOLOGY CLAIM,P1,IDENTITY / FORMULATION CLOSURE,"Close sequence, formulation, manufacturer and primary-source identity.",NO
CERT-PKS-000049,N-Acetyl Semax Amidate,PKS,0023B,NXA30,CATALOGUE REVIEWED / EVIDENCE FOUNDATION CREATED / NOT PLATINUM CERTIFIED,MODIFIED SEMAX ANALOGUE / UNAPPROVED / EVIDENCE TRANSFER PROHIBITED,P2,EVIDENCE AND REGULATORY CLOSURE,"Complete primary-source extraction, current status review and safety translation.",NO
CERT-PKS-000050,N-Acetyl Selank Amidate,PKS,0023B,NSK30,CATALOGUE REVIEWED / EVIDENCE FOUNDATION CREATED / NOT PLATINUM CERTIFIED,MODIFIED SELANK ANALOGUE / UNAPPROVED / EVIDENCE TRANSFER PROHIBITED,P2,EVIDENCE AND REGULATORY CLOSURE,"Complete primary-source extraction, current status review and safety translation.",NO
CERT-PKS-000051,Thymosin Alpha-1 / Thymalfasin,PKS,0024A,TA10; TA2; TA5,CATALOGUE REVIEWED / EVIDENCE FOUNDATION CREATED / NOT PLATINUM CERTIFIED,REGIONAL MEDICINAL PRODUCT CONTEXTS EXIST — NO US-UK-CENTRAL-EU APPROVAL CLAIM,P2,AUTHORISED-PRODUCT EQUIVALENCE BOUNDARY,"Maintain exact product, formulation, indication and jurisdiction separation.",NO
CERT-PKS-000052,Thymalin Product Family,PKS,0024A,TY10,CATALOGUE REVIEWED / EVIDENCE FOUNDATION CREATED / NOT PLATINUM CERTIFIED,MIXTURE IDENTITY AND REGIONAL-STATUS UNCERTAINTY — NO UNIVERSAL APPROVAL CLAIM,P1,IDENTITY / FORMULATION CLOSURE,"Close sequence, formulation, manufacturer and primary-source identity.",NO
CERT-PKS-000053,LL-37,PKS,0024A,375,CATALOGUE REVIEWED / EVIDENCE FOUNDATION CREATED / NOT PLATINUM CERTIFIED,INVESTIGATIONAL / CONTEXT-DEPENDENT IMMUNE EFFECTS / NO APPROVAL CLAIM,P2,AUTHORISED-PRODUCT EQUIVALENCE BOUNDARY,"Maintain exact product, formulation, indication and jurisdiction separation.",NO
CERT-PKS-000054,Cibinetide / ARA-290,PKS,0024A,RA10,CATALOGUE REVIEWED / EVIDENCE FOUNDATION CREATED / NOT PLATINUM CERTIFIED,INVESTIGATIONAL CLINICAL-DEVELOPMENT PEPTIDE — NO APPROVAL CLAIM,P2,AUTHORISED-PRODUCT EQUIVALENCE BOUNDARY,"Maintain exact product, formulation, indication and jurisdiction separation.",NO
CERT-PKS-000055,Vasoactive Intestinal Peptide / Aviptadil,PKS,0024A,VP10; VP5,CATALOGUE REVIEWED / EVIDENCE FOUNDATION CREATED / NOT PLATINUM CERTIFIED,PRODUCT- AND JURISDICTION-SPECIFIC CONTEXTS EXIST — NO UNIVERSAL STANDALONE APPROVAL CLAIM,P2,AUTHORISED-PRODUCT EQUIVALENCE BOUNDARY,"Maintain exact product, formulation, indication and jurisdiction separation.",NO
CERT-PKS-000056,KPV,PKS,0024A,KP10; KP5,CATALOGUE REVIEWED / EVIDENCE FOUNDATION CREATED / NOT PLATINUM CERTIFIED,PRECLINICAL-DOMINANT / UNAPPROVED / HUMAN EVIDENCE INSUFFICIENT,P2,EVIDENCE AND REGULATORY CLOSURE,"Complete primary-source extraction, current status review and safety translation.",NO
CERT-PKS-000057,GHK,PKS,0024B,GH50,CATALOGUE REVIEWED / EVIDENCE FOUNDATION CREATED / NOT PLATINUM CERTIFIED,RESEARCH / COSMETIC-INGREDIENT CONTEXT — NO INJECTABLE OR MEDICINAL APPROVAL CLAIM,P2,AUTHORISED-PRODUCT EQUIVALENCE BOUNDARY,"Maintain exact product, formulation, indication and jurisdiction separation.",NO
CERT-PKS-000058,AHK-Cu,PKS,0024B,AU100,CATALOGUE REVIEWED / EVIDENCE FOUNDATION CREATED / NOT PLATINUM CERTIFIED,COSMETIC / RESEARCH CONTEXT — NO INJECTABLE OR MEDICINAL APPROVAL CLAIM,P2,AUTHORISED-PRODUCT EQUIVALENCE BOUNDARY,"Maintain exact product, formulation, indication and jurisdiction separation.",NO
CERT-PKS-000059,Acetyl Octapeptide-3 / SNAP-8,PKS,0024B,NP810,CATALOGUE REVIEWED / EVIDENCE FOUNDATION CREATED / NOT PLATINUM CERTIFIED,TOPICAL COSMETIC-INGREDIENT CONTEXT — NOT BOTULINUM TOXIN OR AN APPROVED INJECTABLE MEDICINE,P2,EVIDENCE AND REGULATORY CLOSURE,"Complete primary-source extraction, current status review and safety translation.",NO
CERT-PKS-000060,Matrixyl Supplier Product Family,PKS,0024B,MA10,CATALOGUE REVIEWED / EVIDENCE FOUNDATION CREATED / NOT PLATINUM CERTIFIED,COSMETIC FAMILY NAME / CHEMICAL IDENTITY UNRESOLVED — NO MEDICINAL CLAIM,P0,HIGH-RISK IDENTITY / PRODUCT PASSPORT,"Direct manufacturer, analytical, regulatory and safety closure.",NO
CERT-PKS-000061,PNC-27,PKS,0024B,PN10; PN5,CATALOGUE REVIEWED / EVIDENCE FOUNDATION CREATED / NOT PLATINUM CERTIFIED,EXPERIMENTAL PRECLINICAL ANTICANCER PEPTIDE — NO APPROVAL OR HUMAN TREATMENT CLAIM,P2,AUTHORISED-PRODUCT EQUIVALENCE BOUNDARY,"Maintain exact product, formulation, indication and jurisdiction separation.",NO
