Product Passport,Parent UAI,Asset Name,Open Supplier Evidence Field,Status,Release Impact,Required Evidence
CERT-PPS-000060,CERT-PKS-000001,Retatrutide,"salt, counter-ion, molecular mass and reference standard",OPEN,BLOCKS PLATINUM AND COMMERCIAL RELEASE,"Direct manufacturer declaration, certificate, reference-standard and independent analytical or regulatory comparability evidence"
CERT-PPS-000060,CERT-PKS-000001,Retatrutide,"manufacturer, synthesis route and batch",OPEN,BLOCKS PLATINUM AND COMMERCIAL RELEASE,"Direct manufacturer declaration, certificate, reference-standard and independent analytical or regulatory comparability evidence"
CERT-PPS-000060,CERT-PKS-000001,Retatrutide,"HPLC, LC-MS, peptide mapping and receptor-potency profile",OPEN,BLOCKS PLATINUM AND COMMERCIAL RELEASE,"Direct manufacturer declaration, certificate, reference-standard and independent analytical or regulatory comparability evidence"
CERT-PPS-000060,CERT-PKS-000001,Retatrutide,"formulation, excipients and container closure",OPEN,BLOCKS PLATINUM AND COMMERCIAL RELEASE,"Direct manufacturer declaration, certificate, reference-standard and independent analytical or regulatory comparability evidence"
CERT-PPS-000060,CERT-PKS-000001,Retatrutide,"sterility, endotoxin, particles and stability",OPEN,BLOCKS PLATINUM AND COMMERCIAL RELEASE,"Direct manufacturer declaration, certificate, reference-standard and independent analytical or regulatory comparability evidence"
CERT-PPS-000060,CERT-PKS-000001,Retatrutide,comparability to sponsor-controlled phase 2 or phase 3 material,OPEN,BLOCKS PLATINUM AND COMMERCIAL RELEASE,"Direct manufacturer declaration, certificate, reference-standard and independent analytical or regulatory comparability evidence"
CERT-PPS-000061,CERT-PKS-000013,Cagrilintide,complete cagrilintide sequence and analogue substitutions,OPEN,BLOCKS PLATINUM AND COMMERCIAL RELEASE,"Direct manufacturer declaration, certificate, reference-standard and independent analytical or regulatory comparability evidence"
CERT-PPS-000061,CERT-PKS-000013,Cagrilintide,"N-terminal lipidation, linker and attachment chemistry",OPEN,BLOCKS PLATINUM AND COMMERCIAL RELEASE,"Direct manufacturer declaration, certificate, reference-standard and independent analytical or regulatory comparability evidence"
CERT-PPS-000061,CERT-PKS-000013,Cagrilintide,"salt, counter-ion, molecular mass and reference standard",OPEN,BLOCKS PLATINUM AND COMMERCIAL RELEASE,"Direct manufacturer declaration, certificate, reference-standard and independent analytical or regulatory comparability evidence"
CERT-PPS-000061,CERT-PKS-000013,Cagrilintide,"manufacturer, synthesis route and batch",OPEN,BLOCKS PLATINUM AND COMMERCIAL RELEASE,"Direct manufacturer declaration, certificate, reference-standard and independent analytical or regulatory comparability evidence"
CERT-PPS-000061,CERT-PKS-000013,Cagrilintide,"HPLC, LC-MS, peptide mapping and receptor-potency profile",OPEN,BLOCKS PLATINUM AND COMMERCIAL RELEASE,"Direct manufacturer declaration, certificate, reference-standard and independent analytical or regulatory comparability evidence"
CERT-PPS-000061,CERT-PKS-000013,Cagrilintide,"formulation, excipients and container closure",OPEN,BLOCKS PLATINUM AND COMMERCIAL RELEASE,"Direct manufacturer declaration, certificate, reference-standard and independent analytical or regulatory comparability evidence"
CERT-PPS-000061,CERT-PKS-000013,Cagrilintide,"sterility, endotoxin, particles and stability",OPEN,BLOCKS PLATINUM AND COMMERCIAL RELEASE,"Direct manufacturer declaration, certificate, reference-standard and independent analytical or regulatory comparability evidence"
CERT-PPS-000061,CERT-PKS-000013,Cagrilintide,comparability to sponsor cagrilintide or CagriSema trial material,OPEN,BLOCKS PLATINUM AND COMMERCIAL RELEASE,"Direct manufacturer declaration, certificate, reference-standard and independent analytical or regulatory comparability evidence"
CERT-PPS-000062,CERT-PKS-000014,Mazdutide,complete mazdutide sequence and oxyntomodulin-analogue substitutions,OPEN,BLOCKS PLATINUM AND COMMERCIAL RELEASE,"Direct manufacturer declaration, certificate, reference-standard and independent analytical or regulatory comparability evidence"
CERT-PPS-000062,CERT-PKS-000014,Mazdutide,"lipidation, linker, attachment site and stereochemistry",OPEN,BLOCKS PLATINUM AND COMMERCIAL RELEASE,"Direct manufacturer declaration, certificate, reference-standard and independent analytical or regulatory comparability evidence"
CERT-PPS-000062,CERT-PKS-000014,Mazdutide,"salt, counter-ion, molecular mass and reference standard",OPEN,BLOCKS PLATINUM AND COMMERCIAL RELEASE,"Direct manufacturer declaration, certificate, reference-standard and independent analytical or regulatory comparability evidence"
CERT-PPS-000062,CERT-PKS-000014,Mazdutide,"manufacturer, synthesis route, batch and Chinese authorised supply chain",OPEN,BLOCKS PLATINUM AND COMMERCIAL RELEASE,"Direct manufacturer declaration, certificate, reference-standard and independent analytical or regulatory comparability evidence"
CERT-PPS-000062,CERT-PKS-000014,Mazdutide,"HPLC, LC-MS, peptide mapping and dual-receptor potency",OPEN,BLOCKS PLATINUM AND COMMERCIAL RELEASE,"Direct manufacturer declaration, certificate, reference-standard and independent analytical or regulatory comparability evidence"
CERT-PPS-000062,CERT-PKS-000014,Mazdutide,"formulation, excipients and container closure",OPEN,BLOCKS PLATINUM AND COMMERCIAL RELEASE,"Direct manufacturer declaration, certificate, reference-standard and independent analytical or regulatory comparability evidence"
CERT-PPS-000062,CERT-PKS-000014,Mazdutide,"sterility, endotoxin, particles and stability",OPEN,BLOCKS PLATINUM AND COMMERCIAL RELEASE,"Direct manufacturer declaration, certificate, reference-standard and independent analytical or regulatory comparability evidence"
CERT-PPS-000062,CERT-PKS-000014,Mazdutide,comparability to the exact NMPA-authorised finished product,OPEN,BLOCKS PLATINUM AND COMMERCIAL RELEASE,"Direct manufacturer declaration, certificate, reference-standard and independent analytical or regulatory comparability evidence"
CERT-PPS-000063,CERT-PKS-000015,Survodutide,complete survodutide sequence and analogue substitutions,OPEN,BLOCKS PLATINUM AND COMMERCIAL RELEASE,"Direct manufacturer declaration, certificate, reference-standard and independent analytical or regulatory comparability evidence"
CERT-PPS-000063,CERT-PKS-000015,Survodutide,"lipidation, linker, attachment site and stereochemistry",OPEN,BLOCKS PLATINUM AND COMMERCIAL RELEASE,"Direct manufacturer declaration, certificate, reference-standard and independent analytical or regulatory comparability evidence"
CERT-PPS-000063,CERT-PKS-000015,Survodutide,"salt, counter-ion, molecular mass and reference standard",OPEN,BLOCKS PLATINUM AND COMMERCIAL RELEASE,"Direct manufacturer declaration, certificate, reference-standard and independent analytical or regulatory comparability evidence"
CERT-PPS-000063,CERT-PKS-000015,Survodutide,"manufacturer, synthesis route and batch",OPEN,BLOCKS PLATINUM AND COMMERCIAL RELEASE,"Direct manufacturer declaration, certificate, reference-standard and independent analytical or regulatory comparability evidence"
CERT-PPS-000063,CERT-PKS-000015,Survodutide,"HPLC, LC-MS, peptide mapping and dual-receptor potency",OPEN,BLOCKS PLATINUM AND COMMERCIAL RELEASE,"Direct manufacturer declaration, certificate, reference-standard and independent analytical or regulatory comparability evidence"
CERT-PPS-000063,CERT-PKS-000015,Survodutide,"formulation, excipients and container closure",OPEN,BLOCKS PLATINUM AND COMMERCIAL RELEASE,"Direct manufacturer declaration, certificate, reference-standard and independent analytical or regulatory comparability evidence"
CERT-PPS-000063,CERT-PKS-000015,Survodutide,"sterility, endotoxin, particles and stability",OPEN,BLOCKS PLATINUM AND COMMERCIAL RELEASE,"Direct manufacturer declaration, certificate, reference-standard and independent analytical or regulatory comparability evidence"
CERT-PPS-000063,CERT-PKS-000015,Survodutide,comparability to SYNCHRONIZE or MASH trial material,OPEN,BLOCKS PLATINUM AND COMMERCIAL RELEASE,"Direct manufacturer declaration, certificate, reference-standard and independent analytical or regulatory comparability evidence"
CERT-PPS-000064,CERT-PKS-000054,Cibinetide / ARA-290,pGlu-Glu-Gln-Leu-Glu-Arg-Ala-Leu-Asn-Ser-Ser sequence,OPEN,BLOCKS PLATINUM AND COMMERCIAL RELEASE,"Direct manufacturer declaration, certificate, reference-standard and independent analytical or regulatory comparability evidence"
CERT-PPS-000064,CERT-PKS-000054,Cibinetide / ARA-290,N-terminal pyroglutamate and free C-terminal carboxyl identity,OPEN,BLOCKS PLATINUM AND COMMERCIAL RELEASE,"Direct manufacturer declaration, certificate, reference-standard and independent analytical or regulatory comparability evidence"
CERT-PPS-000064,CERT-PKS-000054,Cibinetide / ARA-290,"salt, counter-ion, molecular mass and FDA reference identity",OPEN,BLOCKS PLATINUM AND COMMERCIAL RELEASE,"Direct manufacturer declaration, certificate, reference-standard and independent analytical or regulatory comparability evidence"
CERT-PPS-000064,CERT-PKS-000054,Cibinetide / ARA-290,"manufacturer, synthesis route and batch",OPEN,BLOCKS PLATINUM AND COMMERCIAL RELEASE,"Direct manufacturer declaration, certificate, reference-standard and independent analytical or regulatory comparability evidence"
CERT-PPS-000064,CERT-PKS-000054,Cibinetide / ARA-290,"HPLC, LC-MS, stereochemistry, potency and impurity profile",OPEN,BLOCKS PLATINUM AND COMMERCIAL RELEASE,"Direct manufacturer declaration, certificate, reference-standard and independent analytical or regulatory comparability evidence"
CERT-PPS-000064,CERT-PKS-000054,Cibinetide / ARA-290,"formulation, excipients and container closure",OPEN,BLOCKS PLATINUM AND COMMERCIAL RELEASE,"Direct manufacturer declaration, certificate, reference-standard and independent analytical or regulatory comparability evidence"
CERT-PPS-000064,CERT-PKS-000054,Cibinetide / ARA-290,"sterility, endotoxin, particles and stability",OPEN,BLOCKS PLATINUM AND COMMERCIAL RELEASE,"Direct manufacturer declaration, certificate, reference-standard and independent analytical or regulatory comparability evidence"
CERT-PPS-000064,CERT-PKS-000054,Cibinetide / ARA-290,comparability to ARA-290/cibinetide clinical-study material,OPEN,BLOCKS PLATINUM AND COMMERCIAL RELEASE,"Direct manufacturer declaration, certificate, reference-standard and independent analytical or regulatory comparability evidence"
CERT-PPS-000031,CERT-PKS-000089,Elamipretide / SS-31,"D-Arg-2,6-dimethyl-Tyr-Lys-Phe-NH2 sequence and stereochemistry",OPEN,BLOCKS PLATINUM AND COMMERCIAL RELEASE,"Direct manufacturer declaration, certificate, reference-standard and independent analytical or regulatory comparability evidence"
CERT-PPS-000031,CERT-PKS-000089,Elamipretide / SS-31,"hydrochloride versus other salt, counter-ion and molecular mass",OPEN,BLOCKS PLATINUM AND COMMERCIAL RELEASE,"Direct manufacturer declaration, certificate, reference-standard and independent analytical or regulatory comparability evidence"
CERT-PPS-000031,CERT-PKS-000089,Elamipretide / SS-31,"manufacturer, synthesis route and batch",OPEN,BLOCKS PLATINUM AND COMMERCIAL RELEASE,"Direct manufacturer declaration, certificate, reference-standard and independent analytical or regulatory comparability evidence"
CERT-PPS-000031,CERT-PKS-000089,Elamipretide / SS-31,"HPLC, LC-MS, potency and impurity profile",OPEN,BLOCKS PLATINUM AND COMMERCIAL RELEASE,"Direct manufacturer declaration, certificate, reference-standard and independent analytical or regulatory comparability evidence"
CERT-PPS-000031,CERT-PKS-000089,Elamipretide / SS-31,"powder formulation, excipients and container closure",OPEN,BLOCKS PLATINUM AND COMMERCIAL RELEASE,"Direct manufacturer declaration, certificate, reference-standard and independent analytical or regulatory comparability evidence"
CERT-PPS-000031,CERT-PKS-000089,Elamipretide / SS-31,"sterility, endotoxin, particles and stability",OPEN,BLOCKS PLATINUM AND COMMERCIAL RELEASE,"Direct manufacturer declaration, certificate, reference-standard and independent analytical or regulatory comparability evidence"
CERT-PPS-000031,CERT-PKS-000089,Elamipretide / SS-31,comparability to FORZINITY active substance,OPEN,BLOCKS PLATINUM AND COMMERCIAL RELEASE,"Direct manufacturer declaration, certificate, reference-standard and independent analytical or regulatory comparability evidence"
CERT-PPS-000031,CERT-PKS-000089,Elamipretide / SS-31,comparability to FORZINITY 80 mg/mL finished product,OPEN,BLOCKS PLATINUM AND COMMERCIAL RELEASE,"Direct manufacturer declaration, certificate, reference-standard and independent analytical or regulatory comparability evidence"
