Source Row,Source Code,Listed Name,Preliminary Canonical Name,Specification,Price USD / Kit,Review Segment,Final UAI,Final Asset Name,Final Build,Final Catalogue Code,Disposition,Price Check,Mapping Note
19,OT5,Oxytocin Acetate,Oxytocin acetate,5 mg x 10 vials,47,"C3 - GH, IGF and endocrine",CERT-PKS-000031,Oxytocin,0022C,OT5,COVERED - PEPTIDE KNOWLEDGE SYSTEM,PASS,Final build SKU mapping
20,OT10,Oxytocin Acetate,Oxytocin acetate,10 mg x 10 vials,56,"C3 - GH, IGF and endocrine",CERT-PKS-000031,Oxytocin,0022C,OT10,COVERED - PEPTIDE KNOWLEDGE SYSTEM,PASS,Final build SKU mapping
21,ET10,Epithalon,Epitalon,10 mg x 10 vials,51,Existing assets,CERT-PKS-000010,Epitalon,PRE-0020,ET10,COVERED - EXISTING PKS ASSET,NOT RE-TESTED - EXISTING BASELINE,Existing asset crosswalk
22,ET40,Epithalon,Epitalon,40 mg x 10 vials,154,Existing assets,CERT-PKS-000010,Epitalon,PRE-0020,ET40,COVERED - EXISTING PKS ASSET,NOT RE-TESTED - EXISTING BASELINE,Existing asset crosswalk
23,ET50,Epithalon,Epitalon,50 mg x 10 vials,185,Existing assets,CERT-PKS-000010,Epitalon,PRE-0020,ET50,COVERED - EXISTING PKS ASSET,NOT RE-TESTED - EXISTING BASELINE,Existing asset crosswalk
24,BC2,BPC 157,BPC-157,2 mg x 10 vials,26,Existing assets,CERT-PKS-000002,BPC-157,PRE-0020,BC2,COVERED - EXISTING PKS ASSET,NOT RE-TESTED - EXISTING BASELINE,Existing asset crosswalk
25,BC5,BPC 157,BPC-157,5 mg x 10 vials,44,Existing assets,CERT-PKS-000002,BPC-157,PRE-0020,BC5,COVERED - EXISTING PKS ASSET,NOT RE-TESTED - EXISTING BASELINE,Existing asset crosswalk
26,BC10,BPC 157,BPC-157,10 mg x 10 vials,65,Existing assets,CERT-PKS-000002,BPC-157,PRE-0020,BC10,COVERED - EXISTING PKS ASSET,NOT RE-TESTED - EXISTING BASELINE,Existing asset crosswalk
27,BC20,BPC 157,BPC-157,20 mg x 10 vials,115,Existing assets,CERT-PKS-000002,BPC-157,PRE-0020,BC20,COVERED - EXISTING PKS ASSET,NOT RE-TESTED - EXISTING BASELINE,Existing asset crosswalk
28,BB4,BPC + TB,BPC-157 + TB-500 blend,BPC 2 mg + TB 2 mg; 4 mg x 10 vials,66,C8 - Blends and supplier combinations,CERT-PKS-000081,BPC-157 + TB Supplier Blend Family,0027,BB4,COVERED - PEPTIDE KNOWLEDGE SYSTEM,PASS,Final build SKU mapping
29,BB10,BPC + TB,BPC-157 + TB-500 blend,BPC 5 mg + TB 5 mg; 10 mg x 10 vials,116,C8 - Blends and supplier combinations,CERT-PKS-000081,BPC-157 + TB Supplier Blend Family,0027,BB10,COVERED - PEPTIDE KNOWLEDGE SYSTEM,PASS,Final build SKU mapping
30,BB20,BPC + TB,BPC-157 + TB-500 blend,BPC 10 mg + TB 10 mg; 20 mg x 10 vials,230,C8 - Blends and supplier combinations,CERT-PKS-000081,BPC-157 + TB Supplier Blend Family,0027,BB20,COVERED - PEPTIDE KNOWLEDGE SYSTEM,PASS,Final build SKU mapping
31,AE1,ACE-031,ACE-031,1 mg x 10 vials,81,"C3 - GH, IGF and endocrine",CERT-PKS-000029,ACE-031,0022B,AE1,COVERED - PEPTIDE KNOWLEDGE SYSTEM,PASS,Final build SKU mapping
32,AR50,AICAR,AICAR,50 mg x 10 vials,63,C9 - Non-peptide and ancillary catalogue items,CERT-MPS-000001,AICAR Supplier Product Family,0028A,AR50,COVERED - MARKETPLACE PRODUCT SYSTEM,PASS,Final build SKU mapping
33,AR100,AICAR,AICAR,100 mg x 10 vials,99,C9 - Non-peptide and ancillary catalogue items,CERT-MPS-000001,AICAR Supplier Product Family,0028A,AR100,COVERED - MARKETPLACE PRODUCT SYSTEM,PASS,Final build SKU mapping
34,AP2,Adipotide,Adipotide,2 mg x 10 vials,95,C2 - Metabolic and incretin-related,CERT-PKS-000018,Adipotide,0021,AP2,COVERED - PEPTIDE KNOWLEDGE SYSTEM,PASS,Final build SKU mapping
35,AP5,Adipotide,Adipotide,5 mg x 10 vials,204,C2 - Metabolic and incretin-related,CERT-PKS-000018,Adipotide,0021,AP5,COVERED - PEPTIDE KNOWLEDGE SYSTEM,PASS,Final build SKU mapping
36,XA5,Semax,Semax,5 mg x 10 vials,41,C4 - Neurocognitive and sleep peptides,CERT-PKS-000038,Semax,0023A,XA5,COVERED - PEPTIDE KNOWLEDGE SYSTEM,PASS,Final build SKU mapping
37,XA10,Semax,Semax,10 mg x 10 vials,62,C4 - Neurocognitive and sleep peptides,CERT-PKS-000038,Semax,0023A,XA10,COVERED - PEPTIDE KNOWLEDGE SYSTEM,PASS,Final build SKU mapping
38,XA30,Semax,Semax,30 mg x 10 vials,135,C4 - Neurocognitive and sleep peptides,CERT-PKS-000038,Semax,0023A,XA30,COVERED - PEPTIDE KNOWLEDGE SYSTEM,PASS,Final build SKU mapping
39,SM2,Semaglutide,Semaglutide,2 mg x 10 vials,27,C2 - Metabolic and incretin-related,CERT-PKS-000011,Semaglutide,0021,SM2,COVERED - PEPTIDE KNOWLEDGE SYSTEM,PASS,Final build SKU mapping
40,SM5,Semaglutide,Semaglutide,5 mg x 10 vials,36,C2 - Metabolic and incretin-related,CERT-PKS-000011,Semaglutide,0021,SM5,COVERED - PEPTIDE KNOWLEDGE SYSTEM,PASS,Final build SKU mapping
41,SM10,Semaglutide,Semaglutide,10 mg x 10 vials,50,C2 - Metabolic and incretin-related,CERT-PKS-000011,Semaglutide,0021,SM10,COVERED - PEPTIDE KNOWLEDGE SYSTEM,PASS,Final build SKU mapping
42,SM15,Semaglutide,Semaglutide,15 mg x 10 vials,64,C2 - Metabolic and incretin-related,CERT-PKS-000011,Semaglutide,0021,SM15,COVERED - PEPTIDE KNOWLEDGE SYSTEM,PASS,Final build SKU mapping
43,SM20,Semaglutide,Semaglutide,20 mg x 10 vials,78,C2 - Metabolic and incretin-related,CERT-PKS-000011,Semaglutide,0021,SM20,COVERED - PEPTIDE KNOWLEDGE SYSTEM,PASS,Final build SKU mapping
44,SM30,Semaglutide,Semaglutide,30 mg x 10 vials,108,C2 - Metabolic and incretin-related,CERT-PKS-000011,Semaglutide,0021,SM30,COVERED - PEPTIDE KNOWLEDGE SYSTEM,PASS,Final build SKU mapping
45,2S10,SS-31,Elamipretide,10 mg x 10 vials,85,C6 - Mitochondrial and longevity research,,,,,UNMAPPED - COVERAGE GAP,NOT APPLICABLE,Requires corrective asset build
46,2S50,SS-31,Elamipretide,50 mg x 10 vials,360,C6 - Mitochondrial and longevity research,,,,,UNMAPPED - COVERAGE GAP,NOT APPLICABLE,Requires corrective asset build
47,TR5,Tirzepatide,Tirzepatide,5 mg x 10 vials,35,C2 - Metabolic and incretin-related,CERT-PKS-000012,Tirzepatide,0021,TR5,COVERED - PEPTIDE KNOWLEDGE SYSTEM,PASS,Final build SKU mapping
48,TR10,Tirzepatide,Tirzepatide,10 mg x 10 vials,51,C2 - Metabolic and incretin-related,CERT-PKS-000012,Tirzepatide,0021,TR10,COVERED - PEPTIDE KNOWLEDGE SYSTEM,PASS,Final build SKU mapping
49,TR15,Tirzepatide,Tirzepatide,15 mg x 10 vials,62,C2 - Metabolic and incretin-related,CERT-PKS-000012,Tirzepatide,0021,TR15,COVERED - PEPTIDE KNOWLEDGE SYSTEM,PASS,Final build SKU mapping
50,TR20,Tirzepatide,Tirzepatide,20 mg x 10 vials,84,C2 - Metabolic and incretin-related,CERT-PKS-000012,Tirzepatide,0021,TR20,COVERED - PEPTIDE KNOWLEDGE SYSTEM,PASS,Final build SKU mapping
51,TR30,Tirzepatide,Tirzepatide,30 mg x 10 vials,107,C2 - Metabolic and incretin-related,CERT-PKS-000012,Tirzepatide,0021,TR30,COVERED - PEPTIDE KNOWLEDGE SYSTEM,PASS,Final build SKU mapping
52,TR40,Tirzepatide,Tirzepatide,40 mg x 10 vials,140,C2 - Metabolic and incretin-related,CERT-PKS-000012,Tirzepatide,0021,TR40,COVERED - PEPTIDE KNOWLEDGE SYSTEM,PASS,Final build SKU mapping
53,TR50,Tirzepatide,Tirzepatide,50 mg x 10 vials,169,C2 - Metabolic and incretin-related,CERT-PKS-000012,Tirzepatide,0021,TR50,COVERED - PEPTIDE KNOWLEDGE SYSTEM,PASS,Final build SKU mapping
54,TR60,Tirzepatide,Tirzepatide,60 mg x 10 vials,197,C2 - Metabolic and incretin-related,CERT-PKS-000012,Tirzepatide,0021,TR60,COVERED - PEPTIDE KNOWLEDGE SYSTEM,PASS,Final build SKU mapping
55,TR100,Tirzepatide,Tirzepatide,100 mg x 10 vials,301,C2 - Metabolic and incretin-related,CERT-PKS-000012,Tirzepatide,0021,TR100,COVERED - PEPTIDE KNOWLEDGE SYSTEM,PASS,Final build SKU mapping
56,G25,GHRP-2 Acetate,GHRP-2 acetate,5 mg x 10 vials,27,"C3 - GH, IGF and endocrine",CERT-PKS-000023,GHRP-2 / Pralmorelin,0022A,G25,COVERED - PEPTIDE KNOWLEDGE SYSTEM,PASS,Final build SKU mapping
57,G210,GHRP-2 Acetate,GHRP-2 acetate,10 mg x 10 vials,54,"C3 - GH, IGF and endocrine",CERT-PKS-000023,GHRP-2 / Pralmorelin,0022A,G210,COVERED - PEPTIDE KNOWLEDGE SYSTEM,PASS,Final build SKU mapping
58,G65,GHRP-6 Acetate,GHRP-6 acetate,5 mg x 10 vials,27,"C3 - GH, IGF and endocrine",CERT-PKS-000024,GHRP-6,0022A,G65,COVERED - PEPTIDE KNOWLEDGE SYSTEM,PASS,Final build SKU mapping
59,G610,GHRP-6 Acetate,GHRP-6 acetate,10 mg x 10 vials,54,"C3 - GH, IGF and endocrine",CERT-PKS-000024,GHRP-6,0022A,G610,COVERED - PEPTIDE KNOWLEDGE SYSTEM,PASS,Final build SKU mapping
60,CND2,CJC-1295 Without DAC,Modified GRF (1-29) identity candidate,2 mg x 10 vials,42,"C3 - GH, IGF and endocrine",CERT-PKS-000022,Modified GRF (1-29),0022A,CND2,COVERED - PEPTIDE KNOWLEDGE SYSTEM,PASS,Final build SKU mapping
61,CND5,CJC-1295 Without DAC,Modified GRF (1-29) identity candidate,5 mg x 10 vials,91,"C3 - GH, IGF and endocrine",CERT-PKS-000022,Modified GRF (1-29),0022A,CND5,COVERED - PEPTIDE KNOWLEDGE SYSTEM,PASS,Final build SKU mapping
62,CND10,CJC-1295 Without DAC,Modified GRF (1-29) identity candidate,10 mg x 10 vials,180,"C3 - GH, IGF and endocrine",CERT-PKS-000022,Modified GRF (1-29),0022A,CND10,COVERED - PEPTIDE KNOWLEDGE SYSTEM,PASS,Final build SKU mapping
63,CP10,CJC-1295 without DAC + IPA,Modified GRF (1-29) + Ipamorelin blend,5 mg + 5 mg; 10 mg x 10 vials,107,C8 - Blends and supplier combinations,CERT-PKS-000088,Modified GRF (1-29) + Ipamorelin Supplier Blend,0027,CP10,COVERED - PEPTIDE KNOWLEDGE SYSTEM,PASS,Final build SKU mapping
64,CP20,CJC-1295 without DAC + IPA,Modified GRF (1-29) + Ipamorelin blend,10 mg + 10 mg; 20 mg x 10 vials,201,C8 - Blends and supplier combinations,CERT-PKS-000088,Modified GRF (1-29) + Ipamorelin Supplier Blend,0027,CP20,COVERED - PEPTIDE KNOWLEDGE SYSTEM,PASS,Final build SKU mapping
65,CD2,CJC-1295 With DAC,CJC-1295 with DAC,2 mg x 10 vials,92,Existing assets,CERT-PKS-000004,CJC-1295 with DAC,PRE-0020,CD2,COVERED - EXISTING PKS ASSET,NOT RE-TESTED - EXISTING BASELINE,Existing asset crosswalk
66,CD5,CJC-1295 With DAC,CJC-1295 with DAC,5 mg x 10 vials,197,Existing assets,CERT-PKS-000004,CJC-1295 with DAC,PRE-0020,CD5,COVERED - EXISTING PKS ASSET,NOT RE-TESTED - EXISTING BASELINE,Existing asset crosswalk
67,CD10,CJC-1295 With DAC,CJC-1295 with DAC,10 mg x 10 vials,366,Existing assets,CERT-PKS-000004,CJC-1295 with DAC,PRE-0020,CD10,COVERED - EXISTING PKS ASSET,NOT RE-TESTED - EXISTING BASELINE,Existing asset crosswalk
68,BT2,TB500 (Thymosin B4 Acetate),Thymosin beta-4 / TB-500 full-length candidate,2 mg x 10 vials,46,Existing assets,CERT-PKS-000008,TB-500 fragment,PRE-0020,BT2,COVERED - EXISTING PKS ASSET,NOT RE-TESTED - EXISTING BASELINE,Existing asset crosswalk
69,BT5,TB500 (Thymosin B4 Acetate),Thymosin beta-4 / TB-500 full-length candidate,5 mg x 10 vials,85,Existing assets,CERT-PKS-000008,TB-500 fragment,PRE-0020,BT5,COVERED - EXISTING PKS ASSET,NOT RE-TESTED - EXISTING BASELINE,Existing asset crosswalk
70,BT10,TB500 (Thymosin B4 Acetate),Thymosin beta-4 / TB-500 full-length candidate,10 mg x 10 vials,169,Existing assets,CERT-PKS-000008,TB-500 fragment,PRE-0020,BT10,COVERED - EXISTING PKS ASSET,NOT RE-TESTED - EXISTING BASELINE,Existing asset crosswalk
71,BT20,TB500 (Thymosin B4 Acetate),Thymosin beta-4 / TB-500 full-length candidate,20 mg x 10 vials,310,Existing assets,CERT-PKS-000008,TB-500 fragment,PRE-0020,BT20,COVERED - EXISTING PKS ASSET,NOT RE-TESTED - EXISTING BASELINE,Existing asset crosswalk
72,B10F,TB500 (Frag),TB-500 fragment,2 mg x 10 vials,85,Existing assets,CERT-PKS-000008,TB-500 fragment,PRE-0020,B10F,COVERED - EXISTING PKS ASSET,NOT RE-TESTED - EXISTING BASELINE,Existing asset crosswalk
73,FM2,MGF,Mechano growth factor,2 mg x 10 vials,38,"C3 - GH, IGF and endocrine",CERT-PKS-000027,Mechano Growth Factor / IGF-1Ec E-Domain Peptide Family,0022B,FM2,COVERED - PEPTIDE KNOWLEDGE SYSTEM,PASS,Final build SKU mapping
74,FMP2,PEG MGF,PEG-MGF,2 mg x 10 vials,95,"C3 - GH, IGF and endocrine",CERT-PKS-000028,PEG-MGF Supplier Product Family,0022B,FMP2,COVERED - PEPTIDE KNOWLEDGE SYSTEM,PASS,Final build SKU mapping
75,SMO2,Sermorelin Acetate,Sermorelin acetate,2 mg x 10 vials,49,"C3 - GH, IGF and endocrine",CERT-PKS-000021,Sermorelin,0022A,SMO2,COVERED - PEPTIDE KNOWLEDGE SYSTEM,PASS,Final build SKU mapping
76,SMO5,Sermorelin Acetate,Sermorelin acetate,5 mg x 10 vials,76,"C3 - GH, IGF and endocrine",CERT-PKS-000021,Sermorelin,0022A,SMO5,COVERED - PEPTIDE KNOWLEDGE SYSTEM,PASS,Final build SKU mapping
77,SMO10,Sermorelin Acetate,Sermorelin acetate,10 mg x 10 vials,153,"C3 - GH, IGF and endocrine",CERT-PKS-000021,Sermorelin,0022A,SMO10,COVERED - PEPTIDE KNOWLEDGE SYSTEM,PASS,Final build SKU mapping
78,SMO15,Sermorelin Acetate,Sermorelin acetate,15 mg x 10 vials,239,"C3 - GH, IGF and endocrine",CERT-PKS-000021,Sermorelin,0022A,SMO15,COVERED - PEPTIDE KNOWLEDGE SYSTEM,PASS,Final build SKU mapping
79,G10K,HCG,Human chorionic gonadotropin,"10,000 IU x 10 vials",163,"C3 - GH, IGF and endocrine",CERT-PKS-000032,Human Chorionic Gonadotropin Product Family,0022C,G10K,COVERED - PEPTIDE KNOWLEDGE SYSTEM,PASS,Final build SKU mapping
80,G5K,HCG,Human chorionic gonadotropin,"5,000 IU x 10 vials",85,"C3 - GH, IGF and endocrine",CERT-PKS-000032,Human Chorionic Gonadotropin Product Family,0022C,G5K,COVERED - PEPTIDE KNOWLEDGE SYSTEM,PASS,Final build SKU mapping
81,G2K,HCG,Human chorionic gonadotropin,"2,000 IU x 10 vials",55,"C3 - GH, IGF and endocrine",CERT-PKS-000032,Human Chorionic Gonadotropin Product Family,0022C,G2K,COVERED - PEPTIDE KNOWLEDGE SYSTEM,PASS,Final build SKU mapping
82,2AD,AOD9604,AOD9604,2 mg x 10 vials,53,C2 - Metabolic and incretin-related,CERT-PKS-000017,AOD9604,0021,2AD,COVERED - PEPTIDE KNOWLEDGE SYSTEM,PASS,Final build SKU mapping
83,5AD,AOD9604,AOD9604,5 mg x 10 vials,93,C2 - Metabolic and incretin-related,CERT-PKS-000017,AOD9604,0021,5AD,COVERED - PEPTIDE KNOWLEDGE SYSTEM,PASS,Final build SKU mapping
84,10AD,AOD9604,AOD9604,10 mg x 10 vials,197,C2 - Metabolic and incretin-related,CERT-PKS-000017,AOD9604,0021,10AD,COVERED - PEPTIDE KNOWLEDGE SYSTEM,PASS,Final build SKU mapping
85,IG01,IGF-1LR3,Long R3 IGF-1,0.1 mg x 10 vials,45,"C3 - GH, IGF and endocrine",CERT-PKS-000026,Long R3 IGF-1,0022B,IG01,COVERED - PEPTIDE KNOWLEDGE SYSTEM,PASS,Final build SKU mapping
86,IG1,IGF-1LR3,Long R3 IGF-1,1 mg x 10 vials,225,"C3 - GH, IGF and endocrine",CERT-PKS-000026,Long R3 IGF-1,0022B,IG1,COVERED - PEPTIDE KNOWLEDGE SYSTEM,PASS,Final build SKU mapping
87,TSM2,Tesamorelin,Tesamorelin,2 mg x 10 vials,56,Existing assets,CERT-PKS-000003,Tesamorelin,PRE-0020,TSM2,COVERED - EXISTING PKS ASSET,NOT RE-TESTED - EXISTING BASELINE,Existing asset crosswalk
88,TSM5,Tesamorelin,Tesamorelin,5 mg x 10 vials,101,Existing assets,CERT-PKS-000003,Tesamorelin,PRE-0020,TSM5,COVERED - EXISTING PKS ASSET,NOT RE-TESTED - EXISTING BASELINE,Existing asset crosswalk
89,TSM10,Tesamorelin,Tesamorelin,10 mg x 10 vials,211,Existing assets,CERT-PKS-000003,Tesamorelin,PRE-0020,TSM10,COVERED - EXISTING PKS ASSET,NOT RE-TESTED - EXISTING BASELINE,Existing asset crosswalk
90,TSM20,Tesamorelin,Tesamorelin,20 mg x 10 vials,390,Existing assets,CERT-PKS-000003,Tesamorelin,PRE-0020,TSM20,COVERED - EXISTING PKS ASSET,NOT RE-TESTED - EXISTING BASELINE,Existing asset crosswalk
91,IP2,Ipamorelin,Ipamorelin,2 mg x 10 vials,26,Existing assets,CERT-PKS-000005,Ipamorelin,PRE-0020,IP2,COVERED - EXISTING PKS ASSET,NOT RE-TESTED - EXISTING BASELINE,Existing asset crosswalk
92,IP5,Ipamorelin,Ipamorelin,5 mg x 10 vials,42,Existing assets,CERT-PKS-000005,Ipamorelin,PRE-0020,IP5,COVERED - EXISTING PKS ASSET,NOT RE-TESTED - EXISTING BASELINE,Existing asset crosswalk
93,IP10,Ipamorelin,Ipamorelin,10 mg x 10 vials,66,Existing assets,CERT-PKS-000005,Ipamorelin,PRE-0020,IP10,COVERED - EXISTING PKS ASSET,NOT RE-TESTED - EXISTING BASELINE,Existing asset crosswalk
94,HX2,Hexarelin Acetate,Hexarelin acetate,2 mg x 10 vials,54,"C3 - GH, IGF and endocrine",CERT-PKS-000025,Hexarelin / Examorelin,0022A,HX2,COVERED - PEPTIDE KNOWLEDGE SYSTEM,PASS,Final build SKU mapping
95,HX5,Hexarelin Acetate,Hexarelin acetate,5 mg x 10 vials,85,"C3 - GH, IGF and endocrine",CERT-PKS-000025,Hexarelin / Examorelin,0022A,HX5,COVERED - PEPTIDE KNOWLEDGE SYSTEM,PASS,Final build SKU mapping
96,CU50,GHK-CU,GHK-Cu,50 mg x 10 vials,28,Existing assets,CERT-PKS-000007,GHK-Cu,PRE-0020,CU50,COVERED - EXISTING PKS ASSET,NOT RE-TESTED - EXISTING BASELINE,Existing asset crosswalk
97,CU100,GHK-CU,GHK-Cu,100 mg x 10 vials,43,Existing assets,CERT-PKS-000007,GHK-Cu,PRE-0020,CU100,COVERED - EXISTING PKS ASSET,NOT RE-TESTED - EXISTING BASELINE,Existing asset crosswalk
98,GH50,GHK basic,GHK,50 mg x 10 vials,37,"C5 - Repair, immune and cosmetic peptides",CERT-PKS-000057,GHK,0024B,GH50,COVERED - PEPTIDE KNOWLEDGE SYSTEM,PASS,Final build SKU mapping
99,AU100,AHK-CU,AHK-Cu,100 mg x 10 vials,75,"C5 - Repair, immune and cosmetic peptides",CERT-PKS-000058,AHK-Cu,0024B,AU100,COVERED - PEPTIDE KNOWLEDGE SYSTEM,PASS,Final build SKU mapping
100,KS5,KissPeptin-10,Kisspeptin-10,5 mg x 10 vials,54,"C3 - GH, IGF and endocrine",CERT-PKS-000034,Kisspeptin-10,0022C,KS5,COVERED - PEPTIDE KNOWLEDGE SYSTEM,PASS,Final build SKU mapping
101,KS10,KissPeptin-10,Kisspeptin-10,10 mg x 10 vials,81,"C3 - GH, IGF and endocrine",CERT-PKS-000034,Kisspeptin-10,0022C,KS10,COVERED - PEPTIDE KNOWLEDGE SYSTEM,PASS,Final build SKU mapping
102,TY10,Thymalin,Thymalin,10 mg x 10 vials,76,"C5 - Repair, immune and cosmetic peptides",CERT-PKS-000052,Thymalin Product Family,0024A,TY10,COVERED - PEPTIDE KNOWLEDGE SYSTEM,PASS,Final build SKU mapping
103,TA2,Thymosin Alpha-1,Thymosin alpha-1,2 mg x 10 vials,54,"C5 - Repair, immune and cosmetic peptides",CERT-PKS-000051,Thymosin Alpha-1 / Thymalfasin,0024A,TA2,COVERED - PEPTIDE KNOWLEDGE SYSTEM,PASS,Final build SKU mapping
104,TA5,Thymosin Alpha-1,Thymosin alpha-1,5 mg x 10 vials,99,"C5 - Repair, immune and cosmetic peptides",CERT-PKS-000051,Thymosin Alpha-1 / Thymalfasin,0024A,TA5,COVERED - PEPTIDE KNOWLEDGE SYSTEM,PASS,Final build SKU mapping
105,TA10,Thymosin Alpha-1,Thymosin alpha-1,10 mg x 10 vials,197,"C5 - Repair, immune and cosmetic peptides",CERT-PKS-000051,Thymosin Alpha-1 / Thymalfasin,0024A,TA10,COVERED - PEPTIDE KNOWLEDGE SYSTEM,PASS,Final build SKU mapping
106,MS10,MOTS-c,MOTS-c,10 mg x 10 vials,71,Existing assets,CERT-PKS-000006,MOTS-c,PRE-0020,MS10,COVERED - EXISTING PKS ASSET,NOT RE-TESTED - EXISTING BASELINE,Existing asset crosswalk
107,MS40,MOTS-c,MOTS-c,40 mg x 10 vials,251,Existing assets,CERT-PKS-000006,MOTS-c,PRE-0020,MS40,COVERED - EXISTING PKS ASSET,NOT RE-TESTED - EXISTING BASELINE,Existing asset crosswalk
108,F410,FOXO4,FOXO4-DRI identity candidate,10 mg x 10 vials,431,C6 - Mitochondrial and longevity research,CERT-PKS-000064,FOXO4-DRI Supplier Product Family,0025A,F410,COVERED - PEPTIDE KNOWLEDGE SYSTEM,PASS,Final build SKU mapping
109,375,LL37,LL-37,5 mg x 10 vials,98,"C5 - Repair, immune and cosmetic peptides",CERT-PKS-000053,LL-37,0024A,375,COVERED - PEPTIDE KNOWLEDGE SYSTEM,PASS,Final build SKU mapping
