Product Passport,Parent UAI,Asset Name,Required Field,Status,Closure Priority,Closure Evidence
CERT-PPS-000036,CERT-PKS-000044,Cerebrolysin Product Family,"authorised national product, indication and supply chain",OPEN,P1,"Direct manufacturer, analytical, biological-source, quality, clinical and regulatory evidence"
CERT-PPS-000036,CERT-PKS-000044,Cerebrolysin Product Family,"sterility, endotoxin, particles, light/storage stability and batch release",OPEN,P1,"Direct manufacturer, analytical, biological-source, quality, clinical and regulatory evidence"
CERT-PPS-000037,CERT-PKS-000052,Thymalin Product Family,species and thymus tissue source,OPEN,P1,"Direct manufacturer, analytical, biological-source, quality, clinical and regulatory evidence"
CERT-PPS-000037,CERT-PKS-000052,Thymalin Product Family,"animal health, donor and transmissible-agent controls",OPEN,P1,"Direct manufacturer, analytical, biological-source, quality, clinical and regulatory evidence"
CERT-PPS-000037,CERT-PKS-000052,Thymalin Product Family,"extraction, hydrolysis, purification and fractionation process",OPEN,P1,"Direct manufacturer, analytical, biological-source, quality, clinical and regulatory evidence"
CERT-PPS-000037,CERT-PKS-000052,Thymalin Product Family,complete peptide and amino-acid composition,OPEN,P1,"Direct manufacturer, analytical, biological-source, quality, clinical and regulatory evidence"
CERT-PPS-000037,CERT-PKS-000052,Thymalin Product Family,molecular-weight distribution and batch fingerprint,OPEN,P1,"Direct manufacturer, analytical, biological-source, quality, clinical and regulatory evidence"
CERT-PPS-000037,CERT-PKS-000052,Thymalin Product Family,"manufacturer, reference product and regional authorisation",OPEN,P1,"Direct manufacturer, analytical, biological-source, quality, clinical and regulatory evidence"
CERT-PPS-000037,CERT-PKS-000052,Thymalin Product Family,independent human efficacy and safety evidence,OPEN,P1,"Direct manufacturer, analytical, biological-source, quality, clinical and regulatory evidence"
CERT-PPS-000037,CERT-PKS-000052,Thymalin Product Family,"sterility, endotoxin, particles, stability and container closure",OPEN,P1,"Direct manufacturer, analytical, biological-source, quality, clinical and regulatory evidence"
CERT-PPS-000038,CERT-PKS-000063,Humanin Supplier Product Family,native 24-residue Humanin versus analogue,OPEN,P1,"Direct manufacturer, analytical, biological-source, quality, clinical and regulatory evidence"
CERT-PPS-000038,CERT-PKS-000063,Humanin Supplier Product Family,complete sequence and any S14G or other substitution,OPEN,P1,"Direct manufacturer, analytical, biological-source, quality, clinical and regulatory evidence"
CERT-PPS-000038,CERT-PKS-000063,Humanin Supplier Product Family,"N- and C-terminal chemistry, salt and molecular mass",OPEN,P1,"Direct manufacturer, analytical, biological-source, quality, clinical and regulatory evidence"
CERT-PPS-000038,CERT-PKS-000063,Humanin Supplier Product Family,"reference standard, HPLC, LC-MS and purity",OPEN,P1,"Direct manufacturer, analytical, biological-source, quality, clinical and regulatory evidence"
CERT-PPS-000038,CERT-PKS-000063,Humanin Supplier Product Family,"manufacturer, synthesis route and batch",OPEN,P1,"Direct manufacturer, analytical, biological-source, quality, clinical and regulatory evidence"
CERT-PPS-000038,CERT-PKS-000063,Humanin Supplier Product Family,"aggregation, oxidation and stability",OPEN,P1,"Direct manufacturer, analytical, biological-source, quality, clinical and regulatory evidence"
CERT-PPS-000038,CERT-PKS-000063,Humanin Supplier Product Family,"sterility, endotoxin and particles if parenteral",OPEN,P1,"Direct manufacturer, analytical, biological-source, quality, clinical and regulatory evidence"
CERT-PPS-000038,CERT-PKS-000063,Humanin Supplier Product Family,"human PK, intervention safety, efficacy and regulatory status",OPEN,P1,"Direct manufacturer, analytical, biological-source, quality, clinical and regulatory evidence"
