Priority,Object,UAI,Name,Source Codes,Closure Class,Required Action,Recommended Build
P0,FINAL PRODUCT ASSET,CERT-PKS-000037,Erythropoietin Supplier Product Family,E3K,HIGH-RISK IDENTITY / PRODUCT PASSPORT,"Direct manufacturer, analytical, regulatory and safety closure.",POST-COVERAGE CLOSURE QUEUE
P0,FINAL PRODUCT ASSET,CERT-PKS-000045,Unbranded Cerebrolysin-Type Product Family,C60,HIGH-RISK IDENTITY / PRODUCT PASSPORT,"Direct manufacturer, analytical, regulatory and safety closure.",POST-COVERAGE CLOSURE QUEUE
P0,FINAL PRODUCT ASSET,CERT-PKS-000046,Dermorphin,DR5,HIGH-RISK IDENTITY / PRODUCT PASSPORT,"Direct manufacturer, analytical, regulatory and safety closure.",POST-COVERAGE CLOSURE QUEUE
P0,FINAL PRODUCT ASSET,CERT-PKS-000060,Matrixyl Supplier Product Family,MA10,HIGH-RISK IDENTITY / PRODUCT PASSPORT,"Direct manufacturer, analytical, regulatory and safety closure.",POST-COVERAGE CLOSURE QUEUE
P0,FINAL PRODUCT ASSET,CERT-PKS-000067,Testagen Supplier Product Family,TG20,HIGH-RISK IDENTITY / PRODUCT PASSPORT,"Direct manufacturer, analytical, regulatory and safety closure.",POST-COVERAGE CLOSURE QUEUE
P1,FINAL PRODUCT ASSET,CERT-MPS-000001,AICAR Supplier Product Family,AR100; AR50,PRODUCT PASSPORT OPEN,"Complete PPS identity, grade, route, quality and legal fields.",POST-COVERAGE CLOSURE QUEUE
P1,FINAL PRODUCT ASSET,CERT-MPS-000002,Melatonin Supplier Vial Family,MT10,PRODUCT PASSPORT OPEN,"Complete PPS identity, grade, route, quality and legal fields.",POST-COVERAGE CLOSURE QUEUE
P1,FINAL PRODUCT ASSET,CERT-MPS-000003,Glutathione Supplier Vial Family,GTT,PRODUCT PASSPORT OPEN,"Complete PPS identity, grade, route, quality and legal fields.",POST-COVERAGE CLOSURE QUEUE
P1,FINAL PRODUCT ASSET,CERT-MPS-000004,5-Amino-1MQ Supplier Product Family,10AM; 50AM; 5AM,PRODUCT PASSPORT OPEN,"Complete PPS identity, grade, route, quality and legal fields.",POST-COVERAGE CLOSURE QUEUE
P1,FINAL PRODUCT ASSET,CERT-MPS-000005,NAD Supplier Product Family,NJ1000; NJ250; NJ3100; NJ500,PRODUCT PASSPORT OPEN,"Complete PPS identity, grade, route, quality and legal fields.",POST-COVERAGE CLOSURE QUEUE
P1,FINAL PRODUCT ASSET,CERT-PKS-000028,PEG-MGF Supplier Product Family,FMP2,IDENTITY / FORMULATION CLOSURE,"Close sequence, formulation, manufacturer and primary-source identity.",POST-COVERAGE CLOSURE QUEUE
P1,FINAL PRODUCT ASSET,CERT-PKS-000032,Human Chorionic Gonadotropin Product Family,G10K; G2K; G5K,IDENTITY / FORMULATION CLOSURE,"Close sequence, formulation, manufacturer and primary-source identity.",POST-COVERAGE CLOSURE QUEUE
P1,FINAL PRODUCT ASSET,CERT-PKS-000033,Menotropins / Human Menopausal Gonadotropin Product Family,G75,IDENTITY / FORMULATION CLOSURE,"Close sequence, formulation, manufacturer and primary-source identity.",POST-COVERAGE CLOSURE QUEUE
P1,FINAL PRODUCT ASSET,CERT-PKS-000042,Adamax Supplier Product Family,AD5,IDENTITY / FORMULATION CLOSURE,"Close sequence, formulation, manufacturer and primary-source identity.",POST-COVERAGE CLOSURE QUEUE
P1,FINAL PRODUCT ASSET,CERT-PKS-000043,PE 22-28 Supplier Product Family,PE10,IDENTITY / FORMULATION CLOSURE,"Close sequence, formulation, manufacturer and primary-source identity.",POST-COVERAGE CLOSURE QUEUE
P1,FINAL PRODUCT ASSET,CERT-PKS-000044,Cerebrolysin Product Family,CBL60,IDENTITY / FORMULATION CLOSURE,"Close sequence, formulation, manufacturer and primary-source identity.",POST-COVERAGE CLOSURE QUEUE
P1,FINAL PRODUCT ASSET,CERT-PKS-000047,P021 / Peptide 021 Adamantane Conjugate Product Family,PP10,IDENTITY / FORMULATION CLOSURE,"Close sequence, formulation, manufacturer and primary-source identity.",POST-COVERAGE CLOSURE QUEUE
P1,FINAL PRODUCT ASSET,CERT-PKS-000048,P21 Without Adamantane Supplier Product Family,P210,IDENTITY / FORMULATION CLOSURE,"Close sequence, formulation, manufacturer and primary-source identity.",POST-COVERAGE CLOSURE QUEUE
P1,FINAL PRODUCT ASSET,CERT-PKS-000052,Thymalin Product Family,TY10,IDENTITY / FORMULATION CLOSURE,"Close sequence, formulation, manufacturer and primary-source identity.",POST-COVERAGE CLOSURE QUEUE
P1,FINAL PRODUCT ASSET,CERT-PKS-000063,Humanin Supplier Product Family,HU10,IDENTITY / FORMULATION CLOSURE,"Close sequence, formulation, manufacturer and primary-source identity.",POST-COVERAGE CLOSURE QUEUE
P1,FINAL PRODUCT ASSET,CERT-PKS-000064,FOXO4-DRI Supplier Product Family,F410,IDENTITY / FORMULATION CLOSURE,"Close sequence, formulation, manufacturer and primary-source identity.",POST-COVERAGE CLOSURE QUEUE
P1,FINAL PRODUCT ASSET,CERT-PKS-000066,Vilon Supplier Product Family,VI20,IDENTITY / FORMULATION CLOSURE,"Close sequence, formulation, manufacturer and primary-source identity.",POST-COVERAGE CLOSURE QUEUE
P1,FINAL PRODUCT ASSET,CERT-PKS-000068,Bronchogen,BR20,IDENTITY / FORMULATION CLOSURE,"Close sequence, formulation, manufacturer and primary-source identity.",POST-COVERAGE CLOSURE QUEUE
P1,FINAL PRODUCT ASSET,CERT-PKS-000069,Cardiogen,CA20,IDENTITY / FORMULATION CLOSURE,"Close sequence, formulation, manufacturer and primary-source identity.",POST-COVERAGE CLOSURE QUEUE
P1,FINAL PRODUCT ASSET,CERT-PKS-000070,Cortagen,COR20,IDENTITY / FORMULATION CLOSURE,"Close sequence, formulation, manufacturer and primary-source identity.",POST-COVERAGE CLOSURE QUEUE
P1,FINAL PRODUCT ASSET,CERT-PKS-000071,Livagen,LI20,IDENTITY / FORMULATION CLOSURE,"Close sequence, formulation, manufacturer and primary-source identity.",POST-COVERAGE CLOSURE QUEUE
P1,FINAL PRODUCT ASSET,CERT-PKS-000072,Pancragen,PA20,IDENTITY / FORMULATION CLOSURE,"Close sequence, formulation, manufacturer and primary-source identity.",POST-COVERAGE CLOSURE QUEUE
P1,FINAL PRODUCT ASSET,CERT-PKS-000073,Prostamax,MAX20,IDENTITY / FORMULATION CLOSURE,"Close sequence, formulation, manufacturer and primary-source identity.",POST-COVERAGE CLOSURE QUEUE
P1,FINAL PRODUCT ASSET,CERT-PKS-000074,Cartalax,LAX20,IDENTITY / FORMULATION CLOSURE,"Close sequence, formulation, manufacturer and primary-source identity.",POST-COVERAGE CLOSURE QUEUE
P1,FINAL PRODUCT ASSET,CERT-PKS-000075,Chonluten,CH20,IDENTITY / FORMULATION CLOSURE,"Close sequence, formulation, manufacturer and primary-source identity.",POST-COVERAGE CLOSURE QUEUE
P1,FINAL PRODUCT ASSET,CERT-PKS-000076,Crystagen,CRY20,IDENTITY / FORMULATION CLOSURE,"Close sequence, formulation, manufacturer and primary-source identity.",POST-COVERAGE CLOSURE QUEUE
P1,FINAL PRODUCT ASSET,CERT-PKS-000077,Ovagen,OV20,IDENTITY / FORMULATION CLOSURE,"Close sequence, formulation, manufacturer and primary-source identity.",POST-COVERAGE CLOSURE QUEUE
P1,FINAL PRODUCT ASSET,CERT-PKS-000078,Vesugen,VE20,IDENTITY / FORMULATION CLOSURE,"Close sequence, formulation, manufacturer and primary-source identity.",POST-COVERAGE CLOSURE QUEUE
P1,FINAL PRODUCT ASSET,CERT-PKS-000081,BPC-157 + TB Supplier Blend Family,BB10; BB20; BB4,COMBINATION ANALYTICS OPEN,"Verify every component, fixed ratio, compatibility, stability and batch assay.",POST-COVERAGE CLOSURE QUEUE
P1,FINAL PRODUCT ASSET,CERT-PKS-000082,BPC-157 + GHK-Cu + TB-500 Supplier Blend,BBG70,COMBINATION ANALYTICS OPEN,"Verify every component, fixed ratio, compatibility, stability and batch assay.",POST-COVERAGE CLOSURE QUEUE
P1,FINAL PRODUCT ASSET,CERT-PKS-000083,BPC-157 + GHK-Cu + TB-500 + KPV Supplier Blend,KL80,COMBINATION ANALYTICS OPEN,"Verify every component, fixed ratio, compatibility, stability and batch assay.",POST-COVERAGE CLOSURE QUEUE
P1,FINAL PRODUCT ASSET,CERT-PKS-000084,Cagrilintide + Semaglutide Supplier Blend,CS10,COMBINATION ANALYTICS OPEN,"Verify every component, fixed ratio, compatibility, stability and batch assay.",POST-COVERAGE CLOSURE QUEUE
P1,FINAL PRODUCT ASSET,CERT-PKS-000085,Retatrutide + Cagrilintide Supplier Blend,RC10,COMBINATION ANALYTICS OPEN,"Verify every component, fixed ratio, compatibility, stability and batch assay.",POST-COVERAGE CLOSURE QUEUE
P1,FINAL PRODUCT ASSET,CERT-PKS-000086,Tesamorelin + Ipamorelin Supplier Blend,TI18,COMBINATION ANALYTICS OPEN,"Verify every component, fixed ratio, compatibility, stability and batch assay.",POST-COVERAGE CLOSURE QUEUE
P1,FINAL PRODUCT ASSET,CERT-PKS-000087,Semax + Selank Supplier Blend,XS20,COMBINATION ANALYTICS OPEN,"Verify every component, fixed ratio, compatibility, stability and batch assay.",POST-COVERAGE CLOSURE QUEUE
P1,FINAL PRODUCT ASSET,CERT-PKS-000088,Modified GRF (1-29) + Ipamorelin Supplier Blend,CP10; CP20,COMBINATION ANALYTICS OPEN,"Verify every component, fixed ratio, compatibility, stability and batch assay.",POST-COVERAGE CLOSURE QUEUE
P2,FINAL PRODUCT ASSET,CERT-PKS-000001,Retatrutide,RT10; RT15; RT20; RT30; RT40; RT5; RT50; RT60,EVIDENCE AND REGULATORY CLOSURE,"Complete primary-source extraction, current status review and safety translation.",POST-COVERAGE CLOSURE QUEUE
P2,FINAL PRODUCT ASSET,CERT-PKS-000002,BPC-157,BC10; BC2; BC20; BC5,EVIDENCE AND REGULATORY CLOSURE,"Complete primary-source extraction, current status review and safety translation.",POST-COVERAGE CLOSURE QUEUE
P2,FINAL PRODUCT ASSET,CERT-PKS-000003,Tesamorelin,TSM10; TSM2; TSM20; TSM5,EVIDENCE AND REGULATORY CLOSURE,"Complete primary-source extraction, current status review and safety translation.",POST-COVERAGE CLOSURE QUEUE
P2,FINAL PRODUCT ASSET,CERT-PKS-000004,CJC-1295 with DAC,CD10; CD2; CD5,EVIDENCE AND REGULATORY CLOSURE,"Complete primary-source extraction, current status review and safety translation.",POST-COVERAGE CLOSURE QUEUE
P2,FINAL PRODUCT ASSET,CERT-PKS-000005,Ipamorelin,IP10; IP2; IP5,EVIDENCE AND REGULATORY CLOSURE,"Complete primary-source extraction, current status review and safety translation.",POST-COVERAGE CLOSURE QUEUE
P2,FINAL PRODUCT ASSET,CERT-PKS-000006,MOTS-c,MS10; MS40,EVIDENCE AND REGULATORY CLOSURE,"Complete primary-source extraction, current status review and safety translation.",POST-COVERAGE CLOSURE QUEUE
P2,FINAL PRODUCT ASSET,CERT-PKS-000007,GHK-Cu,CU100; CU50,EVIDENCE AND REGULATORY CLOSURE,"Complete primary-source extraction, current status review and safety translation.",POST-COVERAGE CLOSURE QUEUE
P2,FINAL PRODUCT ASSET,CERT-PKS-000008,TB-500 fragment,B10F; BT10; BT2; BT20; BT5,EVIDENCE AND REGULATORY CLOSURE,"Complete primary-source extraction, current status review and safety translation.",POST-COVERAGE CLOSURE QUEUE
P2,FINAL PRODUCT ASSET,CERT-PKS-000009,Melanotan II,ML10,EVIDENCE AND REGULATORY CLOSURE,"Complete primary-source extraction, current status review and safety translation.",POST-COVERAGE CLOSURE QUEUE
P2,FINAL PRODUCT ASSET,CERT-PKS-000010,Epitalon,ET10; ET40; ET50,EVIDENCE AND REGULATORY CLOSURE,"Complete primary-source extraction, current status review and safety translation.",POST-COVERAGE CLOSURE QUEUE
P2,FINAL PRODUCT ASSET,CERT-PKS-000011,Semaglutide,SM10; SM15; SM2; SM20; SM30; SM5,EVIDENCE AND REGULATORY CLOSURE,"Complete primary-source extraction, current status review and safety translation.",POST-COVERAGE CLOSURE QUEUE
P2,FINAL PRODUCT ASSET,CERT-PKS-000012,Tirzepatide,TR10; TR100; TR15; TR20; TR30; TR40; TR5; TR50; TR60,EVIDENCE AND REGULATORY CLOSURE,"Complete primary-source extraction, current status review and safety translation.",POST-COVERAGE CLOSURE QUEUE
P2,FINAL PRODUCT ASSET,CERT-PKS-000013,Cagrilintide,CGL10; CGL20; CGL5,AUTHORISED-PRODUCT EQUIVALENCE BOUNDARY,"Maintain exact product, formulation, indication and jurisdiction separation.",POST-COVERAGE CLOSURE QUEUE
P2,FINAL PRODUCT ASSET,CERT-PKS-000014,Mazdutide,MDT10; MDT5,AUTHORISED-PRODUCT EQUIVALENCE BOUNDARY,"Maintain exact product, formulation, indication and jurisdiction separation.",POST-COVERAGE CLOSURE QUEUE
P2,FINAL PRODUCT ASSET,CERT-PKS-000015,Survodutide,SUR10,AUTHORISED-PRODUCT EQUIVALENCE BOUNDARY,"Maintain exact product, formulation, indication and jurisdiction separation.",POST-COVERAGE CLOSURE QUEUE
P2,FINAL PRODUCT ASSET,CERT-PKS-000016,Liraglutide,LL10; LL30; LL5,EVIDENCE AND REGULATORY CLOSURE,"Complete primary-source extraction, current status review and safety translation.",POST-COVERAGE CLOSURE QUEUE
P2,FINAL PRODUCT ASSET,CERT-PKS-000017,AOD9604,10AD; 2AD; 5AD,EVIDENCE AND REGULATORY CLOSURE,"Complete primary-source extraction, current status review and safety translation.",POST-COVERAGE CLOSURE QUEUE
P2,FINAL PRODUCT ASSET,CERT-PKS-000018,Adipotide,AP2; AP5,AUTHORISED-PRODUCT EQUIVALENCE BOUNDARY,"Maintain exact product, formulation, indication and jurisdiction separation.",POST-COVERAGE CLOSURE QUEUE
P2,FINAL PRODUCT ASSET,CERT-PKS-000019,HGH Fragment 176-191,FR10; FR2; FR5,EVIDENCE AND REGULATORY CLOSURE,"Complete primary-source extraction, current status review and safety translation.",POST-COVERAGE CLOSURE QUEUE
P2,FINAL PRODUCT ASSET,CERT-PKS-000020,Somatropin,H06; H10; H12; H15; H24; H36,AUTHORISED-PRODUCT EQUIVALENCE BOUNDARY,"Maintain exact product, formulation, indication and jurisdiction separation.",POST-COVERAGE CLOSURE QUEUE
P2,FINAL PRODUCT ASSET,CERT-PKS-000021,Sermorelin,SMO10; SMO15; SMO2; SMO5,AUTHORISED-PRODUCT EQUIVALENCE BOUNDARY,"Maintain exact product, formulation, indication and jurisdiction separation.",POST-COVERAGE CLOSURE QUEUE
P2,FINAL PRODUCT ASSET,CERT-PKS-000022,Modified GRF (1-29),CND10; CND2; CND5,EVIDENCE AND REGULATORY CLOSURE,"Complete primary-source extraction, current status review and safety translation.",POST-COVERAGE CLOSURE QUEUE
P2,FINAL PRODUCT ASSET,CERT-PKS-000023,GHRP-2 / Pralmorelin,G210; G25,AUTHORISED-PRODUCT EQUIVALENCE BOUNDARY,"Maintain exact product, formulation, indication and jurisdiction separation.",POST-COVERAGE CLOSURE QUEUE
P2,FINAL PRODUCT ASSET,CERT-PKS-000024,GHRP-6,G610; G65,EVIDENCE AND REGULATORY CLOSURE,"Complete primary-source extraction, current status review and safety translation.",POST-COVERAGE CLOSURE QUEUE
P2,FINAL PRODUCT ASSET,CERT-PKS-000025,Hexarelin / Examorelin,HX2; HX5,EVIDENCE AND REGULATORY CLOSURE,"Complete primary-source extraction, current status review and safety translation.",POST-COVERAGE CLOSURE QUEUE
P2,FINAL PRODUCT ASSET,CERT-PKS-000026,Long R3 IGF-1,IG01; IG1,EVIDENCE AND REGULATORY CLOSURE,"Complete primary-source extraction, current status review and safety translation.",POST-COVERAGE CLOSURE QUEUE
P2,FINAL PRODUCT ASSET,CERT-PKS-000027,Mechano Growth Factor / IGF-1Ec E-Domain Peptide Family,FM2,EVIDENCE AND REGULATORY CLOSURE,"Complete primary-source extraction, current status review and safety translation.",POST-COVERAGE CLOSURE QUEUE
P2,FINAL PRODUCT ASSET,CERT-PKS-000029,ACE-031,AE1,AUTHORISED-PRODUCT EQUIVALENCE BOUNDARY,"Maintain exact product, formulation, indication and jurisdiction separation.",POST-COVERAGE CLOSURE QUEUE
P2,FINAL PRODUCT ASSET,CERT-PKS-000030,Gonadorelin,GND2,EVIDENCE AND REGULATORY CLOSURE,"Complete primary-source extraction, current status review and safety translation.",POST-COVERAGE CLOSURE QUEUE
P2,FINAL PRODUCT ASSET,CERT-PKS-000031,Oxytocin,OT10; OT2; OT5,AUTHORISED-PRODUCT EQUIVALENCE BOUNDARY,"Maintain exact product, formulation, indication and jurisdiction separation.",POST-COVERAGE CLOSURE QUEUE
P2,FINAL PRODUCT ASSET,CERT-PKS-000034,Kisspeptin-10,KS10; KS5,EVIDENCE AND REGULATORY CLOSURE,"Complete primary-source extraction, current status review and safety translation.",POST-COVERAGE CLOSURE QUEUE
P2,FINAL PRODUCT ASSET,CERT-PKS-000035,Teriparatide,TER10,AUTHORISED-PRODUCT EQUIVALENCE BOUNDARY,"Maintain exact product, formulation, indication and jurisdiction separation.",POST-COVERAGE CLOSURE QUEUE
P2,FINAL PRODUCT ASSET,CERT-PKS-000038,Semax,XA10; XA30; XA5,AUTHORISED-PRODUCT EQUIVALENCE BOUNDARY,"Maintain exact product, formulation, indication and jurisdiction separation.",POST-COVERAGE CLOSURE QUEUE
P2,FINAL PRODUCT ASSET,CERT-PKS-000039,Selank,SK10; SK30; SK5,AUTHORISED-PRODUCT EQUIVALENCE BOUNDARY,"Maintain exact product, formulation, indication and jurisdiction separation.",POST-COVERAGE CLOSURE QUEUE
P2,FINAL PRODUCT ASSET,CERT-PKS-000040,Delta Sleep-Inducing Peptide,DS10; DS15; DS2; DS5,EVIDENCE AND REGULATORY CLOSURE,"Complete primary-source extraction, current status review and safety translation.",POST-COVERAGE CLOSURE QUEUE
P2,FINAL PRODUCT ASSET,CERT-PKS-000041,Pinealon,PIN10; PIN20; PIN5,AUTHORISED-PRODUCT EQUIVALENCE BOUNDARY,"Maintain exact product, formulation, indication and jurisdiction separation.",POST-COVERAGE CLOSURE QUEUE
P2,FINAL PRODUCT ASSET,CERT-PKS-000049,N-Acetyl Semax Amidate,NXA30,EVIDENCE AND REGULATORY CLOSURE,"Complete primary-source extraction, current status review and safety translation.",POST-COVERAGE CLOSURE QUEUE
P2,FINAL PRODUCT ASSET,CERT-PKS-000050,N-Acetyl Selank Amidate,NSK30,EVIDENCE AND REGULATORY CLOSURE,"Complete primary-source extraction, current status review and safety translation.",POST-COVERAGE CLOSURE QUEUE
P2,FINAL PRODUCT ASSET,CERT-PKS-000051,Thymosin Alpha-1 / Thymalfasin,TA10; TA2; TA5,AUTHORISED-PRODUCT EQUIVALENCE BOUNDARY,"Maintain exact product, formulation, indication and jurisdiction separation.",POST-COVERAGE CLOSURE QUEUE
P2,FINAL PRODUCT ASSET,CERT-PKS-000053,LL-37,375,AUTHORISED-PRODUCT EQUIVALENCE BOUNDARY,"Maintain exact product, formulation, indication and jurisdiction separation.",POST-COVERAGE CLOSURE QUEUE
P2,FINAL PRODUCT ASSET,CERT-PKS-000054,Cibinetide / ARA-290,RA10,AUTHORISED-PRODUCT EQUIVALENCE BOUNDARY,"Maintain exact product, formulation, indication and jurisdiction separation.",POST-COVERAGE CLOSURE QUEUE
P2,FINAL PRODUCT ASSET,CERT-PKS-000055,Vasoactive Intestinal Peptide / Aviptadil,VP10; VP5,AUTHORISED-PRODUCT EQUIVALENCE BOUNDARY,"Maintain exact product, formulation, indication and jurisdiction separation.",POST-COVERAGE CLOSURE QUEUE
P2,FINAL PRODUCT ASSET,CERT-PKS-000056,KPV,KP10; KP5,EVIDENCE AND REGULATORY CLOSURE,"Complete primary-source extraction, current status review and safety translation.",POST-COVERAGE CLOSURE QUEUE
P2,FINAL PRODUCT ASSET,CERT-PKS-000057,GHK,GH50,AUTHORISED-PRODUCT EQUIVALENCE BOUNDARY,"Maintain exact product, formulation, indication and jurisdiction separation.",POST-COVERAGE CLOSURE QUEUE
P2,FINAL PRODUCT ASSET,CERT-PKS-000058,AHK-Cu,AU100,AUTHORISED-PRODUCT EQUIVALENCE BOUNDARY,"Maintain exact product, formulation, indication and jurisdiction separation.",POST-COVERAGE CLOSURE QUEUE
P2,FINAL PRODUCT ASSET,CERT-PKS-000059,Acetyl Octapeptide-3 / SNAP-8,NP810,EVIDENCE AND REGULATORY CLOSURE,"Complete primary-source extraction, current status review and safety translation.",POST-COVERAGE CLOSURE QUEUE
P2,FINAL PRODUCT ASSET,CERT-PKS-000061,PNC-27,PN10; PN5,AUTHORISED-PRODUCT EQUIVALENCE BOUNDARY,"Maintain exact product, formulation, indication and jurisdiction separation.",POST-COVERAGE CLOSURE QUEUE
P2,FINAL PRODUCT ASSET,CERT-PKS-000062,PTD-DBM,PTD5,AUTHORISED-PRODUCT EQUIVALENCE BOUNDARY,"Maintain exact product, formulation, indication and jurisdiction separation.",POST-COVERAGE CLOSURE QUEUE
P2,FINAL PRODUCT ASSET,CERT-PKS-000065,N-Acetyl Epitalon Amidate,NET5,EVIDENCE AND REGULATORY CLOSURE,"Complete primary-source extraction, current status review and safety translation.",POST-COVERAGE CLOSURE QUEUE
P2,FINAL PRODUCT ASSET,CERT-PKS-000079,Afamelanotide / Melanotan I,MT1,AUTHORISED-PRODUCT EQUIVALENCE BOUNDARY,"Maintain exact product, formulation, indication and jurisdiction separation.",POST-COVERAGE CLOSURE QUEUE
P2,FINAL PRODUCT ASSET,CERT-PKS-000080,Bremelanotide / PT-141,P41,AUTHORISED-PRODUCT EQUIVALENCE BOUNDARY,"Maintain exact product, formulation, indication and jurisdiction separation.",POST-COVERAGE CLOSURE QUEUE
