UAI,Asset Name,Priority,Product Passport,Passport Coverage Status,Recommended Next Build
CERT-MPS-000003,Glutathione Supplier Vial Family,P1,CERT-PPS-000003,PRE-EXISTING PRODUCT PASSPORT — CLOSURE WAVE PENDING,0033A
CERT-MPS-000004,5-Amino-1MQ Supplier Product Family,P1,CERT-PPS-000004,PRE-EXISTING PRODUCT PASSPORT — CLOSURE WAVE PENDING,0033A
CERT-MPS-000005,NAD Supplier Product Family,P1,CERT-PPS-000005,PRE-EXISTING PRODUCT PASSPORT — CLOSURE WAVE PENDING,0033A
CERT-PKS-000028,PEG-MGF Supplier Product Family,P1,,DEDICATED PRODUCT PASSPORT NOT YET ALLOCATED,0033B
CERT-PKS-000032,Human Chorionic Gonadotropin Product Family,P1,,DEDICATED PRODUCT PASSPORT NOT YET ALLOCATED,0033B
CERT-PKS-000033,Menotropins / Human Menopausal Gonadotropin Product Family,P1,,DEDICATED PRODUCT PASSPORT NOT YET ALLOCATED,0033B
CERT-PKS-000042,Adamax Supplier Product Family,P1,CERT-PPS-000019,DEDICATED CLOSURE PASSPORT ACTIVE,NO NEW WAVE SCHEDULED — DIRECT EVIDENCE REQUIRED
CERT-PKS-000043,PE 22-28 Supplier Product Family,P1,CERT-PPS-000020,DEDICATED CLOSURE PASSPORT ACTIVE,NO NEW WAVE SCHEDULED — DIRECT EVIDENCE REQUIRED
CERT-PKS-000044,Cerebrolysin Product Family,P1,,DEDICATED PRODUCT PASSPORT NOT YET ALLOCATED,0033B
CERT-PKS-000047,P021 / Peptide 021 Adamantane Conjugate Product Family,P1,CERT-PPS-000021,DEDICATED CLOSURE PASSPORT ACTIVE,NO NEW WAVE SCHEDULED — DIRECT EVIDENCE REQUIRED
CERT-PKS-000048,P21 Without Adamantane Supplier Product Family,P1,CERT-PPS-000022,DEDICATED CLOSURE PASSPORT ACTIVE,NO NEW WAVE SCHEDULED — DIRECT EVIDENCE REQUIRED
CERT-PKS-000052,Thymalin Product Family,P1,,DEDICATED PRODUCT PASSPORT NOT YET ALLOCATED,0033B
CERT-PKS-000063,Humanin Supplier Product Family,P1,,DEDICATED PRODUCT PASSPORT NOT YET ALLOCATED,0033B
CERT-PKS-000064,FOXO4-DRI Supplier Product Family,P1,,DEDICATED PRODUCT PASSPORT NOT YET ALLOCATED,0033C
CERT-PKS-000066,Vilon Supplier Product Family,P1,,DEDICATED PRODUCT PASSPORT NOT YET ALLOCATED,0033C
CERT-PKS-000068,Bronchogen,P1,,DEDICATED PRODUCT PASSPORT NOT YET ALLOCATED,0033C
CERT-PKS-000069,Cardiogen,P1,,DEDICATED PRODUCT PASSPORT NOT YET ALLOCATED,0033C
CERT-PKS-000070,Cortagen,P1,,DEDICATED PRODUCT PASSPORT NOT YET ALLOCATED,0033C
CERT-PKS-000071,Livagen,P1,,DEDICATED PRODUCT PASSPORT NOT YET ALLOCATED,0033C
CERT-PKS-000072,Pancragen,P1,,DEDICATED PRODUCT PASSPORT NOT YET ALLOCATED,0033D
CERT-PKS-000073,Prostamax,P1,,DEDICATED PRODUCT PASSPORT NOT YET ALLOCATED,0033D
CERT-PKS-000074,Cartalax,P1,,DEDICATED PRODUCT PASSPORT NOT YET ALLOCATED,0033D
CERT-PKS-000075,Chonluten,P1,,DEDICATED PRODUCT PASSPORT NOT YET ALLOCATED,0033D
CERT-PKS-000076,Crystagen,P1,,DEDICATED PRODUCT PASSPORT NOT YET ALLOCATED,0033D
CERT-PKS-000077,Ovagen,P1,,DEDICATED PRODUCT PASSPORT NOT YET ALLOCATED,0033D
CERT-PKS-000078,Vesugen,P1,,DEDICATED PRODUCT PASSPORT NOT YET ALLOCATED,0033D
CERT-PKS-000081,BPC-157 + TB Supplier Blend Family,P1,CERT-PPS-000024,DEDICATED CLOSURE PASSPORT ACTIVE,NO NEW WAVE SCHEDULED — DIRECT EVIDENCE REQUIRED
CERT-PKS-000082,BPC-157 + GHK-Cu + TB-500 Supplier Blend,P1,CERT-PPS-000025,DEDICATED CLOSURE PASSPORT ACTIVE,NO NEW WAVE SCHEDULED — DIRECT EVIDENCE REQUIRED
CERT-PKS-000083,BPC-157 + GHK-Cu + TB-500 + KPV Supplier Blend,P1,CERT-PPS-000026,DEDICATED CLOSURE PASSPORT ACTIVE,NO NEW WAVE SCHEDULED — DIRECT EVIDENCE REQUIRED
CERT-PKS-000084,Cagrilintide + Semaglutide Supplier Blend,P1,CERT-PPS-000023,DEDICATED CLOSURE PASSPORT ACTIVE,NO NEW WAVE SCHEDULED — DIRECT EVIDENCE REQUIRED
CERT-PKS-000085,Retatrutide + Cagrilintide Supplier Blend,P1,CERT-PPS-000027,DEDICATED CLOSURE PASSPORT ACTIVE,NO NEW WAVE SCHEDULED — DIRECT EVIDENCE REQUIRED
CERT-PKS-000086,Tesamorelin + Ipamorelin Supplier Blend,P1,CERT-PPS-000028,DEDICATED CLOSURE PASSPORT ACTIVE,NO NEW WAVE SCHEDULED — DIRECT EVIDENCE REQUIRED
CERT-PKS-000087,Semax + Selank Supplier Blend,P1,CERT-PPS-000029,DEDICATED CLOSURE PASSPORT ACTIVE,NO NEW WAVE SCHEDULED — DIRECT EVIDENCE REQUIRED
CERT-PKS-000088,Modified GRF (1-29) + Ipamorelin Supplier Blend,P1,CERT-PPS-000030,DEDICATED CLOSURE PASSPORT ACTIVE,NO NEW WAVE SCHEDULED — DIRECT EVIDENCE REQUIRED
CERT-PKS-000089,Elamipretide / SS-31,P1,,DEDICATED PRODUCT PASSPORT NOT YET ALLOCATED,0033A
CERT-PKS-000090,Generic GLP-1 Supplier Product Family,P1,,DEDICATED PRODUCT PASSPORT NOT YET ALLOCATED,0033A
