Parent UAI,Asset Name,Source Title,Source Type,Date / Current State,URL,Use
CERT-PKS-000014,Mazdutide,Mazdutide NMPA chronic-weight-management approval,Official manufacturer regulatory announcement,Published 2025-06-27,https://en.innoventbio.com/InvestorsAndMedia/PressReleaseDetail?key=546,"Product identity, regulatory status, pivotal human evidence, safety or living-evidence closure with supplier non-equivalence"
CERT-PKS-000014,Mazdutide,Mazdutide NMPA type 2 diabetes approval,Official manufacturer regulatory announcement,Published 2025-09-19,https://en.innoventbio.com/InvestorsAndMedia/PressReleaseDetail?key=556,"Product identity, regulatory status, pivotal human evidence, safety or living-evidence closure with supplier non-equivalence"
CERT-PKS-000014,Mazdutide,GLORY-1 phase 3 trial,Primary randomised phase 3 weight-management evidence,Published 2025,https://pubmed.ncbi.nlm.nih.gov/40421736/,"Product identity, regulatory status, pivotal human evidence, safety or living-evidence closure with supplier non-equivalence"
CERT-PKS-000014,Mazdutide,DREAMS-1 phase 3 trial,Primary randomised phase 3 diabetes evidence,Published online 2025; issue 2026,https://pubmed.ncbi.nlm.nih.gov/41407859/,"Product identity, regulatory status, pivotal human evidence, safety or living-evidence closure with supplier non-equivalence"
CERT-PKS-000014,Mazdutide,GLORY-2 9 mg phase 3 trial,Primary randomised phase 3 weight-management evidence,Published 2026,https://pubmed.ncbi.nlm.nih.gov/42251595/,"Product identity, regulatory status, pivotal human evidence, safety or living-evidence closure with supplier non-equivalence"
CERT-PKS-000015,Survodutide,SYNCHRONIZE-1 phase 3 obesity publication,Primary randomised phase 3 human evidence,Published 2026-06,https://pubmed.ncbi.nlm.nih.gov/42253238/,"Product identity, regulatory status, pivotal human evidence, safety or living-evidence closure with supplier non-equivalence"
CERT-PKS-000015,Survodutide,SYNCHRONIZE-1 trial registry,Current authoritative trial registry,Completed 2026-02-20,https://clinicaltrials.gov/study/NCT06066515,"Product identity, regulatory status, pivotal human evidence, safety or living-evidence closure with supplier non-equivalence"
CERT-PKS-000015,Survodutide,Survodutide phase 2 MASH and fibrosis trial,Primary randomised biopsy-based phase 2 evidence,Published 2024,https://pubmed.ncbi.nlm.nih.gov/38847460/,"Product identity, regulatory status, pivotal human evidence, safety or living-evidence closure with supplier non-equivalence"
CERT-PKS-000015,Survodutide,SYNCHRONIZE cardiovascular-outcome trial,Current authoritative phase 3 registry,Primary completion 2026-05-08,https://clinicaltrials.gov/study/NCT06077864,"Product identity, regulatory status, pivotal human evidence, safety or living-evidence closure with supplier non-equivalence"
CERT-PKS-000015,Survodutide,SYNCHRONIZE-2 diabetes trial,Current authoritative phase 3 registry,Last update 2026-04-24,https://clinicaltrials.gov/study/NCT06066528,"Product identity, regulatory status, pivotal human evidence, safety or living-evidence closure with supplier non-equivalence"
CERT-PKS-000054,Cibinetide / ARA-290,FDA GSRS cibinetide substance record,Authoritative substance identity record,Current record reviewed 2026-07-17,https://precision.fda.gov/uniisearch/srs/unii/9w5677jkda,"Product identity, regulatory status, pivotal human evidence, safety or living-evidence closure with supplier non-equivalence"
CERT-PKS-000054,Cibinetide / ARA-290,EMA cibinetide orphan designation for sarcoidosis,Authoritative orphan-designation record,Designation 2013; not marketing authorisation,https://www.ema.europa.eu/en/medicines/human/orphan-designations/eu-3-13-1191,"Product identity, regulatory status, pivotal human evidence, safety or living-evidence closure with supplier non-equivalence"
CERT-PKS-000054,Cibinetide / ARA-290,Cibinetide phase 2b sarcoidosis small-fibre-loss trial,Primary randomised phase 2b human evidence,Published 2017,https://pubmed.ncbi.nlm.nih.gov/28475703/,"Product identity, regulatory status, pivotal human evidence, safety or living-evidence closure with supplier non-equivalence"
CERT-PKS-000054,Cibinetide / ARA-290,ARA-290 type 2 diabetes and neuropathy phase 2 study,Primary randomised phase 2 human evidence,Published 2014,https://pubmed.ncbi.nlm.nih.gov/25387363/,"Product identity, regulatory status, pivotal human evidence, safety or living-evidence closure with supplier non-equivalence"
CERT-PKS-000054,Cibinetide / ARA-290,Cibinetide diabetic macular oedema phase 2 study,Primary phase 2 human evidence,Published 2020,https://pubmed.ncbi.nlm.nih.gov/32674280/,"Product identity, regulatory status, pivotal human evidence, safety or living-evidence closure with supplier non-equivalence"
CERT-PKS-000089,Elamipretide / SS-31,FORZINITY United States prescribing information,Authoritative approved-product label,Approved 2025-09-19,https://www.accessdata.fda.gov/drugsatfda_docs/label/2025/215244s000lbl.pdf,"Product identity, regulatory status, pivotal human evidence, safety or living-evidence closure with supplier non-equivalence"
CERT-PKS-000089,Elamipretide / SS-31,FDA orphan designation and approval record,Authoritative approval record,Marketing approval 2025-09-19,https://www.accessdata.fda.gov/scripts/opdlisting/oopd/detailedIndex.cfm?cfgridkey=607817,"Product identity, regulatory status, pivotal human evidence, safety or living-evidence closure with supplier non-equivalence"
CERT-PKS-000089,Elamipretide / SS-31,4TAZPower phase 3b/4 confirmatory trial,Current authoritative trial registry,Last update 2026-05-06; not yet recruiting,https://clinicaltrials.gov/study/NCT07531251,"Product identity, regulatory status, pivotal human evidence, safety or living-evidence closure with supplier non-equivalence"
CERT-PKS-000089,Elamipretide / SS-31,EMA Barth syndrome orphan designation,Authoritative European orphan-designation record,Orphan designation; not marketing authorisation,https://www.ema.europa.eu/en/medicines/human/orphan-designations/eu-3-21-2430,"Product identity, regulatory status, pivotal human evidence, safety or living-evidence closure with supplier non-equivalence"
CERT-PKS-000089,Elamipretide / SS-31,MHRA elamipretide paediatric investigation plan,Authoritative United Kingdom development record,Published 2026-03-04; not marketing authorisation,https://cms.mhra.gov.uk/pip/mhra-101705-pip01-24,"Product identity, regulatory status, pivotal human evidence, safety or living-evidence closure with supplier non-equivalence"
