Preliminary Canonical Name,SKU Count,Minimum USD,Maximum USD,Existing UAI,Review Segment
Kisspeptin-10,2,54,81,,"C3 - GH, IGF and endocrine"
Thymalin,1,76,76,,"C5 - Repair, immune and cosmetic peptides"
Thymosin alpha-1,3,54,197,,"C5 - Repair, immune and cosmetic peptides"
MOTS-c,2,71,251,CERT-PKS-000006,Existing assets
FOXO4-DRI identity candidate,1,431,431,,C6 - Mitochondrial and longevity research
LL-37,1,98,98,,"C5 - Repair, immune and cosmetic peptides"
Retatrutide,8,50,330,CERT-PKS-000001,Existing assets
Melatonin,1,56,56,,C9 - Non-peptide and ancillary catalogue items
HGH fragment 176-191,3,53,183,,C2 - Metabolic and incretin-related
Dermorphin,1,36,36,,C4 - Neurocognitive and sleep peptides
Native GLP-1 identity candidate,1,103,103,,C2 - Metabolic and incretin-related
Glutathione,1,108,108,,C9 - Non-peptide and ancillary catalogue items
Insulin,1,239,239,,"C3 - GH, IGF and endocrine"
Bacteriostatic water,1,12,12,,C9 - Non-peptide and ancillary catalogue items
Acetic acid water,1,12,12,,C9 - Non-peptide and ancillary catalogue items
Bacteriostatic water,3,8,12,,C9 - Non-peptide and ancillary catalogue items
Botulinum toxin,1,165,165,,C9 - Non-peptide and ancillary catalogue items
5-amino-1MQ,3,32,65,,C9 - Non-peptide and ancillary catalogue items
Human menopausal gonadotropin,1,68,68,,"C3 - GH, IGF and endocrine"
Erythropoietin,1,122,122,,"C3 - GH, IGF and endocrine"
Cerebrolysin,1,49,49,,C4 - Neurocognitive and sleep peptides
Cerebrolysin-type unbranded product,1,43,43,,C4 - Neurocognitive and sleep peptides
Hyaluronic acid,1,198,198,,C9 - Non-peptide and ancillary catalogue items
Cagrilintide,3,92,295,,C2 - Metabolic and incretin-related
Cibinetide,1,76,76,,"C5 - Repair, immune and cosmetic peptides"
Acetyl octapeptide-3,1,42,42,,"C5 - Repair, immune and cosmetic peptides"
Mazdutide,2,93,185,,C2 - Metabolic and incretin-related
NAD identity candidate,4,37,126,,C9 - Non-peptide and ancillary catalogue items
Alprostadil,1,132,132,,C9 - Non-peptide and ancillary catalogue items
BPC-157 + GHK-Cu + TB-500 blend,1,219,219,,C8 - Blends and supplier combinations
BPC-157 + GHK-Cu + TB-500 + KPV blend,1,252,252,,C8 - Blends and supplier combinations
Survodutide,1,271,271,,C2 - Metabolic and incretin-related
Cagrilintide + Semaglutide blend,1,135,135,,C8 - Blends and supplier combinations
Retatrutide + Cagrilintide blend,1,165,165,,C8 - Blends and supplier combinations
Vasoactive intestinal peptide,2,95,160,,"C5 - Repair, immune and cosmetic peptides"
KPV,2,39,59,,"C5 - Repair, immune and cosmetic peptides"
Adamax identity candidate,1,172,172,,C4 - Neurocognitive and sleep peptides
PE 22-28,1,71,71,,C4 - Neurocognitive and sleep peptides
Testagen,1,126,126,,C6 - Mitochondrial and longevity research
N-acetyl Epitalon amidate,1,51,51,,C6 - Mitochondrial and longevity research
Pinealon,3,42,103,,C4 - Neurocognitive and sleep peptides
Lemon Bottle,1,103,103,,C9 - Non-peptide and ancillary catalogue items
Vilon,1,119,119,,C6 - Mitochondrial and longevity research
PNC-27,2,99,169,,"C5 - Repair, immune and cosmetic peptides"
P21 without adamantane identity candidate,1,80,80,,C4 - Neurocognitive and sleep peptides
P21 adamantane conjugate identity candidate,1,310,310,,C4 - Neurocognitive and sleep peptides
SLU-PP-322 identity candidate,1,121,121,,C9 - Non-peptide and ancillary catalogue items
Humanin,1,210,210,,C6 - Mitochondrial and longevity research
Teriparatide,1,210,210,,"C3 - GH, IGF and endocrine"
Bronchogen,1,118,118,,C6 - Mitochondrial and longevity research
Cardiogen,1,118,118,,C6 - Mitochondrial and longevity research
Cortagen,1,118,118,,C6 - Mitochondrial and longevity research
Livagen,1,118,118,,C6 - Mitochondrial and longevity research
Pancragen,1,118,118,,C6 - Mitochondrial and longevity research
Prostamax,1,118,118,,C6 - Mitochondrial and longevity research
Cartalax,1,118,118,,C6 - Mitochondrial and longevity research
Chonluten,1,118,118,,C6 - Mitochondrial and longevity research
Crystagen,1,118,118,,C6 - Mitochondrial and longevity research
Ovagen,1,118,118,,C6 - Mitochondrial and longevity research
Vesugen,1,118,118,,C6 - Mitochondrial and longevity research
Tesamorelin + Ipamorelin blend,1,280,280,,C8 - Blends and supplier combinations
Semax + Selank blend,1,112,112,,C8 - Blends and supplier combinations
N-acetyl Semax amidate,1,155,155,,C4 - Neurocognitive and sleep peptides
N-acetyl Selank amidate,1,155,155,,C4 - Neurocognitive and sleep peptides
Matrixyl identity candidate,1,35,35,,"C5 - Repair, immune and cosmetic peptides"
PTD-DBM,1,265,265,,"C5 - Repair, immune and cosmetic peptides"
Liraglutide,3,85,251,,C2 - Metabolic and incretin-related
