Catalogue Listed Name,Preliminary Canonical Name,Catalogue Codes,Identity Status,Issue / Next Action
BPC 157 10mg + GHK-CU 50mg + TB500 10mg + KPV 10mg,BPC-157 + GHK-Cu + TB-500 + KPV blend,KL80,BLEND / COMPONENT IDENTITY VERIFICATION REQUIRED,"Confirm exact sequence, form, composition, route and product identity before UAI allocation."
Cagrilintide 5mg + Semaglutide 5mg,Cagrilintide + Semaglutide blend,CS10,BLEND / RATIO / FORMULATION VERIFICATION REQUIRED,"Confirm exact sequence, form, composition, route and product identity before UAI allocation."
Retatrutide 5mg + Cagrilintide 5mg,Retatrutide + Cagrilintide blend,RC10,BLEND / UNVALIDATED COMBINATION,"Confirm exact sequence, form, composition, route and product identity before UAI allocation."
Adamax,Adamax identity candidate,AD5,IDENTITY VERIFICATION REQUIRED,"Confirm exact sequence, form, composition, route and product identity before UAI allocation."
PE 22-28,PE 22-28,PE10,SEQUENCE / NAMING VERIFICATION REQUIRED,"Confirm exact sequence, form, composition, route and product identity before UAI allocation."
Testagen,Testagen,TG20,SEQUENCE / PRODUCT IDENTITY VERIFICATION REQUIRED,"Confirm exact sequence, form, composition, route and product identity before UAI allocation."
N-Acetyl Epitalon Amidate,N-acetyl Epitalon amidate,NET5,SEQUENCE / TERMINAL MODIFICATION VERIFICATION REQUIRED,"Confirm exact sequence, form, composition, route and product identity before UAI allocation."
Pinealon,Pinealon,PIN5; PIN10; PIN20,SEQUENCE / PRODUCT IDENTITY VERIFICATION REQUIRED,"Confirm exact sequence, form, composition, route and product identity before UAI allocation."
Lemon Bottle,Lemon Bottle,柠檬瓶,MULTI-INGREDIENT FORMULATION / ROUTE VERIFICATION REQUIRED,"Confirm exact sequence, form, composition, route and product identity before UAI allocation."
VILON,Vilon,VI20,SEQUENCE / PRODUCT IDENTITY VERIFICATION REQUIRED,"Confirm exact sequence, form, composition, route and product identity before UAI allocation."
P21 without adamantane,P21 without adamantane identity candidate,P210,SEQUENCE / CHEMICAL IDENTITY VERIFICATION REQUIRED,"Confirm exact sequence, form, composition, route and product identity before UAI allocation."
P21 adamantane,P21 adamantane conjugate identity candidate,PP10,SEQUENCE / ADAMANTANE CONJUGATION VERIFICATION REQUIRED,"Confirm exact sequence, form, composition, route and product identity before UAI allocation."
slu-pp-322,SLU-PP-322 identity candidate,SLU5,POSSIBLE TYPO / IDENTITY VERIFICATION REQUIRED,Do not silently correct to another SLU-PP compound without authoritative identity evidence.
Bronchogen,Bronchogen,BR20,SEQUENCE / PRODUCT IDENTITY VERIFICATION REQUIRED,"Confirm exact sequence, form, composition, route and product identity before UAI allocation."
Cardiogen,Cardiogen,CA20,SEQUENCE / PRODUCT IDENTITY VERIFICATION REQUIRED,"Confirm exact sequence, form, composition, route and product identity before UAI allocation."
Cortagen,Cortagen,COR20,SEQUENCE / PRODUCT IDENTITY VERIFICATION REQUIRED,"Confirm exact sequence, form, composition, route and product identity before UAI allocation."
Livagen,Livagen,LI20,SEQUENCE / PRODUCT IDENTITY VERIFICATION REQUIRED,"Confirm exact sequence, form, composition, route and product identity before UAI allocation."
Pancragen,Pancragen,PA20,SEQUENCE / PRODUCT IDENTITY VERIFICATION REQUIRED,"Confirm exact sequence, form, composition, route and product identity before UAI allocation."
Prostamax,Prostamax,MAX20,SEQUENCE / PRODUCT IDENTITY VERIFICATION REQUIRED,"Confirm exact sequence, form, composition, route and product identity before UAI allocation."
Cartalax,Cartalax,LAX20,SEQUENCE / PRODUCT IDENTITY VERIFICATION REQUIRED,"Confirm exact sequence, form, composition, route and product identity before UAI allocation."
Chonluten,Chonluten,CH20,SEQUENCE / PRODUCT IDENTITY VERIFICATION REQUIRED,"Confirm exact sequence, form, composition, route and product identity before UAI allocation."
Crystagen,Crystagen,CRY20,SEQUENCE / PRODUCT IDENTITY VERIFICATION REQUIRED,"Confirm exact sequence, form, composition, route and product identity before UAI allocation."
Ovagen,Ovagen,OV20,SEQUENCE / PRODUCT IDENTITY VERIFICATION REQUIRED,"Confirm exact sequence, form, composition, route and product identity before UAI allocation."
Vesugen,Vesugen,VE20,SEQUENCE / PRODUCT IDENTITY VERIFICATION REQUIRED,"Confirm exact sequence, form, composition, route and product identity before UAI allocation."
Tesamorelin 12mg + Ipamorelin 6mg,Tesamorelin + Ipamorelin blend,TI18,BLEND / RATIO / FORMULATION VERIFICATION REQUIRED,"Confirm exact sequence, form, composition, route and product identity before UAI allocation."
Semax 10mg + Selank 10mg,Semax + Selank blend,XS20,BLEND / FORMULATION VERIFICATION REQUIRED,"Confirm exact sequence, form, composition, route and product identity before UAI allocation."
NA Semax amidate,N-acetyl Semax amidate,NXA30,SEQUENCE / TERMINAL MODIFICATION VERIFICATION REQUIRED,"Confirm exact sequence, form, composition, route and product identity before UAI allocation."
NA Selank amidate,N-acetyl Selank amidate,NSK30,SEQUENCE / TERMINAL MODIFICATION VERIFICATION REQUIRED,"Confirm exact sequence, form, composition, route and product identity before UAI allocation."
Matrixyl,Matrixyl identity candidate,MA10,EXACT MATRIXYL PEPTIDE / BRAND IDENTITY VERIFICATION REQUIRED,"Confirm exact sequence, form, composition, route and product identity before UAI allocation."
PTD-DBM,PTD-DBM,PTD5,SEQUENCE / PRODUCT IDENTITY VERIFICATION REQUIRED,"Confirm exact sequence, form, composition, route and product identity before UAI allocation."
