Source Scope,Catalogue Code,Listed Name,Preliminary Canonical Name,Specification,Price USD / Kit,Preliminary Classification,Review Segment,Identity Status,Existing UAI,Review Priority,Notes
Peptides.pdf pages 1-5,SK30,Selank,Selank,30 mg x 10 vials,145,Research peptide,C4 - Neurocognitive and sleep peptides,PRELIMINARY IDENTITY ACCEPTED,,MEDIUM,
Peptides.pdf pages 1-5,OT2,Oxytocin Acetate,Oxytocin acetate,2 mg x 10 vials,27,Peptide hormone,"C3 - GH, IGF and endocrine",PRELIMINARY IDENTITY ACCEPTED,,HIGH,
Peptides.pdf pages 1-5,OT5,Oxytocin Acetate,Oxytocin acetate,5 mg x 10 vials,47,Peptide hormone,"C3 - GH, IGF and endocrine",PRELIMINARY IDENTITY ACCEPTED,,HIGH,
Peptides.pdf pages 1-5,OT10,Oxytocin Acetate,Oxytocin acetate,10 mg x 10 vials,56,Peptide hormone,"C3 - GH, IGF and endocrine",PRELIMINARY IDENTITY ACCEPTED,,HIGH,
Peptides.pdf pages 1-5,ET10,Epithalon,Epitalon,10 mg x 10 vials,51,Synthetic tetrapeptide,Existing assets,PRELIMINARY IDENTITY ACCEPTED,CERT-PKS-000010,MEDIUM,
Peptides.pdf pages 1-5,ET40,Epithalon,Epitalon,40 mg x 10 vials,154,Synthetic tetrapeptide,Existing assets,PRELIMINARY IDENTITY ACCEPTED,CERT-PKS-000010,MEDIUM,
Peptides.pdf pages 1-5,ET50,Epithalon,Epitalon,50 mg x 10 vials,185,Synthetic tetrapeptide,Existing assets,PRELIMINARY IDENTITY ACCEPTED,CERT-PKS-000010,MEDIUM,
Peptides.pdf pages 1-5,BC2,BPC 157,BPC-157,2 mg x 10 vials,26,Research peptide,Existing assets,PRELIMINARY IDENTITY ACCEPTED,CERT-PKS-000002,MEDIUM,
Peptides.pdf pages 1-5,BC5,BPC 157,BPC-157,5 mg x 10 vials,44,Research peptide,Existing assets,PRELIMINARY IDENTITY ACCEPTED,CERT-PKS-000002,MEDIUM,
Peptides.pdf pages 1-5,BC10,BPC 157,BPC-157,10 mg x 10 vials,65,Research peptide,Existing assets,PRELIMINARY IDENTITY ACCEPTED,CERT-PKS-000002,MEDIUM,
Peptides.pdf pages 1-5,BC20,BPC 157,BPC-157,20 mg x 10 vials,115,Research peptide,Existing assets,PRELIMINARY IDENTITY ACCEPTED,CERT-PKS-000002,MEDIUM,
Peptides.pdf pages 1-5,BB4,BPC + TB,BPC-157 + TB-500 blend,BPC 2 mg + TB 2 mg; 4 mg x 10 vials,66,Peptide blend,C8 - Blends and supplier combinations,BLEND - COMPONENT IDENTITY VERIFICATION REQUIRED,,HIGH,
Peptides.pdf pages 1-5,BB10,BPC + TB,BPC-157 + TB-500 blend,BPC 5 mg + TB 5 mg; 10 mg x 10 vials,116,Peptide blend,C8 - Blends and supplier combinations,BLEND - COMPONENT IDENTITY VERIFICATION REQUIRED,,HIGH,
Peptides.pdf pages 1-5,BB20,BPC + TB,BPC-157 + TB-500 blend,BPC 10 mg + TB 10 mg; 20 mg x 10 vials,230,Peptide blend,C8 - Blends and supplier combinations,BLEND - COMPONENT IDENTITY VERIFICATION REQUIRED,,HIGH,
Peptides.pdf pages 1-5,AE1,ACE-031,ACE-031,1 mg x 10 vials,81,Recombinant fusion protein / biologic,"C3 - GH, IGF and endocrine",PRELIMINARY IDENTITY ACCEPTED,,HIGH,
Peptides.pdf pages 1-5,AR50,AICAR,AICAR,50 mg x 10 vials,63,Non-peptide small molecule / nucleotide analogue,C9 - Non-peptide and ancillary catalogue items,PRELIMINARY IDENTITY ACCEPTED,,MEDIUM,
Peptides.pdf pages 1-5,AR100,AICAR,AICAR,100 mg x 10 vials,99,Non-peptide small molecule / nucleotide analogue,C9 - Non-peptide and ancillary catalogue items,PRELIMINARY IDENTITY ACCEPTED,,MEDIUM,
Peptides.pdf pages 1-5,AP2,Adipotide,Adipotide,2 mg x 10 vials,95,Experimental peptidomimetic,C2 - Metabolic and incretin-related,PRELIMINARY IDENTITY ACCEPTED,,HIGH,
Peptides.pdf pages 1-5,AP5,Adipotide,Adipotide,5 mg x 10 vials,204,Experimental peptidomimetic,C2 - Metabolic and incretin-related,PRELIMINARY IDENTITY ACCEPTED,,HIGH,
Peptides.pdf pages 1-5,XA5,Semax,Semax,5 mg x 10 vials,41,Research peptide,C4 - Neurocognitive and sleep peptides,PRELIMINARY IDENTITY ACCEPTED,,MEDIUM,
Peptides.pdf pages 1-5,XA10,Semax,Semax,10 mg x 10 vials,62,Research peptide,C4 - Neurocognitive and sleep peptides,PRELIMINARY IDENTITY ACCEPTED,,MEDIUM,
Peptides.pdf pages 1-5,XA30,Semax,Semax,30 mg x 10 vials,135,Research peptide,C4 - Neurocognitive and sleep peptides,PRELIMINARY IDENTITY ACCEPTED,,MEDIUM,
Peptides.pdf pages 1-5,SM2,Semaglutide,Semaglutide,2 mg x 10 vials,27,GLP-1 receptor agonist peptide drug,C2 - Metabolic and incretin-related,PRELIMINARY IDENTITY ACCEPTED,,CRITICAL,
Peptides.pdf pages 1-5,SM5,Semaglutide,Semaglutide,5 mg x 10 vials,36,GLP-1 receptor agonist peptide drug,C2 - Metabolic and incretin-related,PRELIMINARY IDENTITY ACCEPTED,,CRITICAL,
Peptides.pdf pages 1-5,SM10,Semaglutide,Semaglutide,10 mg x 10 vials,50,GLP-1 receptor agonist peptide drug,C2 - Metabolic and incretin-related,PRELIMINARY IDENTITY ACCEPTED,,CRITICAL,
Peptides.pdf pages 1-5,SM15,Semaglutide,Semaglutide,15 mg x 10 vials,64,GLP-1 receptor agonist peptide drug,C2 - Metabolic and incretin-related,PRELIMINARY IDENTITY ACCEPTED,,CRITICAL,
Peptides.pdf pages 1-5,SM20,Semaglutide,Semaglutide,20 mg x 10 vials,78,GLP-1 receptor agonist peptide drug,C2 - Metabolic and incretin-related,PRELIMINARY IDENTITY ACCEPTED,,CRITICAL,
Peptides.pdf pages 1-5,SM30,Semaglutide,Semaglutide,30 mg x 10 vials,108,GLP-1 receptor agonist peptide drug,C2 - Metabolic and incretin-related,PRELIMINARY IDENTITY ACCEPTED,,CRITICAL,
Peptides.pdf pages 1-5,2S10,SS-31,Elamipretide,10 mg x 10 vials,85,Mitochondria-targeted tetrapeptide,C6 - Mitochondrial and longevity research,PRELIMINARY IDENTITY ACCEPTED,,HIGH,
Peptides.pdf pages 1-5,2S50,SS-31,Elamipretide,50 mg x 10 vials,360,Mitochondria-targeted tetrapeptide,C6 - Mitochondrial and longevity research,PRELIMINARY IDENTITY ACCEPTED,,HIGH,
Peptides.pdf pages 1-5,TR5,Tirzepatide,Tirzepatide,5 mg x 10 vials,35,Dual GIP/GLP-1 receptor agonist peptide drug,C2 - Metabolic and incretin-related,PRELIMINARY IDENTITY ACCEPTED,,CRITICAL,
Peptides.pdf pages 1-5,TR10,Tirzepatide,Tirzepatide,10 mg x 10 vials,51,Dual GIP/GLP-1 receptor agonist peptide drug,C2 - Metabolic and incretin-related,PRELIMINARY IDENTITY ACCEPTED,,CRITICAL,
Peptides.pdf pages 1-5,TR15,Tirzepatide,Tirzepatide,15 mg x 10 vials,62,Dual GIP/GLP-1 receptor agonist peptide drug,C2 - Metabolic and incretin-related,PRELIMINARY IDENTITY ACCEPTED,,CRITICAL,
Peptides.pdf pages 1-5,TR20,Tirzepatide,Tirzepatide,20 mg x 10 vials,84,Dual GIP/GLP-1 receptor agonist peptide drug,C2 - Metabolic and incretin-related,PRELIMINARY IDENTITY ACCEPTED,,CRITICAL,
Peptides.pdf pages 1-5,TR30,Tirzepatide,Tirzepatide,30 mg x 10 vials,107,Dual GIP/GLP-1 receptor agonist peptide drug,C2 - Metabolic and incretin-related,PRELIMINARY IDENTITY ACCEPTED,,CRITICAL,
Peptides.pdf pages 1-5,TR40,Tirzepatide,Tirzepatide,40 mg x 10 vials,140,Dual GIP/GLP-1 receptor agonist peptide drug,C2 - Metabolic and incretin-related,PRELIMINARY IDENTITY ACCEPTED,,CRITICAL,
Peptides.pdf pages 1-5,TR50,Tirzepatide,Tirzepatide,50 mg x 10 vials,169,Dual GIP/GLP-1 receptor agonist peptide drug,C2 - Metabolic and incretin-related,PRELIMINARY IDENTITY ACCEPTED,,CRITICAL,
Peptides.pdf pages 1-5,TR60,Tirzepatide,Tirzepatide,60 mg x 10 vials,197,Dual GIP/GLP-1 receptor agonist peptide drug,C2 - Metabolic and incretin-related,PRELIMINARY IDENTITY ACCEPTED,,CRITICAL,
Peptides.pdf pages 1-5,TR100,Tirzepatide,Tirzepatide,100 mg x 10 vials,301,Dual GIP/GLP-1 receptor agonist peptide drug,C2 - Metabolic and incretin-related,PRELIMINARY IDENTITY ACCEPTED,,CRITICAL,
Peptides.pdf pages 1-5,G25,GHRP-2 Acetate,GHRP-2 acetate,5 mg x 10 vials,27,Growth-hormone secretagogue peptide,"C3 - GH, IGF and endocrine",PRELIMINARY IDENTITY ACCEPTED,,MEDIUM,
Peptides.pdf pages 1-5,G210,GHRP-2 Acetate,GHRP-2 acetate,10 mg x 10 vials,54,Growth-hormone secretagogue peptide,"C3 - GH, IGF and endocrine",PRELIMINARY IDENTITY ACCEPTED,,MEDIUM,
Peptides.pdf pages 1-5,G65,GHRP-6 Acetate,GHRP-6 acetate,5 mg x 10 vials,27,Growth-hormone secretagogue peptide,"C3 - GH, IGF and endocrine",PRELIMINARY IDENTITY ACCEPTED,,MEDIUM,
Peptides.pdf pages 1-5,G610,GHRP-6 Acetate,GHRP-6 acetate,10 mg x 10 vials,54,Growth-hormone secretagogue peptide,"C3 - GH, IGF and endocrine",PRELIMINARY IDENTITY ACCEPTED,,MEDIUM,
Peptides.pdf pages 1-5,CND2,CJC-1295 Without DAC,Modified GRF (1-29) identity candidate,2 mg x 10 vials,42,GHRH analogue peptide,"C3 - GH, IGF and endocrine",IDENTITY CORRECTION REQUIRED,,HIGH,Catalogue naming commonly conflates modified GRF (1-29) with CJC-1295. Must not inherit CERT-PKS-000004 automatically.
Peptides.pdf pages 1-5,CND5,CJC-1295 Without DAC,Modified GRF (1-29) identity candidate,5 mg x 10 vials,91,GHRH analogue peptide,"C3 - GH, IGF and endocrine",IDENTITY CORRECTION REQUIRED,,HIGH,Catalogue naming commonly conflates modified GRF (1-29) with CJC-1295. Must not inherit CERT-PKS-000004 automatically.
Peptides.pdf pages 1-5,CND10,CJC-1295 Without DAC,Modified GRF (1-29) identity candidate,10 mg x 10 vials,180,GHRH analogue peptide,"C3 - GH, IGF and endocrine",IDENTITY CORRECTION REQUIRED,,HIGH,Catalogue naming commonly conflates modified GRF (1-29) with CJC-1295. Must not inherit CERT-PKS-000004 automatically.
Peptides.pdf pages 1-5,CP10,CJC-1295 without DAC + IPA,Modified GRF (1-29) + Ipamorelin blend,5 mg + 5 mg; 10 mg x 10 vials,107,Peptide blend,C8 - Blends and supplier combinations,BLEND / CJC NOMENCLATURE VERIFICATION REQUIRED,,HIGH,
Peptides.pdf pages 1-5,CP20,CJC-1295 without DAC + IPA,Modified GRF (1-29) + Ipamorelin blend,10 mg + 10 mg; 20 mg x 10 vials,201,Peptide blend,C8 - Blends and supplier combinations,BLEND / CJC NOMENCLATURE VERIFICATION REQUIRED,,HIGH,
Peptides.pdf pages 1-5,CD2,CJC-1295 With DAC,CJC-1295 with DAC,2 mg x 10 vials,92,Long-acting GHRH analogue peptide,Existing assets,PRELIMINARY IDENTITY ACCEPTED,CERT-PKS-000004,MEDIUM,
Peptides.pdf pages 1-5,CD5,CJC-1295 With DAC,CJC-1295 with DAC,5 mg x 10 vials,197,Long-acting GHRH analogue peptide,Existing assets,PRELIMINARY IDENTITY ACCEPTED,CERT-PKS-000004,MEDIUM,
Peptides.pdf pages 1-5,CD10,CJC-1295 With DAC,CJC-1295 with DAC,10 mg x 10 vials,366,Long-acting GHRH analogue peptide,Existing assets,PRELIMINARY IDENTITY ACCEPTED,CERT-PKS-000004,MEDIUM,
Peptides.pdf pages 1-5,BT2,TB500 (Thymosin B4 Acetate),Thymosin beta-4 / TB-500 full-length candidate,2 mg x 10 vials,46,Identity-sensitive peptide,Existing assets,SEQUENCE / FULL-LENGTH IDENTITY VERIFICATION REQUIRED,CERT-PKS-000008,HIGH,
Peptides.pdf pages 1-5,BT5,TB500 (Thymosin B4 Acetate),Thymosin beta-4 / TB-500 full-length candidate,5 mg x 10 vials,85,Identity-sensitive peptide,Existing assets,SEQUENCE / FULL-LENGTH IDENTITY VERIFICATION REQUIRED,CERT-PKS-000008,HIGH,
Peptides.pdf pages 1-5,BT10,TB500 (Thymosin B4 Acetate),Thymosin beta-4 / TB-500 full-length candidate,10 mg x 10 vials,169,Identity-sensitive peptide,Existing assets,SEQUENCE / FULL-LENGTH IDENTITY VERIFICATION REQUIRED,CERT-PKS-000008,HIGH,
Peptides.pdf pages 1-5,BT20,TB500 (Thymosin B4 Acetate),Thymosin beta-4 / TB-500 full-length candidate,20 mg x 10 vials,310,Identity-sensitive peptide,Existing assets,SEQUENCE / FULL-LENGTH IDENTITY VERIFICATION REQUIRED,CERT-PKS-000008,HIGH,
Peptides.pdf pages 1-5,B10F,TB500 (Frag),TB-500 fragment,2 mg x 10 vials,85,Peptide fragment,Existing assets,FRAGMENT IDENTITY VERIFICATION REQUIRED,CERT-PKS-000008,HIGH,
Peptides.pdf pages 1-5,FM2,MGF,Mechano growth factor,2 mg x 10 vials,38,IGF-1 splice-variant-derived peptide,"C3 - GH, IGF and endocrine",SEQUENCE / PRODUCT IDENTITY VERIFICATION REQUIRED,,MEDIUM,
Peptides.pdf pages 1-5,FMP2,PEG MGF,PEG-MGF,2 mg x 10 vials,95,PEGylated research peptide,"C3 - GH, IGF and endocrine",SEQUENCE / PEGYLATION VERIFICATION REQUIRED,,MEDIUM,
Peptides.pdf pages 1-5,SMO2,Sermorelin Acetate,Sermorelin acetate,2 mg x 10 vials,49,GHRH (1-29) peptide analogue,"C3 - GH, IGF and endocrine",PRELIMINARY IDENTITY ACCEPTED,,MEDIUM,
Peptides.pdf pages 1-5,SMO5,Sermorelin Acetate,Sermorelin acetate,5 mg x 10 vials,76,GHRH (1-29) peptide analogue,"C3 - GH, IGF and endocrine",PRELIMINARY IDENTITY ACCEPTED,,MEDIUM,
Peptides.pdf pages 1-5,SMO10,Sermorelin Acetate,Sermorelin acetate,10 mg x 10 vials,153,GHRH (1-29) peptide analogue,"C3 - GH, IGF and endocrine",PRELIMINARY IDENTITY ACCEPTED,,MEDIUM,
Peptides.pdf pages 1-5,SMO15,Sermorelin Acetate,Sermorelin acetate,15 mg x 10 vials,239,GHRH (1-29) peptide analogue,"C3 - GH, IGF and endocrine",PRELIMINARY IDENTITY ACCEPTED,,MEDIUM,
Peptides.pdf pages 1-5,G10K,HCG,Human chorionic gonadotropin,"10,000 IU x 10 vials",163,Glycoprotein hormone / biologic,"C3 - GH, IGF and endocrine",PRELIMINARY IDENTITY ACCEPTED,,HIGH,
Peptides.pdf pages 1-5,G5K,HCG,Human chorionic gonadotropin,"5,000 IU x 10 vials",85,Glycoprotein hormone / biologic,"C3 - GH, IGF and endocrine",PRELIMINARY IDENTITY ACCEPTED,,HIGH,
Peptides.pdf pages 1-5,G2K,HCG,Human chorionic gonadotropin,"2,000 IU x 10 vials",55,Glycoprotein hormone / biologic,"C3 - GH, IGF and endocrine",PRELIMINARY IDENTITY ACCEPTED,,HIGH,
Peptides.pdf pages 1-5,2AD,AOD9604,AOD9604,2 mg x 10 vials,53,Modified growth-hormone fragment peptide,C2 - Metabolic and incretin-related,PRELIMINARY IDENTITY ACCEPTED,,MEDIUM,
Peptides.pdf pages 1-5,5AD,AOD9604,AOD9604,5 mg x 10 vials,93,Modified growth-hormone fragment peptide,C2 - Metabolic and incretin-related,PRELIMINARY IDENTITY ACCEPTED,,MEDIUM,
Peptides.pdf pages 1-5,10AD,AOD9604,AOD9604,10 mg x 10 vials,197,Modified growth-hormone fragment peptide,C2 - Metabolic and incretin-related,PRELIMINARY IDENTITY ACCEPTED,,MEDIUM,
Peptides.pdf pages 1-5,IG01,IGF-1LR3,Long R3 IGF-1,0.1 mg x 10 vials,45,Recombinant IGF-1 analogue / protein,"C3 - GH, IGF and endocrine",PRELIMINARY IDENTITY ACCEPTED,,HIGH,
Peptides.pdf pages 1-5,IG1,IGF-1LR3,Long R3 IGF-1,1 mg x 10 vials,225,Recombinant IGF-1 analogue / protein,"C3 - GH, IGF and endocrine",PRELIMINARY IDENTITY ACCEPTED,,HIGH,
Peptides.pdf pages 1-5,TSM2,Tesamorelin,Tesamorelin,2 mg x 10 vials,56,GHRH analogue peptide drug,Existing assets,PRELIMINARY IDENTITY ACCEPTED,CERT-PKS-000003,MEDIUM,
Peptides.pdf pages 1-5,TSM5,Tesamorelin,Tesamorelin,5 mg x 10 vials,101,GHRH analogue peptide drug,Existing assets,PRELIMINARY IDENTITY ACCEPTED,CERT-PKS-000003,MEDIUM,
Peptides.pdf pages 1-5,TSM10,Tesamorelin,Tesamorelin,10 mg x 10 vials,211,GHRH analogue peptide drug,Existing assets,PRELIMINARY IDENTITY ACCEPTED,CERT-PKS-000003,MEDIUM,
Peptides.pdf pages 1-5,TSM20,Tesamorelin,Tesamorelin,20 mg x 10 vials,390,GHRH analogue peptide drug,Existing assets,PRELIMINARY IDENTITY ACCEPTED,CERT-PKS-000003,MEDIUM,
Peptides.pdf pages 1-5,IP2,Ipamorelin,Ipamorelin,2 mg x 10 vials,26,Ghrelin receptor agonist peptide,Existing assets,PRELIMINARY IDENTITY ACCEPTED,CERT-PKS-000005,MEDIUM,
Peptides.pdf pages 1-5,IP5,Ipamorelin,Ipamorelin,5 mg x 10 vials,42,Ghrelin receptor agonist peptide,Existing assets,PRELIMINARY IDENTITY ACCEPTED,CERT-PKS-000005,MEDIUM,
Peptides.pdf pages 1-5,IP10,Ipamorelin,Ipamorelin,10 mg x 10 vials,66,Ghrelin receptor agonist peptide,Existing assets,PRELIMINARY IDENTITY ACCEPTED,CERT-PKS-000005,MEDIUM,
Peptides.pdf pages 1-5,HX2,Hexarelin Acetate,Hexarelin acetate,2 mg x 10 vials,54,Growth-hormone secretagogue peptide,"C3 - GH, IGF and endocrine",PRELIMINARY IDENTITY ACCEPTED,,MEDIUM,
Peptides.pdf pages 1-5,HX5,Hexarelin Acetate,Hexarelin acetate,5 mg x 10 vials,85,Growth-hormone secretagogue peptide,"C3 - GH, IGF and endocrine",PRELIMINARY IDENTITY ACCEPTED,,MEDIUM,
Peptides.pdf pages 1-5,CU50,GHK-CU,GHK-Cu,50 mg x 10 vials,28,Copper-binding tripeptide complex,Existing assets,PRELIMINARY IDENTITY ACCEPTED,CERT-PKS-000007,MEDIUM,
Peptides.pdf pages 1-5,CU100,GHK-CU,GHK-Cu,100 mg x 10 vials,43,Copper-binding tripeptide complex,Existing assets,PRELIMINARY IDENTITY ACCEPTED,CERT-PKS-000007,MEDIUM,
Peptides.pdf pages 1-5,GH50,GHK basic,GHK,50 mg x 10 vials,37,Tripeptide,"C5 - Repair, immune and cosmetic peptides",FREE PEPTIDE / COPPER-FREE IDENTITY VERIFICATION REQUIRED,,MEDIUM,
Peptides.pdf pages 1-5,AU100,AHK-CU,AHK-Cu,100 mg x 10 vials,75,Copper-binding tripeptide complex,"C5 - Repair, immune and cosmetic peptides",PRELIMINARY IDENTITY ACCEPTED,,MEDIUM,
Peptides.pdf pages 1-5,KS5,KissPeptin-10,Kisspeptin-10,5 mg x 10 vials,54,Neuropeptide / reproductive hormone peptide,"C3 - GH, IGF and endocrine",PRELIMINARY IDENTITY ACCEPTED,,MEDIUM,
Peptides.pdf pages 1-5,KS10,KissPeptin-10,Kisspeptin-10,10 mg x 10 vials,81,Neuropeptide / reproductive hormone peptide,"C3 - GH, IGF and endocrine",PRELIMINARY IDENTITY ACCEPTED,,MEDIUM,
Peptides.pdf pages 1-5,TY10,Thymalin,Thymalin,10 mg x 10 vials,76,Thymic peptide mixture / extract,"C5 - Repair, immune and cosmetic peptides",COMPOSITION / EXTRACT IDENTITY VERIFICATION REQUIRED,,MEDIUM,
Peptides.pdf pages 1-5,TA2,Thymosin Alpha-1,Thymosin alpha-1,2 mg x 10 vials,54,Immune-modulating peptide,"C5 - Repair, immune and cosmetic peptides",PRELIMINARY IDENTITY ACCEPTED,,HIGH,
Peptides.pdf pages 1-5,TA5,Thymosin Alpha-1,Thymosin alpha-1,5 mg x 10 vials,99,Immune-modulating peptide,"C5 - Repair, immune and cosmetic peptides",PRELIMINARY IDENTITY ACCEPTED,,HIGH,
Peptides.pdf pages 1-5,TA10,Thymosin Alpha-1,Thymosin alpha-1,10 mg x 10 vials,197,Immune-modulating peptide,"C5 - Repair, immune and cosmetic peptides",PRELIMINARY IDENTITY ACCEPTED,,HIGH,
Peptides.pdf pages 1-5,MS10,MOTS-c,MOTS-c,10 mg x 10 vials,71,Mitochondrial-derived peptide,Existing assets,PRELIMINARY IDENTITY ACCEPTED,CERT-PKS-000006,MEDIUM,
Peptides.pdf pages 1-5,MS40,MOTS-c,MOTS-c,40 mg x 10 vials,251,Mitochondrial-derived peptide,Existing assets,PRELIMINARY IDENTITY ACCEPTED,CERT-PKS-000006,MEDIUM,
Peptides.pdf pages 1-5,F410,FOXO4,FOXO4-DRI identity candidate,10 mg x 10 vials,431,Experimental research peptide,C6 - Mitochondrial and longevity research,IDENTITY / SEQUENCE VERIFICATION REQUIRED,,HIGH,
Peptides.pdf pages 1-5,375,LL37,LL-37,5 mg x 10 vials,98,Antimicrobial peptide,"C5 - Repair, immune and cosmetic peptides",CATALOGUE CODE AND SEQUENCE VERIFICATION REQUIRED,,HIGH,
Peptides.pdf pages 1-5,RT5,Retatrutide,Retatrutide,5 mg x 10 vials,50,Triple incretin receptor agonist peptide,Existing assets,PRELIMINARY IDENTITY ACCEPTED,CERT-PKS-000001,CRITICAL,
Peptides.pdf pages 1-5,RT10,Retatrutide,Retatrutide,10 mg x 10 vials,78,Triple incretin receptor agonist peptide,Existing assets,PRELIMINARY IDENTITY ACCEPTED,CERT-PKS-000001,CRITICAL,
Peptides.pdf pages 1-5,RT15,Retatrutide,Retatrutide,15 mg x 10 vials,107,Triple incretin receptor agonist peptide,Existing assets,PRELIMINARY IDENTITY ACCEPTED,CERT-PKS-000001,CRITICAL,
Peptides.pdf pages 1-5,RT20,Retatrutide,Retatrutide,20 mg x 10 vials,140,Triple incretin receptor agonist peptide,Existing assets,PRELIMINARY IDENTITY ACCEPTED,CERT-PKS-000001,CRITICAL,
Peptides.pdf pages 1-5,RT30,Retatrutide,Retatrutide,30 mg x 10 vials,195,Triple incretin receptor agonist peptide,Existing assets,PRELIMINARY IDENTITY ACCEPTED,CERT-PKS-000001,CRITICAL,
Peptides.pdf pages 1-5,RT40,Retatrutide,Retatrutide,40 mg x 10 vials,240,Triple incretin receptor agonist peptide,Existing assets,PRELIMINARY IDENTITY ACCEPTED,CERT-PKS-000001,CRITICAL,
Peptides.pdf pages 1-5,RT50,Retatrutide,Retatrutide,50 mg x 10 vials,295,Triple incretin receptor agonist peptide,Existing assets,PRELIMINARY IDENTITY ACCEPTED,CERT-PKS-000001,CRITICAL,
Peptides.pdf pages 1-5,RT60,Retatrutide,Retatrutide,60 mg x 10 vials,330,Triple incretin receptor agonist peptide,Existing assets,PRELIMINARY IDENTITY ACCEPTED,CERT-PKS-000001,CRITICAL,
Peptides.pdf pages 1-5,MT10,melatonin,Melatonin,10 mg x 10 vials,56,Non-peptide small molecule hormone,C9 - Non-peptide and ancillary catalogue items,PRELIMINARY IDENTITY ACCEPTED,,MEDIUM,
Peptides.pdf pages 1-5,FR2,HGH Fragment 176-191,HGH fragment 176-191,2 mg x 10 vials,53,Growth-hormone fragment peptide,C2 - Metabolic and incretin-related,PRELIMINARY IDENTITY ACCEPTED,,MEDIUM,
Peptides.pdf pages 1-5,FR5,HGH Fragment 176-191,HGH fragment 176-191,5 mg x 10 vials,99,Growth-hormone fragment peptide,C2 - Metabolic and incretin-related,PRELIMINARY IDENTITY ACCEPTED,,MEDIUM,
